time,open,high,low,close,"Pattern Alert",Volume
1768432860,114.043,114.044,114.031,114.031,0,0
1768432920,114.031,114.031,114.03,114.03,0,0
1768432980,114.03,114.03,114.027,114.028,0,0
1768433040,114.028,114.031,114.027,114.031,0,0
1768433100,114.031,114.034,114.023,114.034,0,0
1768433160,114.034,114.041,114.034,114.039,0,0
1768433220,114.039,114.04,114.038,114.039,0,0
1768433280,114.039,114.067,114.039,114.067,0,0
1768433340,114.067,114.075,114.067,114.075,0,0
1768433400,114.075,114.076,114.07,114.072,0,0
1768433460,114.072,114.089,114.067,114.089,0,0
1768433520,114.089,114.089,114.07,114.083,0,0
1768433580,114.083,114.091,114.083,114.087,0,0
1768433640,114.087,114.09,114.084,114.087,0,0
1768433700,114.087,114.096,114.086,114.094,0,0
1768433760,114.094,114.094,114.078,114.078,0,0
1768433820,114.078,114.084,114.078,114.082,0,0
1768433880,114.082,114.095,114.082,114.094,0,0
1768433940,114.094,114.104,114.094,114.104,0,0
1768434000,114.104,114.108,114.099,114.108,0,0
1768434060,114.108,114.111,114.108,114.109,0,0
1768434120,114.109,114.109,114.084,114.09,0,0
1768434180,114.09,114.093,114.09,114.093,0,0
1768434240,114.093,114.094,114.076,114.084,0,0
1768434300,114.084,114.11,114.076,114.077,0,0
1768434360,114.077,114.088,114.07,114.077,0,0
1768434420,114.077,114.099,114.075,114.095,0,0
1768434480,114.095,114.102,114.094,114.102,0,0
1768434540,114.102,114.102,114.095,114.095,0,0
1768434600,114.095,114.097,114.088,114.088,0,0
1768434660,114.088,114.092,114.087,114.09,0,0
1768434720,114.09,114.093,114.087,114.093,0,0
1768434780,114.093,114.093,114.092,114.093,0,0
1768434840,114.093,114.112,114.092,114.092,0,0
1768434900,114.092,114.118,114.092,114.109,0,0
1768434960,114.109,114.11,114.092,114.095,0,0
1768435020,114.095,114.107,114.094,114.102,0,0
1768435080,114.102,114.113,114.096,114.109,0,0
1768435140,114.109,114.11,114.087,114.089,0,0
1768435200,114.089,114.124,114.089,114.119,0,0
1768435260,114.119,114.134,114.118,114.129,0,0
1768435320,114.129,114.133,114.126,114.13,0,0
1768435380,114.13,114.131,114.119,114.125,0,0
1768435440,114.125,114.141,114.12,114.135,0,0
1768435500,114.135,114.155,114.134,114.155,0,0
1768435560,114.155,114.17,114.148,114.151,0,0
1768435620,114.151,114.151,114.136,114.146,0,0
1768435680,114.146,114.151,114.139,114.146,0,0
1768435740,114.146,114.168,114.146,114.168,0,0
1768435800,114.168,114.172,114.165,114.168,0,0
1768435860,114.168,114.168,114.153,114.164,0,0
1768435920,114.164,114.174,114.163,114.174,0,0
1768435980,114.174,114.174,114.159,114.173,0,0
1768436040,114.173,114.176,114.171,114.173,0,0
1768436100,114.173,114.191,114.161,114.161,0,0
1768436160,114.161,114.169,114.152,114.162,0,0
1768436220,114.162,114.166,114.153,114.156,0,0
1768436280,114.156,114.159,114.136,114.136,0,0
1768436340,114.136,114.147,114.135,114.147,0,0
1768436400,114.147,114.148,114.144,114.148,0,0
1768436460,114.148,114.149,114.138,114.146,0,0
1768436520,114.146,114.15,114.139,114.139,0,0
1768436580,114.139,114.14,114.125,114.125,0,0
1768436640,114.125,114.131,114.122,114.131,0,0
1768436700,114.131,114.132,114.12,114.12,0,0
1768436760,114.12,114.14,114.108,114.139,0,0
1768436820,114.139,114.141,114.133,114.141,0,0
1768436880,114.141,114.157,114.14,114.157,0,0
1768436940,114.157,114.171,114.157,114.17,0,0
1768437000,114.17,114.174,114.158,114.159,0,0
1768437060,114.159,114.161,114.143,114.154,0,0
1768437120,114.154,114.158,114.147,114.147,0,0
1768437180,114.147,114.155,114.143,114.147,0,0
1768437240,114.147,114.153,114.14,114.14,0,0
1768437300,114.14,114.14,114.119,114.127,0,0
1768437360,114.127,114.141,114.126,114.141,0,0
1768437420,114.141,114.152,114.131,114.147,0,0
1768437480,114.147,114.158,114.145,114.148,0,0
1768437540,114.148,114.151,114.138,114.143,0,0
1768437600,114.143,114.145,114.141,114.142,0,0
1768437660,114.142,114.151,114.142,114.151,0,0
1768437720,114.151,114.164,114.137,114.137,0,0
1768437780,114.137,114.149,114.134,114.147,0,0
1768437840,114.147,114.163,114.147,114.16,0,0
1768437900,114.16,114.17,114.154,114.157,0,0
1768437960,114.157,114.168,114.152,114.165,0,0
1768438020,114.165,114.171,114.163,114.163,0,0
1768438080,114.163,114.174,114.16,114.164,0,0
1768438140,114.164,114.167,114.138,114.14,0,0
1768438200,114.14,114.153,114.125,114.135,0,0
1768438260,114.135,114.136,114.116,114.125,0,0
1768438320,114.125,114.142,114.106,114.111,0,0
1768438380,114.111,114.118,114.084,114.085,0,0
1768438440,114.085,114.121,114.071,114.121,0,0
1768438500,114.121,114.121,114.074,114.086,0,0
1768438560,114.086,114.099,114.068,114.068,0,0
1768438620,114.068,114.07,114.062,114.066,0,0
1768438680,114.066,114.066,114.051,114.06,0,0
1768438740,114.06,114.082,114.06,114.073,0,0
1768438800,114.073,114.076,114.053,114.061,0,0
1768438860,114.061,114.068,114.055,114.055,0,0
1768438920,114.055,114.055,114.021,114.04,0,0
1768438980,114.04,114.041,114.033,114.04,0,0
1768439040,114.04,114.083,114.037,114.081,0,0
1768439100,114.081,114.084,114.06,114.065,0,0
1768439160,114.065,114.065,114.054,114.056,0,0
1768439220,114.056,114.063,114.05,114.05,0,0
1768439280,114.05,114.072,114.048,114.068,0,0
1768439340,114.068,114.068,114.04,114.045,0,0
1768439400,114.045,114.045,114.026,114.036,0,0
1768439460,114.036,114.04,114.025,114.029,0,0
1768439520,114.029,114.044,114.024,114.044,0,0
1768439580,114.044,114.045,114.01,114.025,0,0
1768439640,114.025,114.029,114.001,114.006,0,0
1768439700,114.006,114.014,114.002,114.002,0,0
1768439760,114.002,114.011,114.002,114.009,0,0
1768439820,114.009,114.022,114.009,114.016,0,0
1768439880,114.016,114.041,114.015,114.03,0,0
1768439940,114.03,114.041,114.03,114.033,0,0
1768440000,114.033,114.045,114.032,114.045,0,0
1768440060,114.045,114.06,114.045,114.05,0,0
1768440120,114.05,114.05,114.037,114.037,0,0
1768440180,114.037,114.043,114.035,114.043,0,0
1768440240,114.043,114.048,114.042,114.047,0,0
1768440300,114.047,114.056,114.041,114.041,0,0
1768440360,114.041,114.041,114.027,114.029,0,0
1768440420,114.029,114.049,114.029,114.049,0,0
1768440480,114.049,114.054,114.044,114.053,0,0
1768440540,114.053,114.066,114.047,114.066,0,0
1768440600,114.066,114.074,114.059,114.074,0,0
1768440660,114.074,114.075,114.062,114.062,0,0
1768440720,114.062,114.063,114.039,114.05,0,0
1768440780,114.05,114.06,114.047,114.052,0,0
1768440840,114.052,114.059,114.037,114.038,0,0
1768440900,114.038,114.041,114.03,114.035,0,0
1768440960,114.035,114.05,114.035,114.04,0,0
1768441020,114.04,114.049,114.013,114.014,0,0
1768441080,114.014,114.019,114.002,114.009,0,0
1768441140,114.009,114.012,113.998,113.999,0,0
1768441200,113.999,113.999,113.964,113.99,0,0
1768441260,113.99,114.014,113.99,114.006,0,0
1768441320,114.006,114.007,113.985,113.993,0,0
1768441380,113.993,114.004,113.977,113.979,0,0
1768441440,113.979,113.982,113.951,113.956,0,0
1768441500,113.956,113.964,113.942,113.944,0,0
1768441560,113.944,113.95,113.939,113.945,0,0
1768441620,113.945,113.974,113.944,113.969,0,0
1768441680,113.969,113.992,113.969,113.992,0,0
1768441740,113.992,114.003,113.988,113.989,0,0
1768441800,113.989,114.002,113.985,113.987,0,0
1768441860,113.987,113.988,113.964,113.967,0,0
1768441920,113.967,113.992,113.961,113.992,0,0
1768441980,113.992,114.004,113.99,113.996,0,0
1768442040,113.996,114.009,113.992,114.009,0,0
1768442100,114.009,114.013,114.002,114.01,0,0
1768442160,114.01,114.015,114.008,114.01,0,0
1768442220,114.01,114.022,114.01,114.018,0,0
1768442280,114.018,114.018,114.006,114.006,0,0
1768442340,114.006,114.022,114.003,114.022,0,0
1768442400,114.022,114.034,114.019,114.021,0,0
1768442460,114.021,114.024,114.006,114.016,0,0
1768442520,114.016,114.032,114.012,114.028,0,0
1768442580,114.028,114.042,114.019,114.028,0,0
1768442640,114.028,114.036,114.025,114.036,0,0
1768442700,114.036,114.04,114.016,114.016,0,0
1768442760,114.016,114.017,114.009,114.014,0,0
1768442820,114.014,114.023,114.001,114.005,0,0
1768442880,114.005,114.007,113.998,114.004,0,0
1768442940,114.004,114.016,114,114.013,0,0
1768443000,114.013,114.022,114.012,114.014,0,0
1768443060,114.014,114.014,113.995,114.005,0,0
1768443120,114.005,114.021,114.005,114.019,0,0
1768443180,114.019,114.023,114.017,114.02,0,0
1768443240,114.02,114.02,114.001,114.006,0,0
1768443300,114.006,114.015,114.005,114.015,0,0
1768443360,114.015,114.031,114.011,114.031,0,0
1768443420,114.031,114.031,114.015,114.018,0,0
1768443480,114.018,114.019,114.015,114.016,0,0
1768443540,114.016,114.027,114.016,114.023,0,0
1768443600,114.023,114.027,114.022,114.026,0,0
1768443660,114.026,114.026,114.019,114.021,0,0
1768443720,114.021,114.023,114.016,114.017,0,0
1768443780,114.017,114.032,114.015,114.032,0,0
1768443840,114.032,114.041,114.027,114.036,0,0
1768443900,114.036,114.045,114.031,114.045,0,0
1768443960,114.045,114.059,114.042,114.058,0,0
1768444020,114.058,114.063,114.058,114.063,0,0
1768444080,114.063,114.07,114.061,114.069,0,0
1768444140,114.069,114.085,114.069,114.083,0,0
1768444200,114.083,114.084,114.077,114.082,0,0
1768444260,114.082,114.087,114.078,114.087,0,0
1768444320,114.087,114.088,114.079,114.082,0,0
1768444380,114.082,114.084,114.074,114.078,0,0
1768444440,114.078,114.083,114.068,114.071,0,0
1768444500,114.071,114.08,114.07,114.079,0,0
1768444560,114.079,114.08,114.075,114.076,0,0
1768444620,114.076,114.081,114.07,114.074,0,0
1768444680,114.074,114.094,114.074,114.093,0,0
1768444740,114.093,114.096,114.087,114.089,0,0
1768444800,114.089,114.102,114.089,114.102,0,0
1768444860,114.102,114.118,114.101,114.108,0,0
1768444920,114.108,114.111,114.101,114.103,0,0
