time,open,high,low,close,"Pattern Alert",Volume
1768432740,184.322,184.351,184.322,184.35,0,0
1768432800,184.35,184.352,184.346,184.346,0,0
1768432860,184.346,184.353,184.338,184.339,0,0
1768432920,184.339,184.341,184.339,184.341,0,0
1768432980,184.341,184.341,184.334,184.337,0,0
1768433040,184.337,184.349,184.336,184.349,0,0
1768433100,184.349,184.349,184.332,184.341,0,0
1768433160,184.341,184.355,184.341,184.353,0,0
1768433220,184.353,184.358,184.353,184.358,0,0
1768433280,184.358,184.391,184.357,184.391,0,0
1768433340,184.391,184.41,184.391,184.406,0,0
1768433400,184.406,184.41,184.406,184.406,0,0
1768433460,184.406,184.439,184.405,184.439,0,0
1768433520,184.439,184.439,184.42,184.429,0,0
1768433580,184.429,184.434,184.429,184.434,0,0
1768433640,184.434,184.436,184.432,184.433,0,0
1768433700,184.433,184.449,184.432,184.449,0,0
1768433760,184.449,184.449,184.423,184.423,0,0
1768433820,184.423,184.442,184.423,184.442,0,0
1768433880,184.442,184.453,184.442,184.451,0,0
1768433940,184.451,184.462,184.447,184.462,0,0
1768434000,184.462,184.486,184.462,184.486,0,0
1768434060,184.486,184.487,184.48,184.48,0,0
1768434120,184.48,184.48,184.444,184.456,0,0
1768434180,184.456,184.459,184.455,184.459,0,0
1768434240,184.459,184.463,184.428,184.44,0,0
1768434300,184.44,184.474,184.426,184.426,0,0
1768434360,184.426,184.444,184.414,184.431,0,0
1768434420,184.431,184.461,184.429,184.451,0,0
1768434480,184.451,184.463,184.451,184.463,0,0
1768434540,184.463,184.464,184.453,184.456,0,0
1768434600,184.456,184.457,184.443,184.444,0,0
1768434660,184.444,184.449,184.443,184.449,0,0
1768434720,184.449,184.449,184.44,184.444,0,0
1768434780,184.444,184.449,184.44,184.449,0,0
1768434840,184.449,184.474,184.449,184.466,0,0
1768434900,184.466,184.502,184.466,184.489,0,0
1768434960,184.489,184.489,184.469,184.474,0,0
1768435020,184.474,184.488,184.473,184.488,0,0
1768435080,184.488,184.492,184.48,184.491,0,0
1768435140,184.491,184.492,184.477,184.479,0,0
1768435200,184.479,184.52,184.479,184.519,0,0
1768435260,184.519,184.547,184.519,184.531,0,0
1768435320,184.531,184.534,184.527,184.531,0,0
1768435380,184.531,184.543,184.529,184.532,0,0
1768435440,184.532,184.542,184.515,184.535,0,0
1768435500,184.535,184.56,184.531,184.56,0,0
1768435560,184.56,184.577,184.551,184.553,0,0
1768435620,184.553,184.553,184.538,184.551,0,0
1768435680,184.551,184.557,184.54,184.552,0,0
1768435740,184.552,184.584,184.552,184.584,0,0
1768435800,184.584,184.592,184.579,184.586,0,0
1768435860,184.586,184.586,184.566,184.574,0,0
1768435920,184.574,184.582,184.574,184.581,0,0
1768435980,184.581,184.582,184.56,184.577,0,0
1768436040,184.577,184.584,184.577,184.581,0,0
1768436100,184.581,184.61,184.568,184.568,0,0
1768436160,184.568,184.572,184.554,184.567,0,0
1768436220,184.567,184.574,184.553,184.557,0,0
1768436280,184.557,184.567,184.533,184.533,0,0
1768436340,184.533,184.548,184.53,184.544,0,0
1768436400,184.544,184.555,184.543,184.552,0,0
1768436460,184.552,184.554,184.538,184.551,0,0
1768436520,184.551,184.556,184.536,184.537,0,0
1768436580,184.537,184.539,184.509,184.509,0,0
1768436640,184.509,184.522,184.508,184.522,0,0
1768436700,184.522,184.522,184.493,184.493,0,0
1768436760,184.493,184.527,184.492,184.527,0,0
1768436820,184.527,184.531,184.517,184.52,0,0
1768436880,184.52,184.536,184.51,184.535,0,0
1768436940,184.535,184.556,184.534,184.556,0,0
1768437000,184.556,184.575,184.539,184.541,0,0
1768437060,184.541,184.541,184.512,184.523,0,0
1768437120,184.523,184.528,184.52,184.526,0,0
1768437180,184.526,184.537,184.514,184.519,0,0
1768437240,184.519,184.53,184.5,184.5,0,0
1768437300,184.5,184.501,184.486,184.493,0,0
1768437360,184.493,184.499,184.492,184.499,0,0
1768437420,184.499,184.51,184.484,184.501,0,0
1768437480,184.501,184.532,184.501,184.518,0,0
1768437540,184.518,184.524,184.514,184.515,0,0
1768437600,184.515,184.517,184.514,184.514,0,0
1768437660,184.514,184.519,184.514,184.519,0,0
1768437720,184.519,184.537,184.509,184.514,0,0
1768437780,184.514,184.53,184.508,184.523,0,0
1768437840,184.523,184.551,184.522,184.542,0,0
1768437900,184.542,184.556,184.537,184.548,0,0
1768437960,184.548,184.571,184.547,184.56,0,0
1768438020,184.56,184.567,184.558,184.558,0,0
1768438080,184.558,184.569,184.543,184.543,0,0
1768438140,184.543,184.545,184.503,184.514,0,0
1768438200,184.514,184.53,184.482,184.499,0,0
1768438260,184.499,184.499,184.465,184.476,0,0
1768438320,184.476,184.499,184.441,184.448,0,0
1768438380,184.448,184.459,184.4,184.4,0,0
1768438440,184.4,184.443,184.377,184.443,0,0
1768438500,184.443,184.443,184.35,184.364,0,0
1768438560,184.364,184.382,184.341,184.341,0,0
1768438620,184.341,184.348,184.332,184.341,0,0
1768438680,184.341,184.341,184.309,184.315,0,0
1768438740,184.315,184.35,184.315,184.348,0,0
1768438800,184.348,184.35,184.327,184.345,0,0
1768438860,184.345,184.359,184.326,184.328,0,0
1768438920,184.328,184.328,184.297,184.314,0,0
1768438980,184.314,184.33,184.303,184.328,0,0
1768439040,184.328,184.375,184.322,184.37,0,0
1768439100,184.37,184.386,184.363,184.368,0,0
1768439160,184.368,184.369,184.351,184.354,0,0
1768439220,184.354,184.354,184.337,184.337,0,0
1768439280,184.337,184.354,184.332,184.344,0,0
1768439340,184.344,184.344,184.318,184.327,0,0
1768439400,184.327,184.331,184.301,184.315,0,0
1768439460,184.315,184.322,184.299,184.304,0,0
1768439520,184.304,184.324,184.297,184.324,0,0
1768439580,184.324,184.324,184.271,184.295,0,0
1768439640,184.295,184.305,184.272,184.28,0,0
1768439700,184.28,184.309,184.272,184.309,0,0
1768439760,184.309,184.31,184.293,184.301,0,0
1768439820,184.301,184.322,184.301,184.304,0,0
1768439880,184.304,184.343,184.302,184.334,0,0
1768439940,184.334,184.349,184.334,184.341,0,0
1768440000,184.341,184.351,184.327,184.351,0,0
1768440060,184.351,184.369,184.348,184.35,0,0
1768440120,184.35,184.351,184.338,184.338,0,0
1768440180,184.338,184.346,184.336,184.346,0,0
1768440240,184.346,184.357,184.342,184.357,0,0
1768440300,184.357,184.371,184.344,184.344,0,0
1768440360,184.344,184.344,184.322,184.324,0,0
1768440420,184.324,184.356,184.324,184.356,0,0
1768440480,184.356,184.364,184.348,184.356,0,0
1768440540,184.356,184.379,184.352,184.378,0,0
1768440600,184.378,184.379,184.361,184.376,0,0
1768440660,184.376,184.385,184.358,184.359,0,0
1768440720,184.359,184.36,184.319,184.333,0,0
1768440780,184.333,184.349,184.333,184.349,0,0
1768440840,184.349,184.357,184.293,184.302,0,0
1768440900,184.302,184.308,184.292,184.296,0,0
1768440960,184.296,184.31,184.283,184.283,0,0
1768441020,184.283,184.292,184.238,184.238,0,0
1768441080,184.238,184.241,184.224,184.241,0,0
1768441140,184.241,184.262,184.241,184.259,0,0
1768441200,184.259,184.259,184.205,184.248,0,0
1768441260,184.248,184.283,184.248,184.262,0,0
1768441320,184.262,184.262,184.241,184.25,0,0
1768441380,184.25,184.262,184.223,184.224,0,0
1768441440,184.224,184.234,184.197,184.202,0,0
1768441500,184.202,184.217,184.185,184.185,0,0
1768441560,184.185,184.19,184.177,184.189,0,0
1768441620,184.189,184.238,184.188,184.235,0,0
1768441680,184.235,184.269,184.235,184.269,0,0
1768441740,184.269,184.285,184.265,184.266,0,0
1768441800,184.266,184.276,184.254,184.26,0,0
1768441860,184.26,184.262,184.221,184.222,0,0
1768441920,184.222,184.254,184.21,184.254,0,0
1768441980,184.254,184.275,184.251,184.266,0,0
1768442040,184.266,184.283,184.265,184.281,0,0
1768442100,184.281,184.288,184.271,184.273,0,0
1768442160,184.273,184.281,184.267,184.27,0,0
1768442220,184.27,184.291,184.27,184.291,0,0
1768442280,184.291,184.298,184.27,184.27,0,0
1768442340,184.27,184.298,184.267,184.298,0,0
1768442400,184.298,184.312,184.297,184.3,0,0
1768442460,184.3,184.302,184.276,184.291,0,0
1768442520,184.291,184.319,184.289,184.314,0,0
1768442580,184.314,184.331,184.298,184.312,0,0
1768442640,184.312,184.325,184.302,184.322,0,0
1768442700,184.322,184.331,184.294,184.294,0,0
1768442760,184.294,184.295,184.282,184.285,0,0
1768442820,184.285,184.297,184.271,184.277,0,0
1768442880,184.277,184.284,184.27,184.273,0,0
1768442940,184.273,184.298,184.271,184.298,0,0
1768443000,184.298,184.314,184.295,184.299,0,0
1768443060,184.299,184.3,184.276,184.289,0,0
1768443120,184.289,184.301,184.286,184.299,0,0
1768443180,184.299,184.315,184.296,184.312,0,0
1768443240,184.312,184.312,184.284,184.292,0,0
1768443300,184.292,184.31,184.292,184.31,0,0
1768443360,184.31,184.329,184.306,184.328,0,0
1768443420,184.328,184.329,184.303,184.306,0,0
1768443480,184.306,184.306,184.3,184.302,0,0
1768443540,184.302,184.317,184.302,184.31,0,0
1768443600,184.31,184.317,184.307,184.313,0,0
1768443660,184.313,184.317,184.309,184.314,0,0
1768443720,184.314,184.317,184.304,184.306,0,0
1768443780,184.306,184.33,184.306,184.33,0,0
1768443840,184.33,184.34,184.323,184.324,0,0
1768443900,184.324,184.344,184.322,184.342,0,0
1768443960,184.342,184.369,184.341,184.369,0,0
1768444020,184.369,184.374,184.369,184.374,0,0
1768444080,184.374,184.386,184.371,184.386,0,0
1768444140,184.386,184.408,184.384,184.408,0,0
1768444200,184.408,184.413,184.4,184.404,0,0
1768444260,184.404,184.412,184.402,184.412,0,0
1768444320,184.412,184.413,184.399,184.405,0,0
1768444380,184.405,184.406,184.392,184.393,0,0
1768444440,184.393,184.399,184.379,184.384,0,0
1768444500,184.384,184.406,184.384,184.405,0,0
1768444560,184.405,184.409,184.398,184.399,0,0
1768444620,184.399,184.402,184.387,184.395,0,0
1768444680,184.395,184.425,184.395,184.424,0,0
1768444740,184.424,184.433,184.424,184.428,0,0
1768444800,184.428,184.452,184.428,184.452,0,0
1768444860,184.452,184.484,184.451,184.475,0,0
1768444920,184.475,184.479,184.47,184.474,0,0
1768444980,184.474,184.487,184.466,184.487,0,0
1768445040,184.487,184.528,184.487,184.523,0,0
1768445100,184.523,184.523,184.482,184.492,0,0
1768445160,184.492,184.495,184.468,184.469,0,0
1768445220,184.469,184.469,184.456,184.464,0,0
1768445280,184.464,184.507,184.464,184.503,0,0
1768445340,184.503,184.518,184.499,184.515,0,0
1768445400,184.515,184.529,184.511,184.513,0,0
1768445460,184.513,184.524,184.494,184.52,0,0
1768445520,184.52,184.522,184.503,184.516,0,0
