time,open,high,low,close,"Pattern Alert",Volume
1745519400,0.88752,0.88774,0.88749,0.88761,0,0
1745519700,0.88761,0.88769,0.88736,0.88743,0,0
1745520000,0.88743,0.88764,0.88742,0.88761,0,0
1745520300,0.88761,0.8877,0.8875,0.88759,0,0
1745520600,0.88759,0.88764,0.88742,0.88742,0,0
1745520900,0.88742,0.88761,0.88733,0.88733,0,0
1745521200,0.88733,0.88744,0.88722,0.88729,0,0
1745521500,0.88729,0.88746,0.88711,0.88726,0,0
1745521800,0.88726,0.8874,0.88719,0.88726,0,0
1745522100,0.88726,0.88731,0.88715,0.88716,0,0
1745522400,0.88716,0.8874,0.88716,0.8873,0,0
1745522700,0.8873,0.88754,0.88728,0.88739,0,0
1745523000,0.88739,0.88756,0.88731,0.88733,0,0
1745523300,0.88733,0.88754,0.88732,0.88749,0,0
1745523600,0.88749,0.88752,0.8873,0.88731,0,0
1745523900,0.88731,0.8877,0.8873,0.88754,0,0
1745524200,0.88754,0.88755,0.88738,0.88744,0,0
1745524500,0.88744,0.88764,0.88737,0.88749,0,0
1745524800,0.88749,0.88768,0.88739,0.88761,0,0
1745525100,0.88761,0.88774,0.88748,0.88752,0,0
1745525400,0.88752,0.88753,0.88724,0.88743,0,0
1745525700,0.88743,0.88749,0.8874,0.88742,0,0
1745526000,0.88742,0.88748,0.88737,0.88742,0,0
1745526300,0.88742,0.88751,0.88731,0.88733,0,0
1745526600,0.88733,0.88757,0.88733,0.88751,0,0
1745526900,0.88751,0.8876,0.88745,0.88752,0,0
1745527200,0.88752,0.88756,0.88737,0.88748,0,0
1745527500,0.88748,0.88757,0.88743,0.88746,0,0
1745527800,0.88746,0.88767,0.88742,0.88763,0,0
1745528100,0.88763,0.88776,0.88753,0.88754,0,0
1745528400,0.88754,0.88754,0.88684,0.88692,0,0
1745528700,0.88692,0.88702,0.88646,0.88646,0,0
1745529000,0.88646,0.88659,0.88629,0.88657,0,0
1745529300,0.88657,0.88698,0.8865,0.88698,0,0
1745529600,0.88698,0.88714,0.88694,0.88712,0,0
1745529900,0.88712,0.88717,0.88707,0.88712,0,0
1745530200,0.88712,0.88713,0.88645,0.88647,0,0
1745530500,0.88647,0.88671,0.88647,0.88671,0,0
1745530800,0.88671,0.88678,0.88668,0.88674,0,0
1745531100,0.88674,0.88745,0.88674,0.88745,0,0
1745531400,0.88745,0.88754,0.88729,0.88731,0,0
1745531700,0.88731,0.88731,0.88667,0.88675,0,0
1745532000,0.88675,0.8881,0.88674,0.8881,0,0
1745532300,0.8881,0.8881,0.88778,0.88796,0,0
1745532600,0.88796,0.88808,0.88781,0.88786,0,0
1745532900,0.88786,0.88791,0.88773,0.88778,0,0
1745533200,0.88778,0.88784,0.88769,0.88772,0,0
1745533500,0.88772,0.88772,0.88757,0.88765,0,0
1745533800,0.88765,0.88772,0.88755,0.88756,0,0
1745534100,0.88756,0.8877,0.8875,0.8877,0,0
