time,open,high,low,close,"Pattern Alert",Volume
1671474600,0.62398,0.62403,0.62378,0.6239,0,0
1671474900,0.6239,0.62392,0.62379,0.62387,0,0
1671475200,0.62387,0.62393,0.6238,0.62384,0,0
1671475500,0.62384,0.62388,0.62373,0.62379,0,0
1671475800,0.62379,0.6238,0.62372,0.62376,0,0
1671476100,0.62376,0.62377,0.62353,0.62367,0,0
1671476400,0.62367,0.62373,0.62358,0.62364,0,0
1671476700,0.62364,0.62378,0.62359,0.62363,0,0
1671477000,0.62363,0.62364,0.62319,0.62324,0,0
1671477300,0.62324,0.62324,0.62302,0.6231,0,0
1671477600,0.6231,0.6232,0.62304,0.62306,0,0
1671477900,0.62306,0.62309,0.62286,0.62293,0,0
1671478200,0.62293,0.62305,0.62285,0.62292,0,0
1671478500,0.62292,0.62294,0.62277,0.6228,0,0
1671478800,0.6228,0.62282,0.62261,0.62268,0,0
1671479100,0.62268,0.62283,0.62265,0.62267,0,0
1671479400,0.62267,0.62273,0.62255,0.62271,0,0
1671479700,0.62271,0.62293,0.62269,0.62269,0,0
1671480000,0.62269,0.62299,0.62268,0.62293,0,0
1671480300,0.62293,0.62317,0.62292,0.62314,0,0
1671480600,0.62314,0.62321,0.62305,0.62307,0,0
1671480900,0.62307,0.62322,0.62307,0.62314,0,0
1671481200,0.62314,0.62317,0.62296,0.62299,0,0
1671481500,0.62299,0.62307,0.6229,0.62291,0,0
1671481800,0.62291,0.62307,0.6229,0.62304,0,0
1671482100,0.62304,0.62312,0.62295,0.62295,0,0
1671482400,0.62295,0.62298,0.62268,0.62273,0,0
1671482700,0.62273,0.62284,0.62268,0.62275,0,0
1671483000,0.62275,0.62281,0.62263,0.62265,0,0
1671483300,0.62265,0.62292,0.6225,0.6225,0,0
1671483600,0.6225,0.6225,0.62227,0.62236,0,0
1671483900,0.62236,0.62242,0.6223,0.62242,0,0
1671484200,0.62242,0.62244,0.6223,0.62231,0,0
1671484500,0.62231,0.62241,0.6222,0.62237,0,0
1671484800,0.62237,0.62245,0.62235,0.62244,0,0
1671485100,0.62244,0.62247,0.62223,0.62224,0,0
1671485400,0.62224,0.62231,0.62222,0.62223,0,0
1671485700,0.62223,0.6224,0.6222,0.6224,0,0
1671486000,0.6224,0.62241,0.62231,0.62237,0,0
1671486300,0.62237,0.62239,0.62234,0.62238,0,0
1671486600,0.62238,0.62243,0.62234,0.62242,0,0
1671486900,0.62242,0.62243,0.62215,0.62215,0,0
1671487200,0.62215,0.62215,0.62196,0.62208,0,0
1671487500,0.62208,0.62224,0.62196,0.62224,0,0
1671487800,0.62224,0.62224,0.6221,0.62215,0,0
1671488100,0.62215,0.62215,0.62197,0.62199,0,0
1671488400,0.62199,0.62202,0.62182,0.6219,0,0
1671488700,0.6219,0.622,0.6219,0.622,0,0
1671489000,0.622,0.62202,0.62194,0.62198,0,0
1671489300,0.62198,0.62201,0.62175,0.62186,0,0
1671489600,0.62186,0.62186,0.62176,0.62182,0,0
1671489900,0.62182,0.62196,0.62181,0.62192,0,0
1671490200,0.62192,0.62195,0.62192,0.62192,0,0
1671490500,0.62192,0.62207,0.62192,0.62199,0,0
1671490800,0.62199,0.622,0.62183,0.62187,0,0
1671491100,0.62187,0.62209,0.62187,0.62208,0,0
1671491400,0.62208,0.62224,0.62203,0.62217,0,0
1671491700,0.62217,0.62257,0.62209,0.62255,0,0
1671492000,0.62255,0.6227,0.62253,0.62254,0,0
1671492300,0.62254,0.62262,0.62245,0.6226,0,0
1671492600,0.6226,0.62263,0.62251,0.62257,0,0
1671492900,0.62257,0.62259,0.62243,0.62247,0,0
1671493200,0.62247,0.62248,0.62241,0.62244,0,0
1671493500,0.62244,0.62254,0.62236,0.62252,0,0
1671493800,0.62252,0.62257,0.62245,0.62252,0,0
1671494100,0.62252,0.62269,0.62244,0.62268,0,0
1671494400,0.62268,0.62268,0.62233,0.6224,0,0
1671494700,0.6224,0.62242,0.62208,0.62212,0,0
1671495000,0.62212,0.62277,0.62206,0.62267,0,0
1671495300,0.62267,0.62268,0.62245,0.62252,0,0
1671495600,0.62252,0.62259,0.62239,0.62239,0,0
1671495900,0.62239,0.62258,0.62232,0.62256,0,0
1671496200,0.62256,0.62267,0.6225,0.62251,0,0
1671496500,0.62251,0.62291,0.62251,0.62273,0,0
1671496800,0.62273,0.62283,0.62259,0.6228,0,0
1671497100,0.6228,0.62291,0.6227,0.62276,0,0
1671497400,0.62276,0.62295,0.62262,0.62267,0,0
1671497700,0.62267,0.62299,0.62254,0.62299,0,0
1671498000,0.62299,0.623,0.62279,0.62281,0,0
1671498300,0.62281,0.62281,0.62249,0.62263,0,0
1671498600,0.62263,0.62263,0.62236,0.62251,0,0
1671498900,0.62251,0.62285,0.62234,0.62279,0,0
1671499200,0.62279,0.62295,0.62245,0.62245,0,0
1671499500,0.62245,0.62258,0.62217,0.6222,0,0
1671499800,0.6222,0.62283,0.6222,0.62249,0,0
1671500100,0.62249,0.62262,0.62236,0.62239,0,0
1671500400,0.62239,0.62244,0.62223,0.62233,0,0
1671500700,0.62233,0.62235,0.62218,0.62224,0,0
1671501000,0.62224,0.62238,0.62221,0.62223,0,0
1671501300,0.62223,0.62254,0.62219,0.62238,0,0
1671501600,0.62238,0.62252,0.62223,0.62235,0,0
1671501900,0.62235,0.62242,0.62222,0.62238,0,0
1671502200,0.62238,0.62239,0.62213,0.62225,0,0
1671502500,0.62225,0.6223,0.62218,0.62228,0,0
1671502800,0.62228,0.62233,0.62212,0.62227,0,0
1671503100,0.62227,0.62228,0.62203,0.62207,0,0
1671503400,0.62207,0.62217,0.62205,0.62212,0,0
1671503700,0.62212,0.62224,0.62209,0.62213,0,0
1671504000,0.62213,0.62214,0.62173,0.62173,0,0
1671504300,0.62173,0.62209,0.62171,0.62206,0,0
1671504600,0.62206,0.6222,0.62199,0.62219,0,0
1671504900,0.62219,0.62232,0.62205,0.62225,0,0
1671505200,0.62225,0.62344,0.62194,0.62344,0,0
1671505500,0.62344,0.62426,0.62322,0.62386,0,0
1671505800,0.62386,0.62435,0.62216,0.62229,0,0
1671506100,0.62229,0.62248,0.622,0.62226,0,0
1671506400,0.62226,0.62279,0.62084,0.62117,0,0
1671506700,0.62117,0.62141,0.62069,0.62071,0,0
1671507000,0.62071,0.62092,0.6194,0.61982,0,0
1671507300,0.61982,0.6201,0.61957,0.61987,0,0
1671507600,0.61987,0.61996,0.61955,0.61955,0,0
1671507900,0.61955,0.61984,0.61932,0.61941,0,0
1671508200,0.61941,0.61941,0.61856,0.61909,0,0
1671508500,0.61909,0.61952,0.61902,0.61919,0,0
1671508800,0.61919,0.61948,0.61897,0.61904,0,0
1671509100,0.61904,0.61911,0.61854,0.61891,0,0
1671509400,0.61891,0.61911,0.61796,0.61796,0,0
1671509700,0.61796,0.61803,0.61744,0.61776,0,0
1671510000,0.61776,0.61841,0.61754,0.61816,0,0
1671510300,0.61816,0.61827,0.61784,0.61793,0,0
1671510600,0.61793,0.61846,0.61781,0.61786,0,0
1671510900,0.61786,0.61787,0.61703,0.61708,0,0
1671511200,0.61708,0.61732,0.61682,0.61706,0,0
