time,open,high,low,close,"Pattern Alert",Volume
1633545000,81.048,81.048,81.026,81.039,0,0
1633545300,81.039,81.049,81.012,81.034,0,0
1633545600,81.034,81.05,81.031,81.041,0,0
1633545900,81.041,81.057,81.031,81.035,0,0
1633546200,81.035,81.055,81.023,81.03,0,0
1633546500,81.03,81.036,81.002,81.009,0,0
1633546800,81.009,81.018,80.991,81.002,0,0
1633547100,81.002,81.04,81,81.029,0,0
1633547400,81.029,81.053,81.025,81.042,0,0
1633547700,81.042,81.061,81.032,81.043,0,0
1633548000,81.043,81.052,81.032,81.052,0,0
1633548300,81.052,81.066,81.042,81.057,0,0
1633548600,81.057,81.061,81.033,81.04,0,0
1633548900,81.04,81.042,80.998,81,0,0
1633549200,81,81.022,80.998,81.011,0,0
1633549500,81.011,81.044,80.996,81.033,0,0
1633549800,81.033,81.059,81.025,81.03,0,0
1633550100,81.03,81.046,81.024,81.029,0,0
1633550400,81.029,81.056,81.025,81.038,0,0
1633550700,81.038,81.058,81.038,81.058,0,0
1633551000,81.058,81.064,81.054,81.058,0,0
1633551300,81.058,81.06,81.054,81.058,0,0
1633551600,81.058,81.058,81.052,81.055,0,0
1633551900,81.055,81.055,81.04,81.047,0,0
1633552200,81.047,81.055,81.045,81.052,0,0
1633552500,81.052,81.062,81.046,81.047,0,0
1633552800,81.047,81.051,81.043,81.043,0,0
1633553100,81.043,81.056,81.043,81.052,0,0
1633553400,81.052,81.062,81.047,81.049,0,0
1633553700,81.049,81.049,81.002,81.002,0,0
1633554000,81.002,81.002,80.981,80.981,0,0
1633554300,80.981,81,80.974,80.993,0,0
1633554600,80.993,81.013,80.986,81.013,0,0
1633554900,81.013,81.031,81.008,81.029,0,0
1633555200,81.029,81.034,81.015,81.015,0,0
1633555500,81.015,81.03,81.01,81.02,0,0
1633555800,81.02,81.024,80.998,80.998,0,0
1633556100,80.998,80.999,80.99,80.994,0,0
1633556400,80.994,81.002,80.993,80.998,0,0
