time,open,high,low,close,"Pattern Alert",Volume
1578866400,83.812,83.894,83.812,83.88,0,0
1578866700,83.88,83.888,83.871,83.875,0,0
1578867000,83.875,83.875,83.853,83.868,0,0
1578867300,83.868,83.88,83.867,83.878,0,0
1578867600,83.878,83.88,83.854,83.857,0,0
1578867900,83.857,83.864,83.854,83.864,0,0
1578868200,83.864,83.87,83.846,83.848,0,0
1578868500,83.848,83.852,83.83,83.84,0,0
1578868800,83.84,83.842,83.829,83.831,0,0
1578869100,83.831,83.848,83.826,83.848,0,0
1578869400,83.848,83.865,83.844,83.862,0,0
1578869700,83.862,83.867,83.85,83.867,0,0
1578870000,83.867,83.877,83.849,83.851,0,0
1578870300,83.851,83.852,83.841,83.848,0,0
1578870600,83.848,83.848,83.839,83.845,0,0
1578870900,83.845,83.865,83.843,83.865,0,0
1578871200,83.865,83.873,83.858,83.869,0,0
1578871500,83.869,83.879,83.865,83.879,0,0
1578871800,83.879,83.885,83.867,83.87,0,0
1578872100,83.87,83.873,83.854,83.858,0,0
1578872400,83.858,83.866,83.858,83.859,0,0
1578872700,83.859,83.859,83.846,83.849,0,0
1578873000,83.849,83.857,83.845,83.846,0,0
1578873300,83.846,83.849,83.83,83.832,0,0
1578873600,83.832,83.837,83.815,83.835,0,0
1578873900,83.835,83.858,83.832,83.857,0,0
1578874200,83.857,83.858,83.839,83.843,0,0
1578874500,83.843,83.847,83.841,83.841,0,0
1578874800,83.841,83.846,83.836,83.839,0,0
1578875100,83.839,83.848,83.835,83.848,0,0
1578875400,83.848,83.881,83.846,83.881,0,0
1578875700,83.881,83.881,83.867,83.879,0,0
1578876000,83.879,83.879,83.871,83.876,0,0
1578876300,83.876,83.898,83.871,83.894,0,0
1578876600,83.894,83.9,83.885,83.888,0,0
1578876900,83.888,83.892,83.878,83.888,0,0
1578877200,83.888,83.916,83.887,83.913,0,0
1578877500,83.913,83.929,83.911,83.929,0,0
1578877800,83.929,83.937,83.927,83.933,0,0
1578878100,83.933,83.954,83.929,83.954,0,0
