time,open,high,low,close,"Pattern Alert",Volume
1690223400,162.951,162.957,162.92,162.923,0,0
1690223700,162.923,162.955,162.917,162.939,0,0
1690224000,162.939,162.943,162.88,162.881,0,0
1690224300,162.881,162.889,162.871,162.889,0,0
1690224600,162.889,162.894,162.864,162.891,0,0
1690224900,162.891,162.925,162.879,162.925,0,0
1690225200,162.925,162.928,162.891,162.897,0,0
1690225500,162.897,162.904,162.891,162.891,0,0
1690225800,162.891,162.896,162.879,162.883,0,0
1690226100,162.883,162.894,162.87,162.894,0,0
1690226400,162.894,162.894,162.868,162.875,0,0
1690226700,162.875,162.875,162.857,162.861,0,0
1690227000,162.861,162.878,162.856,162.866,0,0
1690227300,162.866,162.871,162.85,162.854,0,0
1690227600,162.854,162.886,162.848,162.885,0,0
1690227900,162.885,162.899,162.871,162.877,0,0
1690228200,162.877,162.899,162.866,162.893,0,0
1690228500,162.893,162.896,162.874,162.883,0,0
1690228800,162.883,162.89,162.852,162.885,0,0
1690229100,162.885,162.9,162.87,162.877,0,0
1690229400,162.877,162.886,162.808,162.818,0,0
1690229700,162.818,162.824,162.77,162.772,0,0
1690230000,162.772,162.781,162.71,162.71,0,0
1690230300,162.71,162.714,162.658,162.659,0,0
1690230600,162.659,162.665,162.642,162.644,0,0
1690230900,162.644,162.729,162.644,162.728,0,0
1690231200,162.728,162.732,162.693,162.701,0,0
1690231500,162.701,162.725,162.695,162.723,0,0
1690231800,162.723,162.743,162.709,162.74,0,0
1690232100,162.74,162.741,162.667,162.667,0,0
1690232400,162.667,162.667,162.549,162.56,0,0
1690232700,162.56,162.583,162.547,162.582,0,0
1690233000,162.582,162.622,162.573,162.614,0,0
1690233300,162.614,162.624,162.61,162.621,0,0
1690233600,162.621,162.642,162.615,162.64,0,0
1690233900,162.64,162.64,162.617,162.618,0,0
1690234200,162.618,162.64,162.616,162.637,0,0
1690234500,162.637,162.663,162.62,162.658,0,0
1690234800,162.658,162.659,162.62,162.637,0,0
1690235100,162.637,162.64,162.609,162.624,0,0
1690235400,162.624,162.634,162.562,162.607,0,0
1690235700,162.607,162.618,162.57,162.59,0,0
1690236000,162.59,162.654,162.581,162.628,0,0
1690236300,162.628,162.635,162.6,162.62,0,0
1690236600,162.62,162.649,162.62,162.633,0,0
1690236900,162.633,162.649,162.625,162.64,0,0
1690237200,162.64,162.657,162.637,162.657,0,0
1690237500,162.657,162.696,162.657,162.682,0,0
1690237800,162.682,162.716,162.682,162.71,0,0
1690238100,162.71,162.727,162.706,162.709,0,0
1690238400,162.709,162.723,162.682,162.684,0,0
1690238700,162.684,162.693,162.682,162.692,0,0
1690239000,162.692,162.696,162.672,162.674,0,0
1690239300,162.674,162.69,162.674,162.69,0,0
1690239600,162.69,162.704,162.688,162.694,0,0
1690239900,162.694,162.695,162.664,162.678,0,0
1690240200,162.678,162.731,162.678,162.716,0,0
1690240500,162.716,162.734,162.697,162.708,0,0
1690240800,162.708,162.725,162.701,162.725,0,0
1690241100,162.725,162.734,162.723,162.724,0,0
1690241400,162.724,162.751,162.724,162.736,0,0
1690241700,162.736,162.738,162.705,162.707,0,0
1690242000,162.707,162.726,162.699,162.718,0,0
1690242300,162.718,162.737,162.714,162.726,0,0
1690242600,162.726,162.727,162.685,162.686,0,0
1690242900,162.686,162.686,162.653,162.686,0,0
1690243200,162.686,162.773,162.671,162.698,0,0
1690243500,162.698,162.712,162.676,162.701,0,0
1690243800,162.701,162.784,162.683,162.784,0,0
1690244100,162.784,162.799,162.747,162.793,0,0
1690244400,162.793,162.833,162.689,162.716,0,0
1690244700,162.716,162.749,162.695,162.734,0,0
1690245000,162.734,162.762,162.71,162.735,0,0
