time,open,high,low,close,"Pattern Alert",Volume
1727807400,1.60516,1.60532,1.60494,1.60506,0,0
1727807700,1.60506,1.60566,1.60499,1.60551,0,0
1727808000,1.60551,1.60634,1.6055,1.60605,0,0
1727808300,1.60605,1.60636,1.606,1.60611,0,0
1727808600,1.60611,1.60649,1.60592,1.6064,0,0
1727808900,1.6064,1.60641,1.60561,1.60624,0,0
1727809200,1.60624,1.60628,1.60574,1.60585,0,0
1727809500,1.60585,1.60621,1.60553,1.60565,0,0
1727809800,1.60565,1.60611,1.60557,1.60589,0,0
1727810100,1.60589,1.60598,1.60574,1.60586,0,0
1727810400,1.60586,1.60588,1.60545,1.60557,0,0
1727810700,1.60557,1.60577,1.60531,1.60575,0,0
1727811000,1.60575,1.60627,1.60575,1.60625,0,0
1727811300,1.60625,1.60654,1.60606,1.60616,0,0
1727811600,1.60616,1.60654,1.60611,1.60637,0,0
1727811900,1.60637,1.60683,1.60625,1.60683,0,0
1727812200,1.60683,1.60694,1.60638,1.60668,0,0
1727812500,1.60668,1.60709,1.60661,1.60708,0,0
1727812800,1.60708,1.60728,1.6069,1.60703,0,0
1727813100,1.60703,1.60754,1.60698,1.60716,0,0
1727813400,1.60716,1.60737,1.60709,1.60735,0,0
1727813700,1.60735,1.60797,1.60722,1.60797,0,0
1727814000,1.60797,1.6084,1.60797,1.60825,0,0
1727814300,1.60825,1.60829,1.60763,1.60764,0,0
1727814600,1.60764,1.6077,1.60723,1.60748,0,0
1727814900,1.60748,1.60752,1.60724,1.6073,0,0
1727815200,1.6073,1.60772,1.6073,1.60771,0,0
1727815500,1.60771,1.60797,1.60764,1.60796,0,0
1727815800,1.60796,1.60799,1.60784,1.60784,0,0
1727816100,1.60784,1.60786,1.60762,1.60771,0,0
1727816400,1.60771,1.60771,1.6075,1.6075,0,0
1727816700,1.6075,1.60757,1.60614,1.60742,0,0
1727817000,1.60742,1.60757,1.60738,1.60757,0,0
1727817300,1.60757,1.60778,1.60754,1.60778,0,0
1727817600,1.60778,1.608,1.60777,1.60783,0,0
1727817900,1.60783,1.60796,1.6078,1.60792,0,0
1727818200,1.60792,1.60793,1.60789,1.6079,0,0
1727818500,1.6079,1.60795,1.60789,1.60792,0,0
1727818800,1.60792,1.608,1.60792,1.60798,0,0
1727819100,1.60798,1.60804,1.60794,1.60796,0,0
1727819400,1.60796,1.60796,1.6079,1.60791,0,0
1727819700,1.60791,1.60826,1.60791,1.60807,0,0
1727820000,1.60807,1.60873,1.60779,1.60871,0,0
1727820300,1.60871,1.60885,1.6085,1.6085,0,0
1727820600,1.6085,1.60867,1.60839,1.60843,0,0
1727820900,1.60843,1.60847,1.60821,1.60821,0,0
1727821200,1.60821,1.60889,1.60821,1.60885,0,0
1727821500,1.60885,1.60912,1.6088,1.60906,0,0
1727821800,1.60906,1.60906,1.60845,1.60845,0,0
