time,open,high,low,close,"Pattern Alert",Volume
1584910800,1.53651,1.53685,1.53637,1.53639,0,0
1584911100,1.53639,1.53664,1.53609,1.53609,0,0
1584911400,1.53609,1.53651,1.53586,1.53634,0,0
1584911700,1.53634,1.53647,1.53593,1.53635,0,0
1584912000,1.53635,1.5366,1.53553,1.53582,0,0
1584912300,1.53582,1.53582,1.53546,1.53546,0,0
1584912600,1.53546,1.53546,1.53507,1.53515,0,0
1584912900,1.53515,1.53521,1.53496,1.53509,0,0
1584913200,1.53509,1.53509,1.53484,1.5349,0,0
1584913500,1.5349,1.53495,1.53481,1.53482,0,0
1584913800,1.53482,1.53532,1.53481,1.53516,0,0
1584914100,1.53516,1.53517,1.53506,1.53509,0,0
1584914400,1.53509,1.53595,1.53491,1.53538,0,0
1584914700,1.53538,1.53935,1.53513,1.53862,0,0
1584915000,1.53862,1.53912,1.53785,1.5387,0,0
1584915300,1.5387,1.54292,1.5387,1.54216,0,0
1584915600,1.54216,1.54289,1.54,1.54066,0,0
1584915900,1.54066,1.54199,1.54017,1.54017,0,0
1584916200,1.54017,1.54097,1.53932,1.54061,0,0
1584916500,1.54061,1.54172,1.53919,1.54093,0,0
1584916800,1.54093,1.54389,1.54064,1.5431,0,0
1584917100,1.5431,1.54424,1.5431,1.54393,0,0
1584917400,1.54393,1.54446,1.54367,1.54389,0,0
1584917700,1.54389,1.54428,1.54354,1.54373,0,0
1584918000,1.54373,1.54497,1.54364,1.5444,0,0
1584918300,1.5444,1.54454,1.54269,1.54435,0,0
1584918600,1.54435,1.54447,1.5431,1.54337,0,0
1584918900,1.54337,1.54362,1.54207,1.54273,0,0
1584919200,1.54273,1.54354,1.54248,1.54319,0,0
1584919500,1.54319,1.54568,1.54314,1.54538,0,0
1584919800,1.54538,1.5456,1.5438,1.54443,0,0
1584920100,1.54443,1.54446,1.54241,1.54262,0,0
1584920400,1.54262,1.54392,1.54187,1.54275,0,0
1584920700,1.54275,1.546,1.54275,1.54537,0,0
1584921000,1.54537,1.54551,1.54442,1.54511,0,0
1584921300,1.54511,1.54658,1.54425,1.54596,0,0
1584921600,1.54596,1.54687,1.54532,1.546,0,0
1584921900,1.546,1.54624,1.54517,1.54541,0,0
1584922200,1.54541,1.54709,1.54504,1.54709,0,0
1584922500,1.54709,1.54743,1.546,1.54707,0,0
1584922800,1.54707,1.54805,1.54551,1.54598,0,0
1584923100,1.54598,1.54602,1.5421,1.54231,0,0
1584923400,1.54231,1.5435,1.54119,1.54291,0,0
1584923700,1.54291,1.54308,1.54087,1.54124,0,0
1584924000,1.54124,1.5413,1.53965,1.54077,0,0
1584924300,1.54077,1.54178,1.54073,1.54125,0,0
1584924600,1.54125,1.54384,1.54125,1.54314,0,0
1584924900,1.54314,1.54502,1.54314,1.54454,0,0
1584925200,1.54454,1.54526,1.54438,1.54486,0,0
1584925500,1.54486,1.54524,1.54331,1.5435,0,0
1584925800,1.5435,1.54464,1.54291,1.54455,0,0
1584926100,1.54455,1.5457,1.54384,1.54384,0,0
1584926400,1.54384,1.54618,1.54375,1.54529,0,0
1584926700,1.54529,1.54576,1.54332,1.54332,0,0
1584927000,1.54332,1.54332,1.54059,1.543,0,0
1584927300,1.543,1.54503,1.54275,1.54503,0,0
1584927600,1.54503,1.54691,1.54503,1.54565,0,0
1584927900,1.54565,1.54727,1.54543,1.54569,0,0
1584928200,1.54569,1.54604,1.54433,1.54472,0,0
1584928500,1.54472,1.54643,1.54402,1.54615,0,0
1584928800,1.54615,1.54683,1.54569,1.54618,0,0
1584929100,1.54618,1.54666,1.54602,1.54643,0,0
1584929400,1.54643,1.54643,1.54441,1.54457,0,0
1584929700,1.54457,1.54574,1.54418,1.54574,0,0
1584930000,1.54574,1.54651,1.54532,1.5459,0,0
1584930300,1.5459,1.54594,1.54509,1.54521,0,0
1584930600,1.54521,1.54665,1.54509,1.5466,0,0
1584930900,1.5466,1.54728,1.54618,1.54628,0,0
1584931200,1.54628,1.54725,1.54594,1.54715,0,0
1584931500,1.54715,1.54728,1.54598,1.54622,0,0
1584931800,1.54622,1.54642,1.5457,1.54642,0,0
1584932100,1.54642,1.54755,1.54641,1.5468,0,0
1584932400,1.5468,1.54692,1.54436,1.54447,0,0
1584932700,1.54447,1.54477,1.5439,1.54443,0,0
1584933000,1.54443,1.54526,1.54443,1.54467,0,0
1584933300,1.54467,1.54527,1.5442,1.54462,0,0
1584933600,1.54462,1.54468,1.54397,1.54436,0,0
1584933900,1.54436,1.54477,1.54373,1.54425,0,0
1584934200,1.54425,1.54485,1.54327,1.54422,0,0
