time,open,high,low,close,"Pattern Alert",Volume
1577385000,1.08911,1.08911,1.08906,1.08907,0,0
1577385300,1.08907,1.08909,1.08897,1.08897,0,0
1577385600,1.08897,1.08898,1.08888,1.08889,0,0
1577385900,1.08889,1.08904,1.08889,1.089,0,0
1577386200,1.089,1.08903,1.08899,1.089,0,0
1577386500,1.089,1.08915,1.08899,1.08915,0,0
1577386800,1.08915,1.08915,1.08906,1.08908,0,0
1577387100,1.08908,1.08912,1.08887,1.08887,0,0
1577387400,1.08887,1.0889,1.0888,1.0888,0,0
1577387700,1.0888,1.08887,1.08879,1.08884,0,0
1577388000,1.08884,1.08886,1.08874,1.08879,0,0
1577388300,1.08879,1.08899,1.08879,1.08899,0,0
1577388600,1.08899,1.08902,1.08888,1.08902,0,0
1577388900,1.08902,1.08911,1.08902,1.08907,0,0
1577389200,1.08907,1.08911,1.08899,1.08904,0,0
1577389500,1.08904,1.08911,1.089,1.08907,0,0
1577389800,1.08907,1.08915,1.08907,1.08915,0,0
1577390100,1.08915,1.08916,1.08887,1.0889,0,0
1577390400,1.0889,1.08896,1.08888,1.08895,0,0
1577390700,1.08895,1.08895,1.08879,1.08886,0,0
1577391000,1.08886,1.08894,1.08885,1.08894,0,0
1577391300,1.08894,1.089,1.08888,1.08894,0,0
1577391600,1.08894,1.08896,1.0889,1.0889,0,0
1577391900,1.0889,1.08893,1.08882,1.08886,0,0
1577392200,1.08886,1.08894,1.08884,1.08885,0,0
1577392500,1.08885,1.08893,1.0888,1.08892,0,0
1577392800,1.08892,1.08926,1.08887,1.08926,0,0
1577393100,1.08926,1.08927,1.08916,1.08918,0,0
1577393400,1.08918,1.08936,1.08916,1.08935,0,0
1577393700,1.08935,1.0896,1.08923,1.0896,0,0
1577394000,1.0896,1.08963,1.08931,1.08931,0,0
1577394300,1.08931,1.08934,1.08924,1.08926,0,0
1577394600,1.08926,1.08944,1.08925,1.08944,0,0
1577394900,1.08944,1.08945,1.08939,1.08944,0,0
1577395200,1.08944,1.08946,1.08944,1.08946,0,0
1577395500,1.08946,1.08948,1.08928,1.0893,0,0
1577395800,1.0893,1.08935,1.08922,1.0893,0,0
1577396100,1.0893,1.08938,1.0892,1.0892,0,0
1577396400,1.0892,1.08927,1.08911,1.08911,0,0
1577396700,1.08911,1.08911,1.08895,1.08899,0,0
1577397000,1.08899,1.08899,1.08885,1.08889,0,0
1577397300,1.08889,1.08898,1.08865,1.08865,0,0
1577397600,1.08865,1.08865,1.08833,1.08841,0,0
1577397900,1.08841,1.08847,1.08834,1.08847,0,0
1577398200,1.08847,1.08848,1.08834,1.08841,0,0
1577398500,1.08841,1.08848,1.08838,1.08846,0,0
1577398800,1.08846,1.08852,1.08844,1.0885,0,0
1577399100,1.0885,1.08855,1.08847,1.08851,0,0
1577399400,1.08851,1.08858,1.08845,1.08856,0,0
1577399700,1.08856,1.08858,1.08855,1.08857,0,0
1577400000,1.08857,1.08859,1.08856,1.08858,0,0
1577400300,1.08858,1.08866,1.08858,1.08863,0,0
1577400600,1.08863,1.08863,1.08856,1.08859,0,0
1577400900,1.08859,1.08861,1.08854,1.08858,0,0
1577401200,1.08858,1.08894,1.08858,1.08885,0,0
1577401500,1.08885,1.08894,1.08885,1.08887,0,0
1577401800,1.08887,1.08895,1.08885,1.08893,0,0
1577402100,1.08893,1.08897,1.08892,1.08894,0,0
1577402400,1.08894,1.08898,1.08894,1.08895,0,0
1577402700,1.08895,1.08897,1.0889,1.08891,0,0
1577403000,1.08891,1.089,1.08888,1.089,0,0
1577403300,1.089,1.08931,1.08899,1.08931,0,0
1577403600,1.08931,1.08943,1.08931,1.08939,0,0
1577403900,1.08939,1.0898,1.08938,1.08948,0,0
1577404200,1.08948,1.0895,1.08946,1.08946,0,0
1577404500,1.08946,1.08948,1.08939,1.08948,0,0
1577404800,1.08948,1.08954,1.08917,1.08932,0,0
1577405100,1.08932,1.08942,1.08931,1.08936,0,0
1577405400,1.08936,1.08936,1.08928,1.08932,0,0
1577405700,1.08932,1.08932,1.0892,1.0892,0,0
1577406000,1.0892,1.08921,1.08888,1.08888,0,0
1577406300,1.08888,1.08892,1.08876,1.08879,0,0
1577406600,1.08879,1.0889,1.08879,1.08886,0,0
1577406900,1.08886,1.08887,1.08879,1.08883,0,0
1577407200,1.08883,1.08887,1.08878,1.08878,0,0
1577407500,1.08878,1.08878,1.08868,1.08872,0,0
1577407800,1.08872,1.08888,1.08866,1.08866,0,0
1577408100,1.08866,1.08866,1.08809,1.08864,0,0
1577408400,1.08864,1.08867,1.08841,1.08849,0,0
1577408700,1.08849,1.08889,1.08849,1.08889,0,0
1577409000,1.08889,1.08895,1.08889,1.08895,0,0
1577409300,1.08895,1.08913,1.08892,1.08913,0,0
1577409600,1.08913,1.08931,1.08913,1.08931,0,0
1577409900,1.08931,1.08932,1.0892,1.08929,0,0
1577410200,1.08929,1.08934,1.08925,1.08933,0,0
1577410500,1.08933,1.08942,1.08928,1.08941,0,0
1577410800,1.08941,1.08944,1.08934,1.0894,0,0
1577411100,1.0894,1.08945,1.08939,1.08941,0,0
1577411400,1.08941,1.08945,1.08938,1.08939,0,0
1577411700,1.08939,1.0895,1.08936,1.0895,0,0
1577412000,1.0895,1.08951,1.08944,1.08951,0,0
1577412300,1.08951,1.08952,1.0894,1.08947,0,0
1577412600,1.08947,1.08953,1.08941,1.08953,0,0
1577412900,1.08953,1.08955,1.08946,1.08955,0,0
1577413200,1.08955,1.08963,1.08952,1.08957,0,0
1577413500,1.08957,1.08963,1.08956,1.0896,0,0
1577413800,1.0896,1.08963,1.08953,1.08954,0,0
1577414100,1.08954,1.0896,1.08942,1.08945,0,0
1577414400,1.08945,1.08958,1.0892,1.08923,0,0
1577414700,1.08923,1.08952,1.08922,1.0895,0,0
1577415000,1.0895,1.08952,1.08944,1.08949,0,0
1577415300,1.08949,1.08959,1.08949,1.08949,0,0
1577415600,1.08949,1.08957,1.08946,1.08956,0,0
1577415900,1.08956,1.08966,1.08952,1.08952,0,0
1577416200,1.08952,1.08958,1.08948,1.08955,0,0
1577416500,1.08955,1.08966,1.08952,1.08958,0,0
1577416800,1.08958,1.08963,1.08958,1.08959,0,0
1577417100,1.08959,1.08972,1.08959,1.08969,0,0
1577417400,1.08969,1.08987,1.08966,1.0897,0,0
1577417700,1.0897,1.08974,1.08968,1.08972,0,0
1577418000,1.08972,1.08972,1.08962,1.08963,0,0
1577418300,1.08963,1.08964,1.08952,1.08955,0,0
1577418600,1.08955,1.08963,1.08955,1.08962,0,0
1577418900,1.08962,1.08962,1.0895,1.08955,0,0
1577419200,1.08955,1.08959,1.08953,1.08958,0,0
1577419500,1.08958,1.08959,1.08953,1.08955,0,0
