time,open,high,low,close,"Pattern Alert",Volume
1606847400,0.89756,0.89771,0.89747,0.89749,0,0
1606847700,0.89749,0.89749,0.89731,0.89731,0,0
1606848000,0.89731,0.89746,0.89729,0.89745,0,0
1606848300,0.89745,0.89751,0.89709,0.89724,0,0
1606848600,0.89724,0.89736,0.89715,0.8973,0,0
1606848900,0.8973,0.8973,0.89677,0.89677,0,0
1606849200,0.89677,0.89706,0.8967,0.89698,0,0
1606849500,0.89698,0.8971,0.89687,0.8971,0,0
1606849800,0.8971,0.89713,0.897,0.89704,0,0
1606850100,0.89704,0.89737,0.89693,0.89735,0,0
1606850400,0.89735,0.89745,0.8973,0.89736,0,0
1606850700,0.89736,0.89741,0.89729,0.89737,0,0
1606851000,0.89737,0.89755,0.89733,0.89734,0,0
1606851300,0.89734,0.89749,0.8973,0.89747,0,0
1606851600,0.89747,0.89757,0.89742,0.89749,0,0
1606851900,0.89749,0.89778,0.89745,0.8977,0,0
1606852200,0.8977,0.89782,0.89763,0.89773,0,0
1606852500,0.89773,0.89814,0.89767,0.89793,0,0
1606852800,0.89793,0.89832,0.89793,0.89832,0,0
1606853100,0.89832,0.89843,0.89829,0.89838,0,0
1606853400,0.89838,0.89854,0.89832,0.89854,0,0
1606853700,0.89854,0.89854,0.89833,0.89837,0,0
1606854000,0.89837,0.89854,0.89824,0.89825,0,0
1606854300,0.89825,0.89843,0.89825,0.8983,0,0
1606854600,0.8983,0.89848,0.89829,0.89848,0,0
1606854900,0.89848,0.89863,0.89832,0.89853,0,0
1606855200,0.89853,0.89881,0.89853,0.89874,0,0
1606855500,0.89874,0.89875,0.89855,0.8987,0,0
1606855800,0.8987,0.89931,0.8987,0.89901,0,0
1606856100,0.89901,0.89922,0.89882,0.89909,0,0
1606856400,0.89909,0.89925,0.89894,0.89903,0,0
1606856700,0.89903,0.8992,0.89888,0.89913,0,0
1606857000,0.89913,0.8992,0.89884,0.89916,0,0
1606857300,0.89916,0.89933,0.89912,0.89929,0,0
1606857600,0.89929,0.89962,0.89929,0.89946,0,0
1606857900,0.89946,0.89949,0.89903,0.89908,0,0
1606858200,0.89908,0.89921,0.89907,0.89915,0,0
1606858500,0.89915,0.89952,0.89915,0.89946,0,0
1606858800,0.89946,0.89961,0.89934,0.89955,0,0
1606859100,0.89955,0.89962,0.89922,0.89922,0,0
1606859400,0.89922,0.8993,0.89894,0.89896,0,0
1606859700,0.89896,0.89928,0.89895,0.89906,0,0
1606860000,0.89906,0.89906,0.89853,0.89881,0,0
1606860300,0.89881,0.89902,0.89861,0.89899,0,0
1606860600,0.89899,0.89902,0.89861,0.89864,0,0
1606860900,0.89864,0.89873,0.89863,0.89872,0,0
1606861200,0.89872,0.89925,0.89863,0.89906,0,0
1606861500,0.89906,0.8991,0.89886,0.89895,0,0
1606861800,0.89895,0.89924,0.89895,0.89912,0,0
1606862100,0.89912,0.89916,0.89889,0.89915,0,0
1606862400,0.89915,0.89919,0.89891,0.89891,0,0
1606862700,0.89891,0.89905,0.89878,0.89879,0,0
1606863000,0.89879,0.89896,0.89873,0.89886,0,0
1606863300,0.89886,0.89897,0.89883,0.89893,0,0
1606863600,0.89893,0.89913,0.89887,0.89896,0,0
1606863900,0.89896,0.89911,0.89889,0.89889,0,0
1606864200,0.89889,0.89907,0.89883,0.89895,0,0
1606864500,0.89895,0.89906,0.89892,0.89905,0,0
1606864800,0.89905,0.89912,0.899,0.89908,0,0
1606865100,0.89908,0.89917,0.89902,0.89911,0,0
1606865400,0.89911,0.89934,0.89902,0.89928,0,0
1606865700,0.89928,0.89938,0.89913,0.89924,0,0
1606866000,0.89924,0.89933,0.89917,0.89932,0,0
1606866300,0.89932,0.89933,0.89904,0.89917,0,0
1606866600,0.89917,0.89945,0.89917,0.89938,0,0
1606866900,0.89938,0.89938,0.89927,0.89931,0,0
1606867200,0.89931,0.89931,0.89907,0.89921,0,0
1606867500,0.89921,0.89929,0.89911,0.89911,0,0
1606867800,0.89911,0.89927,0.89897,0.89897,0,0
1606868100,0.89897,0.89898,0.89889,0.89897,0,0
1606868400,0.89897,0.89903,0.89887,0.89887,0,0
1606868700,0.89887,0.89894,0.89887,0.89892,0,0
1606869000,0.89892,0.89899,0.89877,0.89887,0,0
1606869300,0.89887,0.89888,0.89875,0.8988,0,0
1606869600,0.8988,0.89883,0.89877,0.89881,0,0
1606869900,0.89881,0.89888,0.89877,0.89879,0,0
1606870200,0.89879,0.89936,0.89874,0.89923,0,0
1606870500,0.89923,0.8993,0.89902,0.89902,0,0
1606870800,0.89902,0.89923,0.89901,0.89923,0,0
1606871100,0.89923,0.8993,0.89896,0.89899,0,0
1606871400,0.89899,0.89906,0.89885,0.89885,0,0
1606871700,0.89885,0.89885,0.89867,0.89883,0,0
1606872000,0.89883,0.89902,0.89854,0.89861,0,0
1606872300,0.89861,0.89887,0.8986,0.89887,0,0
1606872600,0.89887,0.89903,0.89883,0.89902,0,0
1606872900,0.89902,0.89931,0.89902,0.89928,0,0
1606873200,0.89928,0.89976,0.89928,0.89975,0,0
1606873500,0.89975,0.89981,0.89968,0.89981,0,0
1606873800,0.89981,0.89998,0.89977,0.89988,0,0
1606874100,0.89988,0.89996,0.8998,0.89992,0,0
1606874400,0.89992,0.89999,0.89978,0.89991,0,0
1606874700,0.89991,0.90016,0.8999,0.90014,0,0
1606875000,0.90014,0.90016,0.89993,0.89997,0,0
1606875300,0.89997,0.89999,0.89988,0.89993,0,0
1606875600,0.89993,0.89996,0.8999,0.89996,0,0
1606875900,0.89996,0.89998,0.89979,0.8999,0,0
1606876200,0.8999,0.89993,0.89979,0.89989,0,0
1606876500,0.89989,0.89995,0.8998,0.89981,0,0
1606876800,0.89981,0.89985,0.89974,0.89979,0,0
1606877100,0.89979,0.8999,0.89969,0.8998,0,0
1606877400,0.8998,0.89998,0.89969,0.89993,0,0
1606877700,0.89993,0.89999,0.89983,0.89997,0,0
1606878000,0.89997,0.90009,0.89987,0.90008,0,0
1606878300,0.90008,0.90015,0.90004,0.90004,0,0
1606878600,0.90004,0.90006,0.89994,0.89999,0,0
1606878900,0.89999,0.90001,0.89991,0.89992,0,0
1606879200,0.89992,0.90006,0.89992,0.90004,0,0
1606879500,0.90004,0.90005,0.89995,0.90005,0,0
1606879800,0.90005,0.90005,0.89984,0.89984,0,0
1606880100,0.89984,0.89988,0.89982,0.89984,0,0
1606880400,0.89984,0.89989,0.89979,0.89988,0,0
1606880700,0.89988,0.89993,0.89982,0.89984,0,0
1606881000,0.89984,0.90001,0.89982,0.89991,0,0
1606881300,0.89991,0.90003,0.89988,0.90002,0,0
1606881600,0.90002,0.90014,0.89996,0.89997,0,0
1606881900,0.89997,0.89999,0.89986,0.89988,0,0
1606882200,0.89988,0.90005,0.89985,0.90005,0,0
1606882500,0.90005,0.90008,0.9,0.90006,0,0
