time,open,high,low,close,"Pattern Alert",Volume
1701369000,161.339,161.356,161.318,161.345,0,0
1701369300,161.345,161.372,161.341,161.372,0,0
1701369600,161.372,161.382,161.358,161.381,0,0
1701369900,161.381,161.393,161.348,161.35,0,0
1701370200,161.35,161.387,161.336,161.385,0,0
1701370500,161.385,161.4,161.375,161.399,0,0
1701370800,161.399,161.417,161.375,161.38,0,0
1701371100,161.38,161.381,161.347,161.37,0,0
1701371400,161.37,161.391,161.366,161.386,0,0
1701371700,161.386,161.405,161.369,161.37,0,0
1701372000,161.37,161.396,161.359,161.394,0,0
1701372300,161.394,161.399,161.361,161.369,0,0
1701372600,161.369,161.377,161.359,161.376,0,0
1701372900,161.376,161.398,161.361,161.376,0,0
1701373200,161.376,161.389,161.367,161.381,0,0
1701373500,161.381,161.397,161.372,161.396,0,0
1701373800,161.396,161.408,161.388,161.406,0,0
1701374100,161.406,161.423,161.392,161.405,0,0
1701374400,161.405,161.415,161.373,161.407,0,0
1701374700,161.407,161.423,161.386,161.391,0,0
1701375000,161.391,161.409,161.388,161.389,0,0
1701375300,161.389,161.398,161.356,161.384,0,0
1701375600,161.384,161.388,161.338,161.35,0,0
1701375900,161.35,161.355,161.311,161.311,0,0
1701376200,161.311,161.341,161.31,161.317,0,0
1701376500,161.317,161.348,161.316,161.338,0,0
1701376800,161.338,161.379,161.325,161.376,0,0
1701377100,161.376,161.376,161.324,161.326,0,0
1701377400,161.326,161.365,161.326,161.36,0,0
1701377700,161.36,161.386,161.357,161.357,0,0
1701378000,161.357,161.386,161.35,161.375,0,0
1701378300,161.375,161.402,161.363,161.392,0,0
1701378600,161.392,161.393,161.377,161.39,0,0
1701378900,161.39,161.391,161.365,161.386,0,0
1701379200,161.386,161.388,161.35,161.363,0,0
1701379500,161.363,161.363,161.329,161.335,0,0
1701379800,161.335,161.346,161.33,161.331,0,0
1701380100,161.331,161.348,161.326,161.344,0,0
1701380400,161.344,161.355,161.344,161.352,0,0
1701380700,161.352,161.367,161.35,161.358,0,0
1701381000,161.358,161.379,161.358,161.366,0,0
1701381300,161.366,161.375,161.353,161.359,0,0
1701381600,161.359,161.371,161.285,161.308,0,0
1701381900,161.308,161.308,161.273,161.306,0,0
1701382200,161.306,161.306,161.281,161.284,0,0
1701382500,161.284,161.293,161.284,161.291,0,0
1701382800,161.291,161.291,161.273,161.276,0,0
1701383100,161.276,161.287,161.271,161.281,0,0
1701383400,161.281,161.302,161.281,161.3,0,0
1701383700,161.3,161.311,161.298,161.311,0,0
1701384000,161.311,161.314,161.306,161.313,0,0
1701384300,161.313,161.314,161.305,161.308,0,0
1701384600,161.308,161.345,161.304,161.339,0,0
1701384900,161.339,161.378,161.327,161.367,0,0
1701385200,161.367,161.373,161.262,161.285,0,0
1701385500,161.285,161.313,161.263,161.272,0,0
1701385800,161.272,161.295,161.271,161.278,0,0
1701386100,161.278,161.278,161.234,161.246,0,0
1701386400,161.246,161.25,161.231,161.242,0,0
1701386700,161.242,161.245,161.218,161.218,0,0
1701387000,161.218,161.224,161.156,161.186,0,0
1701387300,161.186,161.228,161.183,161.205,0,0
1701387600,161.205,161.251,161.205,161.227,0,0
1701387900,161.227,161.269,161.222,161.222,0,0
1701388200,161.222,161.246,161.199,161.239,0,0
1701388500,161.239,161.254,161.193,161.197,0,0
1701388800,161.197,161.237,161.138,161.15,0,0
1701389100,161.15,161.187,161.149,161.182,0,0
1701389400,161.182,161.184,161.105,161.109,0,0
1701389700,161.109,161.156,161.101,161.148,0,0
1701390000,161.148,161.163,161.098,161.159,0,0
1701390300,161.159,161.185,161.145,161.173,0,0
1701390600,161.173,161.195,161.136,161.137,0,0
1701390900,161.137,161.253,161.137,161.249,0,0
1701391200,161.249,161.259,161.204,161.227,0,0
