time,open,high,low,close,"Pattern Alert",Volume
1683657000,1.09705,1.09723,1.09694,1.097,0,0
1683657300,1.097,1.09705,1.09683,1.09694,0,0
1683657600,1.09694,1.09695,1.09679,1.09679,0,0
1683657900,1.09679,1.09694,1.09678,1.09691,0,0
1683658200,1.09691,1.09694,1.09659,1.09669,0,0
1683658500,1.09669,1.09674,1.09658,1.09664,0,0
1683658800,1.09664,1.09675,1.09656,1.09668,0,0
1683659100,1.09668,1.09679,1.09662,1.09664,0,0
1683659400,1.09664,1.0969,1.09653,1.09687,0,0
1683659700,1.09687,1.09696,1.09683,1.09684,0,0
1683660000,1.09684,1.09689,1.09668,1.0968,0,0
1683660300,1.0968,1.09684,1.09664,1.09665,0,0
1683660600,1.09665,1.0967,1.09657,1.09669,0,0
1683660900,1.09669,1.0967,1.09651,1.09653,0,0
1683661200,1.09653,1.09655,1.0964,1.09644,0,0
1683661500,1.09644,1.09645,1.09629,1.0963,0,0
1683661800,1.0963,1.09636,1.09627,1.09631,0,0
1683662100,1.09631,1.09635,1.09615,1.09627,0,0
1683662400,1.09627,1.09636,1.09623,1.09632,0,0
1683662700,1.09632,1.09632,1.09623,1.09625,0,0
1683663000,1.09625,1.09629,1.09623,1.09624,0,0
1683663300,1.09624,1.09628,1.09616,1.09619,0,0
1683663600,1.09619,1.09638,1.09619,1.09638,0,0
1683663900,1.09638,1.09638,1.09617,1.09619,0,0
1683664200,1.09619,1.09624,1.09618,1.09619,0,0
1683664500,1.09619,1.09625,1.09618,1.09624,0,0
1683664800,1.09624,1.09626,1.09618,1.09618,0,0
1683665100,1.09618,1.09619,1.09613,1.09613,0,0
1683665400,1.09613,1.09614,1.09594,1.09601,0,0
1683665700,1.09601,1.0961,1.09599,1.09599,0,0
1683666000,1.09599,1.09599,1.09593,1.09599,0,0
1683666300,1.09599,1.09618,1.09597,1.09609,0,0
1683666600,1.09609,1.09612,1.09608,1.09611,0,0
1683666900,1.09611,1.09621,1.09609,1.0962,0,0
1683667200,1.0962,1.09631,1.0962,1.09631,0,0
1683667500,1.09631,1.09633,1.09617,1.09618,0,0
1683667800,1.09618,1.0963,1.09617,1.09628,0,0
1683668100,1.09628,1.0963,1.09628,1.09629,0,0
1683668400,1.09629,1.0963,1.09628,1.09629,0,0
1683668700,1.09629,1.09631,1.09628,1.0963,0,0
1683669000,1.0963,1.09631,1.09617,1.09628,0,0
