time,open,high,low,close,"Pattern Alert",Volume
1735065000,2.0098,2.00988,2.00974,2.00974,0,0
1735065300,2.00974,2.00974,2.00948,2.00962,0,0
1735065600,2.00962,2.01049,2.00962,2.01027,0,0
1735065900,2.01027,2.01058,2.01001,2.01044,0,0
1735066200,2.01044,2.01046,2.00996,2.01007,0,0
1735066500,2.01007,2.01021,2.00997,2.01021,0,0
1735066800,2.01021,2.01021,2.00995,2.01001,0,0
1735067100,2.01001,2.01004,2.00812,2.00841,0,0
1735067400,2.00841,2.00873,2.00823,2.00863,0,0
1735067700,2.00863,2.00865,2.00798,2.00804,0,0
1735068000,2.00804,2.00828,2.0074,2.00782,0,0
1735068300,2.00782,2.00806,2.00757,2.00766,0,0
1735068600,2.00766,2.00809,2.00756,2.00809,0,0
1735068900,2.00809,2.0097,2.00751,2.00898,0,0
1735069200,2.00898,2.00958,2.00868,2.0095,0,0
1735069500,2.0095,2.0096,2.0078,2.00791,0,0
1735069800,2.00791,2.00848,2.00785,2.00834,0,0
1735070100,2.00834,2.00862,2.00803,2.00856,0,0
1735070400,2.00856,2.00898,2.00856,2.0088,0,0
1735070700,2.0088,2.00917,2.00872,2.00878,0,0
1735071000,2.00878,2.00888,2.00837,2.00846,0,0
1735071300,2.00846,2.00887,2.00813,2.00841,0,0
1735071600,2.00841,2.00928,2.00758,2.00822,0,0
1735071900,2.00822,2.00911,2.00802,2.00813,0,0
1735072200,2.00813,2.00885,2.00813,2.00836,0,0
1735072500,2.00836,2.00898,2.00836,2.00892,0,0
1735072800,2.00892,2.00906,2.00836,2.00858,0,0
1735073100,2.00858,2.00888,2.00815,2.00856,0,0
1735073400,2.00856,2.00948,2.00853,2.00912,0,0
1735073700,2.00912,2.01001,2.00906,2.00998,0,0
1735074000,2.00998,2.0101,2.0087,2.00912,0,0
1735074300,2.00912,2.01001,2.00898,2.00926,0,0
1735074600,2.00926,2.00948,2.00842,2.00876,0,0
1735074900,2.00876,2.00909,2.0085,2.00889,0,0
1735075200,2.00889,2.01004,2.00889,2.01001,0,0
1735075500,2.01001,2.01001,2.00837,2.00857,0,0
1735075800,2.00857,2.00915,2.00857,2.00915,0,0
1735076100,2.00915,2.00954,2.00907,2.00913,0,0
1735076400,2.00913,2.00956,2.00666,2.00891,0,0
1735076700,2.00891,2.00898,2.00748,2.00882,0,0
1735077000,2.00882,2.00898,2.00872,2.00872,0,0
1735077300,2.00872,2.00886,2.00872,2.00882,0,0
