time,open,high,low,close,"Pattern Alert",Volume
1716152400,1.72778,1.72778,1.72691,1.72691,0,0
1716152700,1.72691,1.72712,1.72687,1.72697,0,0
1716153000,1.72697,1.72717,1.72692,1.72697,0,0
1716153300,1.72697,1.72746,1.72695,1.72746,0,0
1716153600,1.72746,1.72774,1.72712,1.72752,0,0
1716153900,1.72752,1.72777,1.72751,1.72763,0,0
1716154200,1.72763,1.72781,1.72757,1.72781,0,0
1716154500,1.72781,1.72781,1.72716,1.72775,0,0
1716154800,1.72775,1.72781,1.72759,1.72776,0,0
1716155100,1.72776,1.72839,1.72766,1.72818,0,0
1716155400,1.72818,1.72819,1.72811,1.72812,0,0
1716155700,1.72812,1.72819,1.72796,1.728,0,0
1716156000,1.728,1.72877,1.728,1.72824,0,0
1716156300,1.72824,1.72857,1.72824,1.72854,0,0
1716156600,1.72854,1.72856,1.72849,1.72855,0,0
1716156900,1.72855,1.72867,1.72855,1.72867,0,0
1716157200,1.72867,1.7287,1.72861,1.72869,0,0
1716157500,1.72869,1.72874,1.72867,1.72872,0,0
1716157800,1.72872,1.72881,1.7287,1.72879,0,0
1716158100,1.72879,1.72882,1.72874,1.72876,0,0
1716158400,1.72876,1.72883,1.72873,1.72876,0,0
1716158700,1.72876,1.72878,1.72871,1.72873,0,0
1716159000,1.72873,1.72883,1.72873,1.72882,0,0
1716159300,1.72882,1.72884,1.72852,1.72852,0,0
1716159600,1.72852,1.72856,1.72835,1.72853,0,0
1716159900,1.72853,1.72862,1.7285,1.72855,0,0
1716160200,1.72855,1.72861,1.72851,1.72857,0,0
1716160500,1.72857,1.72859,1.72849,1.72855,0,0
1716160800,1.72855,1.72869,1.72854,1.72867,0,0
1716161100,1.72867,1.72875,1.72859,1.72873,0,0
1716161400,1.72873,1.72886,1.72867,1.72886,0,0
1716161700,1.72886,1.72894,1.72885,1.72894,0,0
1716162000,1.72894,1.72899,1.72885,1.72895,0,0
1716162300,1.72895,1.72896,1.72873,1.72889,0,0
1716162600,1.72889,1.729,1.72886,1.72899,0,0
1716162900,1.72899,1.72912,1.72895,1.72905,0,0
1716163200,1.72905,1.72907,1.72868,1.72895,0,0
1716163500,1.72895,1.72901,1.72868,1.72868,0,0
1716163800,1.72868,1.72872,1.7285,1.72855,0,0
1716164100,1.72855,1.72887,1.72848,1.72887,0,0
1716164400,1.72887,1.72901,1.72881,1.72895,0,0
1716164700,1.72895,1.7292,1.72893,1.72893,0,0
1716165000,1.72893,1.72917,1.72893,1.72914,0,0
1716165300,1.72914,1.72926,1.72903,1.72903,0,0
1716165600,1.72903,1.72914,1.72891,1.72893,0,0
1716165900,1.72893,1.72894,1.72876,1.72878,0,0
1716166200,1.72878,1.72882,1.72863,1.7287,0,0
1716166500,1.7287,1.72896,1.72869,1.72885,0,0
1716166800,1.72885,1.72889,1.72836,1.72848,0,0
1716167100,1.72848,1.7287,1.72843,1.72858,0,0
1716167400,1.72858,1.72873,1.72849,1.72861,0,0
1716167700,1.72861,1.72885,1.72859,1.72877,0,0
1716168000,1.72877,1.72884,1.72866,1.72877,0,0
1716168300,1.72877,1.72892,1.72862,1.72868,0,0
1716168600,1.72868,1.7287,1.72835,1.72846,0,0
1716168900,1.72846,1.72846,1.72826,1.72836,0,0
1716169200,1.72836,1.72842,1.72832,1.72833,0,0
1716169500,1.72833,1.72839,1.72827,1.72835,0,0
1716169800,1.72835,1.72855,1.72835,1.72849,0,0
