time,open,high,low,close,"Pattern Alert",Volume
1650911400,1.2222,1.22221,1.22196,1.22203,0,0
1650911700,1.22203,1.22208,1.22157,1.2216,0,0
1650912000,1.2216,1.22164,1.22125,1.22125,0,0
1650912300,1.22125,1.22161,1.22114,1.22153,0,0
1650912600,1.22153,1.22154,1.22138,1.22141,0,0
1650912900,1.22141,1.22157,1.22116,1.22124,0,0
1650913200,1.22124,1.22135,1.22056,1.22067,0,0
1650913500,1.22067,1.22075,1.22048,1.22061,0,0
1650913800,1.22061,1.22098,1.22056,1.22098,0,0
1650914100,1.22098,1.22165,1.22095,1.22148,0,0
1650914400,1.22148,1.22149,1.22116,1.22135,0,0
1650914700,1.22135,1.22137,1.2209,1.22118,0,0
1650915000,1.22118,1.22118,1.22091,1.22094,0,0
1650915300,1.22094,1.2213,1.22092,1.22125,0,0
1650915600,1.22125,1.22133,1.22098,1.22116,0,0
1650915900,1.22116,1.22117,1.22089,1.22112,0,0
1650916200,1.22112,1.2215,1.22098,1.22146,0,0
1650916500,1.22146,1.22153,1.22134,1.22138,0,0
1650916800,1.22138,1.22178,1.22134,1.2216,0,0
1650917100,1.2216,1.22183,1.2216,1.2218,0,0
1650917400,1.2218,1.22205,1.22178,1.22202,0,0
1650917700,1.22202,1.22211,1.22192,1.22197,0,0
1650918000,1.22197,1.22243,1.22197,1.2224,0,0
1650918300,1.2224,1.2228,1.22239,1.22276,0,0
1650918600,1.22276,1.22277,1.22209,1.22215,0,0
1650918900,1.22215,1.22225,1.22205,1.22225,0,0
1650919200,1.22225,1.22228,1.22222,1.22225,0,0
1650919500,1.22225,1.22248,1.2222,1.22246,0,0
1650919800,1.22246,1.22252,1.22234,1.2225,0,0
1650920100,1.2225,1.22253,1.22193,1.22193,0,0
1650920400,1.22193,1.22193,1.22101,1.22101,0,0
1650920700,1.22101,1.22152,1.22095,1.2215,0,0
1650921000,1.2215,1.22154,1.22135,1.22153,0,0
1650921300,1.22153,1.22153,1.22148,1.22148,0,0
1650921600,1.22148,1.22155,1.22136,1.2215,0,0
1650921900,1.2215,1.2215,1.22125,1.22145,0,0
1650922200,1.22145,1.22184,1.22016,1.22181,0,0
1650922500,1.22181,1.22191,1.22173,1.22191,0,0
1650922800,1.22191,1.22195,1.22191,1.22193,0,0
1650923100,1.22193,1.22196,1.22191,1.22194,0,0
1650923400,1.22194,1.22197,1.22193,1.22194,0,0
1650923700,1.22194,1.22195,1.22189,1.22194,0,0
1650924000,1.22194,1.22223,1.2219,1.22221,0,0
1650924300,1.22221,1.22221,1.2219,1.2219,0,0
1650924600,1.2219,1.22193,1.22166,1.22188,0,0
1650924900,1.22188,1.22189,1.22152,1.22153,0,0
1650925200,1.22153,1.22162,1.2214,1.22155,0,0
1650925500,1.22155,1.22155,1.22126,1.22145,0,0
1650925800,1.22145,1.22145,1.22112,1.22112,0,0
1650926100,1.22112,1.22116,1.22085,1.22102,0,0
1650926400,1.22102,1.22103,1.2209,1.22103,0,0
1650926700,1.22103,1.2212,1.221,1.2212,0,0
1650927000,1.2212,1.22141,1.22116,1.22123,0,0
1650927300,1.22123,1.22138,1.22115,1.22116,0,0
1650927600,1.22116,1.22132,1.22107,1.22113,0,0
1650927900,1.22113,1.22139,1.22111,1.22136,0,0
1650928200,1.22136,1.22159,1.22133,1.22159,0,0
1650928500,1.22159,1.22159,1.22136,1.22138,0,0
1650928800,1.22138,1.22138,1.22125,1.22129,0,0
1650929100,1.22129,1.22141,1.22122,1.22133,0,0
1650929400,1.22133,1.2214,1.22121,1.22139,0,0
1650929700,1.22139,1.22159,1.22133,1.22133,0,0
1650930000,1.22133,1.22138,1.22126,1.22133,0,0
1650930300,1.22133,1.22137,1.22089,1.22095,0,0
1650930600,1.22095,1.22109,1.22088,1.22089,0,0
1650930900,1.22089,1.22094,1.22077,1.22088,0,0
1650931200,1.22088,1.22097,1.22038,1.22044,0,0
1650931500,1.22044,1.22059,1.22022,1.22043,0,0
1650931800,1.22043,1.22043,1.22006,1.22007,0,0
1650932100,1.22007,1.22037,1.22002,1.22023,0,0
1650932400,1.22023,1.22044,1.22014,1.2202,0,0
1650932700,1.2202,1.22027,1.21952,1.21982,0,0
1650933000,1.21982,1.22004,1.21975,1.21982,0,0
1650933300,1.21982,1.22009,1.21975,1.22003,0,0
1650933600,1.22003,1.22031,1.21991,1.2201,0,0
1650933900,1.2201,1.22024,1.21986,1.21992,0,0
1650934200,1.21992,1.22006,1.2194,1.21988,0,0
1650934500,1.21988,1.22082,1.21984,1.22045,0,0
1650934800,1.22045,1.22055,1.22032,1.22046,0,0
1650935100,1.22046,1.22048,1.2203,1.22037,0,0
1650935400,1.22037,1.22054,1.22029,1.22044,0,0
1650935700,1.22044,1.22045,1.22002,1.22014,0,0
1650936000,1.22014,1.22041,1.22014,1.22026,0,0
1650936300,1.22026,1.2205,1.22017,1.22022,0,0
1650936600,1.22022,1.22035,1.22006,1.22034,0,0
1650936900,1.22034,1.22061,1.22025,1.22053,0,0
1650937200,1.22053,1.22066,1.22042,1.22057,0,0
1650937500,1.22057,1.22065,1.22046,1.22059,0,0
1650937800,1.22059,1.22092,1.22051,1.22083,0,0
1650938100,1.22083,1.22087,1.22054,1.22067,0,0
1650938400,1.22067,1.22108,1.22059,1.22108,0,0
1650938700,1.22108,1.22134,1.22108,1.2212,0,0
1650939000,1.2212,1.22134,1.22102,1.22126,0,0
1650939300,1.22126,1.22137,1.22107,1.22136,0,0
1650939600,1.22136,1.22148,1.22126,1.2213,0,0
1650939900,1.2213,1.22144,1.22118,1.2212,0,0
1650940200,1.2212,1.22122,1.22105,1.22112,0,0
1650940500,1.22112,1.22157,1.22111,1.22143,0,0
1650940800,1.22143,1.22164,1.22133,1.22162,0,0
1650941100,1.22162,1.22173,1.22136,1.22171,0,0
1650941400,1.22171,1.22205,1.22169,1.2218,0,0
1650941700,1.2218,1.2225,1.22172,1.2225,0,0
1650942000,1.2225,1.22271,1.22222,1.22256,0,0
1650942300,1.22256,1.22287,1.22243,1.22281,0,0
1650942600,1.22281,1.22282,1.22262,1.22265,0,0
1650942900,1.22265,1.22295,1.22262,1.22276,0,0
1650943200,1.22276,1.22293,1.22271,1.22273,0,0
1650943500,1.22273,1.22289,1.22256,1.22271,0,0
1650943800,1.22271,1.22291,1.22243,1.22291,0,0
1650944100,1.22291,1.22317,1.22283,1.22308,0,0
1650944400,1.22308,1.22347,1.22306,1.22345,0,0
1650944700,1.22345,1.22361,1.22337,1.22346,0,0
1650945000,1.22346,1.22365,1.22338,1.22357,0,0
1650945300,1.22357,1.22378,1.22355,1.22372,0,0
1650945600,1.22372,1.22401,1.22356,1.22396,0,0
1650945900,1.22396,1.22402,1.22374,1.22382,0,0
1650946200,1.22382,1.22382,1.22358,1.22371,0,0
1650946500,1.22371,1.22378,1.22365,1.22375,0,0
1650946800,1.22375,1.22384,1.22363,1.22381,0,0
1650947100,1.22381,1.22383,1.22356,1.22371,0,0
1650947400,1.22371,1.22372,1.22349,1.22352,0,0
1650947700,1.22352,1.22357,1.22324,1.22324,0,0
1650948000,1.22324,1.22337,1.2232,1.22337,0,0
1650948300,1.22337,1.22346,1.22319,1.22337,0,0
1650948600,1.22337,1.22337,1.22316,1.22324,0,0
1650948900,1.22324,1.22326,1.22316,1.2232,0,0
1650949200,1.2232,1.22349,1.22314,1.22347,0,0
1650949500,1.22347,1.22358,1.22336,1.2234,0,0
1650949800,1.2234,1.22345,1.22319,1.22322,0,0
1650950100,1.22322,1.22346,1.22314,1.2233,0,0
1650950400,1.2233,1.2233,1.22316,1.22318,0,0
1650950700,1.22318,1.22319,1.2229,1.22301,0,0
1650951000,1.22301,1.22311,1.22263,1.22263,0,0
1650951300,1.22263,1.22273,1.22249,1.22268,0,0
1650951600,1.22268,1.2232,1.22264,1.2232,0,0
1650951900,1.2232,1.22341,1.2232,1.22323,0,0
