time,open,high,low,close,"Pattern Alert",Volume
1680469200,164.384,164.406,164.238,164.243,0,0
1680469500,164.243,164.265,164.243,164.256,0,0
1680469800,164.256,164.262,164.238,164.261,0,0
1680470100,164.261,164.262,164.259,164.262,0,0
1680470400,164.262,164.267,164.261,164.267,0,0
1680470700,164.267,164.268,164.265,164.265,0,0
1680471000,164.265,164.299,164.265,164.286,0,0
1680471300,164.286,164.372,164.276,164.282,0,0
1680471600,164.282,164.334,164.266,164.323,0,0
1680471900,164.323,164.327,164.294,164.313,0,0
1680472200,164.313,164.347,164.308,164.334,0,0
1680472500,164.334,164.377,164.258,164.268,0,0
1680472800,164.268,164.268,163.984,164.037,0,0
1680473100,164.037,164.199,163.991,164.172,0,0
1680473400,164.172,164.249,164.115,164.18,0,0
1680473700,164.18,164.237,164.165,164.201,0,0
1680474000,164.201,164.277,164.191,164.248,0,0
1680474300,164.248,164.248,164.17,164.19,0,0
1680474600,164.19,164.19,163.947,163.959,0,0
1680474900,163.959,164.022,163.928,164.014,0,0
1680475200,164.014,164.066,164.007,164.056,0,0
1680475500,164.056,164.14,164.056,164.106,0,0
1680475800,164.106,164.106,163.969,164.05,0,0
1680476100,164.05,164.095,164.023,164.059,0,0
1680476400,164.059,164.073,163.907,163.921,0,0
1680476700,163.921,163.921,163.827,163.834,0,0
1680477000,163.834,163.844,163.76,163.798,0,0
1680477300,163.798,163.846,163.781,163.802,0,0
1680477600,163.802,163.825,163.759,163.821,0,0
1680477900,163.821,163.832,163.775,163.797,0,0
1680478200,163.797,163.856,163.786,163.8,0,0
1680478500,163.8,163.87,163.767,163.861,0,0
1680478800,163.861,163.875,163.817,163.86,0,0
1680479100,163.86,163.867,163.777,163.778,0,0
1680479400,163.778,163.808,163.707,163.717,0,0
1680479700,163.717,163.858,163.711,163.844,0,0
1680480000,163.844,163.844,163.499,163.52,0,0
1680480300,163.52,163.628,163.519,163.594,0,0
1680480600,163.594,163.607,163.517,163.558,0,0
1680480900,163.558,163.638,163.493,163.634,0,0
1680481200,163.634,163.702,163.626,163.637,0,0
1680481500,163.637,163.637,163.504,163.527,0,0
1680481800,163.527,163.683,163.512,163.642,0,0
1680482100,163.642,163.655,163.502,163.541,0,0
1680482400,163.541,163.626,163.518,163.583,0,0
1680482700,163.583,163.601,163.475,163.475,0,0
1680483000,163.475,163.749,163.458,163.749,0,0
1680483300,163.749,163.759,163.7,163.72,0,0
1680483600,163.72,163.733,163.598,163.601,0,0
1680483900,163.601,163.643,163.507,163.521,0,0
1680484200,163.521,163.572,163.488,163.528,0,0
1680484500,163.528,163.536,163.455,163.488,0,0
1680484800,163.488,163.515,163.424,163.477,0,0
1680485100,163.477,163.524,163.453,163.514,0,0
1680485400,163.514,163.607,163.503,163.589,0,0
1680485700,163.589,163.641,163.568,163.581,0,0
1680486000,163.581,163.691,163.576,163.656,0,0
1680486300,163.656,163.683,163.623,163.634,0,0
1680486600,163.634,163.703,163.634,163.672,0,0
1680486900,163.672,163.711,163.665,163.665,0,0
1680487200,163.665,163.683,163.589,163.592,0,0
1680487500,163.592,163.604,163.526,163.552,0,0
1680487800,163.552,163.591,163.546,163.58,0,0
1680488100,163.58,163.687,163.58,163.628,0,0
1680488400,163.628,163.697,163.612,163.686,0,0
1680488700,163.686,163.703,163.639,163.639,0,0
1680489000,163.639,163.643,163.572,163.583,0,0
1680489300,163.583,163.608,163.569,163.583,0,0
1680489600,163.583,163.66,163.577,163.651,0,0
