time,open,high,low,close,"Pattern Alert",Volume
1716152400,1.26851,1.26899,1.26851,1.26894,0,0
1716152700,1.26894,1.26906,1.26888,1.269,0,0
1716153000,1.269,1.26916,1.269,1.26913,0,0
1716153300,1.26913,1.26935,1.26908,1.2693,0,0
1716153600,1.2693,1.26935,1.2691,1.26916,0,0
1716153900,1.26916,1.26926,1.26913,1.26917,0,0
1716154200,1.26917,1.26929,1.26917,1.26928,0,0
1716154500,1.26928,1.26933,1.26892,1.26933,0,0
1716154800,1.26933,1.26936,1.26915,1.26926,0,0
1716155100,1.26926,1.26964,1.26923,1.26953,0,0
1716155400,1.26953,1.26953,1.26949,1.2695,0,0
1716155700,1.2695,1.2696,1.26947,1.26951,0,0
1716156000,1.26951,1.2702,1.26951,1.27019,0,0
1716156300,1.27019,1.27019,1.27015,1.27017,0,0
1716156600,1.27017,1.27018,1.27016,1.27017,0,0
1716156900,1.27017,1.27021,1.27016,1.27021,0,0
1716157200,1.27021,1.27023,1.27021,1.27022,0,0
1716157500,1.27022,1.27022,1.2702,1.27021,0,0
1716157800,1.27021,1.27021,1.27015,1.27016,0,0
1716158100,1.27016,1.27017,1.27014,1.27016,0,0
1716158400,1.27016,1.27017,1.27014,1.27016,0,0
1716158700,1.27016,1.27018,1.27011,1.27011,0,0
1716159000,1.27011,1.27013,1.2701,1.27013,0,0
1716159300,1.27013,1.27013,1.27006,1.27006,0,0
1716159600,1.27006,1.27028,1.27006,1.27028,0,0
1716159900,1.27028,1.27032,1.27026,1.27027,0,0
1716160200,1.27027,1.27038,1.27026,1.27038,0,0
1716160500,1.27038,1.27039,1.27029,1.27038,0,0
1716160800,1.27038,1.27048,1.27037,1.27048,0,0
1716161100,1.27048,1.27059,1.27039,1.27057,0,0
1716161400,1.27057,1.27068,1.27056,1.27066,0,0
1716161700,1.27066,1.27068,1.27065,1.27066,0,0
1716162000,1.27066,1.27078,1.27065,1.27076,0,0
1716162300,1.27076,1.27078,1.27064,1.27076,0,0
1716162600,1.27076,1.27077,1.27074,1.27076,0,0
1716162900,1.27076,1.27076,1.27056,1.27057,0,0
1716163200,1.27057,1.27058,1.27026,1.27038,0,0
1716163500,1.27038,1.27038,1.26994,1.26994,0,0
1716163800,1.26994,1.26994,1.26983,1.26984,0,0
1716164100,1.26984,1.2701,1.26967,1.2701,0,0
1716164400,1.2701,1.27039,1.2701,1.27038,0,0
1716164700,1.27038,1.27073,1.27038,1.27065,0,0
1716165000,1.27065,1.27081,1.27055,1.27071,0,0
1716165300,1.27071,1.27071,1.27044,1.27048,0,0
1716165600,1.27048,1.27068,1.27046,1.27059,0,0
1716165900,1.27059,1.27068,1.27051,1.2706,0,0
1716166200,1.2706,1.27068,1.27051,1.27054,0,0
1716166500,1.27054,1.27059,1.27038,1.27049,0,0
1716166800,1.27049,1.2705,1.27023,1.27038,0,0
1716167100,1.27038,1.27054,1.27026,1.27053,0,0
1716167400,1.27053,1.27063,1.27039,1.2705,0,0
1716167700,1.2705,1.27054,1.27027,1.27047,0,0
1716168000,1.27047,1.27068,1.27035,1.27058,0,0
1716168300,1.27058,1.27058,1.27038,1.27039,0,0
1716168600,1.27039,1.27039,1.27005,1.2702,0,0
1716168900,1.2702,1.27029,1.27008,1.27015,0,0
1716169200,1.27015,1.27036,1.27015,1.27031,0,0
1716169500,1.27031,1.27043,1.27024,1.27037,0,0
1716169800,1.27037,1.27069,1.27036,1.27069,0,0
1716170100,1.27069,1.27074,1.27054,1.27058,0,0
1716170400,1.27058,1.2706,1.27045,1.2705,0,0
1716170700,1.2705,1.27055,1.27024,1.27035,0,0
1716171000,1.27035,1.27039,1.27025,1.27028,0,0
1716171300,1.27028,1.27038,1.27027,1.27037,0,0
1716171600,1.27037,1.27039,1.27025,1.27029,0,0
1716171900,1.27029,1.27038,1.27017,1.27021,0,0
1716172200,1.27021,1.27026,1.27008,1.27021,0,0
1716172500,1.27021,1.27033,1.2702,1.27028,0,0
1716172800,1.27028,1.2704,1.27028,1.2703,0,0
1716173100,1.2703,1.27033,1.27019,1.27029,0,0
1716173400,1.27029,1.27044,1.27029,1.27043,0,0
1716173700,1.27043,1.27046,1.27035,1.27038,0,0
1716174000,1.27038,1.27041,1.27029,1.27029,0,0
1716174300,1.27029,1.27029,1.27009,1.27016,0,0
1716174600,1.27016,1.27028,1.27014,1.27028,0,0
1716174900,1.27028,1.27038,1.27007,1.27007,0,0
1716175200,1.27007,1.27026,1.27007,1.27025,0,0
1716175500,1.27025,1.27028,1.27021,1.27026,0,0
1716175800,1.27026,1.27045,1.27026,1.27035,0,0
1716176100,1.27035,1.27045,1.27034,1.27044,0,0
1716176400,1.27044,1.2706,1.27043,1.27057,0,0
1716176700,1.27057,1.27066,1.27047,1.27056,0,0
1716177000,1.27056,1.27059,1.27048,1.27055,0,0
1716177300,1.27055,1.27059,1.27044,1.27045,0,0
1716177600,1.27045,1.27049,1.27039,1.27044,0,0
1716177900,1.27044,1.27079,1.27044,1.27078,0,0
1716178200,1.27078,1.2709,1.27077,1.27088,0,0
1716178500,1.27088,1.27105,1.27088,1.27098,0,0
1716178800,1.27098,1.27109,1.27083,1.27085,0,0
1716179100,1.27085,1.27094,1.27078,1.27087,0,0
1716179400,1.27087,1.27089,1.27069,1.27072,0,0
1716179700,1.27072,1.27078,1.27072,1.27074,0,0
1716180000,1.27074,1.27089,1.27073,1.27075,0,0
1716180300,1.27075,1.27082,1.27072,1.27076,0,0
1716180600,1.27076,1.27081,1.27075,1.27079,0,0
1716180900,1.27079,1.2708,1.27075,1.27079,0,0
1716181200,1.27079,1.2708,1.27053,1.27064,0,0
1716181500,1.27064,1.27075,1.27055,1.27073,0,0
1716181800,1.27073,1.27077,1.27066,1.27066,0,0
1716182100,1.27066,1.27074,1.27047,1.27065,0,0
1716182400,1.27065,1.27065,1.27054,1.27054,0,0
1716182700,1.27054,1.27055,1.27043,1.27045,0,0
1716183000,1.27045,1.27055,1.27045,1.27048,0,0
1716183300,1.27048,1.2707,1.27048,1.2707,0,0
1716183600,1.2707,1.2707,1.27048,1.27068,0,0
1716183900,1.27068,1.27071,1.2706,1.27067,0,0
1716184200,1.27067,1.2708,1.27065,1.2708,0,0
1716184500,1.2708,1.2708,1.27055,1.27061,0,0
1716184800,1.27061,1.27089,1.2706,1.27065,0,0
1716185100,1.27065,1.27088,1.27056,1.27075,0,0
1716185400,1.27075,1.27079,1.27044,1.27044,0,0
1716185700,1.27044,1.27058,1.27016,1.27024,0,0
1716186000,1.27024,1.27024,1.26988,1.27001,0,0
1716186300,1.27001,1.27028,1.26997,1.27018,0,0
1716186600,1.27018,1.27046,1.27012,1.27029,0,0
