time,open,high,low,close,"Pattern Alert",Volume
1579113000,1.30406,1.30415,1.30398,1.30415,0,0
1579113300,1.30415,1.30423,1.30405,1.30423,0,0
1579113600,1.30423,1.30443,1.30422,1.30442,0,0
1579113900,1.30442,1.30445,1.30434,1.30442,0,0
1579114200,1.30442,1.30461,1.3044,1.30461,0,0
1579114500,1.30461,1.30466,1.30458,1.30464,0,0
1579114800,1.30464,1.3048,1.30463,1.30466,0,0
1579115100,1.30466,1.30478,1.30459,1.30459,0,0
1579115400,1.30459,1.30466,1.30451,1.30453,0,0
1579115700,1.30453,1.30453,1.30447,1.30448,0,0
1579116000,1.30448,1.3045,1.30422,1.30429,0,0
1579116300,1.30429,1.30434,1.30425,1.3043,0,0
1579116600,1.3043,1.3043,1.30397,1.30404,0,0
1579116900,1.30404,1.30429,1.30401,1.30429,0,0
1579117200,1.30429,1.30432,1.30424,1.30427,0,0
1579117500,1.30427,1.30432,1.30425,1.30432,0,0
1579117800,1.30432,1.30436,1.3042,1.3043,0,0
1579118100,1.3043,1.30438,1.30394,1.30397,0,0
1579118400,1.30397,1.30434,1.30397,1.30434,0,0
1579118700,1.30434,1.30446,1.30429,1.30446,0,0
1579119000,1.30446,1.3045,1.3044,1.30448,0,0
1579119300,1.30448,1.30464,1.30448,1.30464,0,0
1579119600,1.30464,1.30488,1.30463,1.30483,0,0
1579119900,1.30483,1.30501,1.30481,1.30499,0,0
1579120200,1.30499,1.30502,1.30471,1.30482,0,0
1579120500,1.30482,1.30482,1.30472,1.30482,0,0
1579120800,1.30482,1.30497,1.3048,1.30497,0,0
1579121100,1.30497,1.30497,1.30482,1.30484,0,0
1579121400,1.30484,1.30488,1.30467,1.30474,0,0
1579121700,1.30474,1.30475,1.30458,1.30463,0,0
1579122000,1.30463,1.30485,1.30463,1.30483,0,0
1579122300,1.30483,1.30485,1.30467,1.30471,0,0
1579122600,1.30471,1.3048,1.30466,1.30474,0,0
1579122900,1.30474,1.30486,1.30473,1.30484,0,0
1579123200,1.30484,1.30484,1.30456,1.30466,0,0
1579123500,1.30466,1.3047,1.30457,1.30457,0,0
1579123800,1.30457,1.3046,1.30435,1.30435,0,0
1579124100,1.30435,1.30447,1.30428,1.3043,0,0
1579124400,1.3043,1.30443,1.30425,1.30442,0,0
1579124700,1.30442,1.30444,1.30423,1.3043,0,0
1579125000,1.3043,1.3043,1.30409,1.30422,0,0
1579125300,1.30422,1.30425,1.3041,1.3041,0,0
1579125600,1.3041,1.30414,1.3041,1.30413,0,0
1579125900,1.30413,1.30432,1.30408,1.30431,0,0
1579126200,1.30431,1.30438,1.30431,1.30434,0,0
1579126500,1.30434,1.30435,1.3043,1.30431,0,0
1579126800,1.30431,1.30435,1.3043,1.30431,0,0
1579127100,1.30431,1.30434,1.30407,1.30408,0,0
1579127400,1.30408,1.30413,1.30407,1.3041,0,0
1579127700,1.3041,1.30412,1.30408,1.30408,0,0
1579128000,1.30408,1.30413,1.30408,1.30409,0,0
1579128300,1.30409,1.30418,1.30409,1.30414,0,0
1579128600,1.30414,1.30416,1.30414,1.30415,0,0
1579128900,1.30415,1.30415,1.30411,1.30412,0,0
1579129200,1.30412,1.30422,1.30408,1.30422,0,0
1579129500,1.30422,1.30424,1.30421,1.30424,0,0
1579129800,1.30424,1.30425,1.30418,1.30419,0,0
1579130100,1.30419,1.30424,1.30419,1.30422,0,0
1579130400,1.30422,1.30422,1.30413,1.30414,0,0
1579130700,1.30414,1.30416,1.30412,1.30414,0,0
1579131000,1.30414,1.30414,1.3041,1.30413,0,0
1579131300,1.30413,1.30413,1.30408,1.30411,0,0
1579131600,1.30411,1.30415,1.30409,1.30412,0,0
1579131900,1.30412,1.30414,1.30407,1.30407,0,0
1579132200,1.30407,1.30407,1.304,1.30405,0,0
1579132500,1.30405,1.30405,1.30395,1.30399,0,0
1579132800,1.30399,1.30406,1.30398,1.30398,0,0
1579133100,1.30398,1.30399,1.30384,1.30384,0,0
1579133400,1.30384,1.30384,1.30352,1.30355,0,0
1579133700,1.30355,1.30374,1.30348,1.30374,0,0
1579134000,1.30374,1.30385,1.3037,1.30374,0,0
1579134300,1.30374,1.30383,1.30374,1.30381,0,0
1579134600,1.30381,1.30383,1.30376,1.30377,0,0
1579134900,1.30377,1.30383,1.30375,1.30382,0,0
1579135200,1.30382,1.30391,1.3038,1.30388,0,0
1579135500,1.30388,1.30403,1.30388,1.30401,0,0
1579135800,1.30401,1.30402,1.30396,1.30401,0,0
1579136100,1.30401,1.30409,1.304,1.30406,0,0
1579136400,1.30406,1.30408,1.304,1.304,0,0
1579136700,1.304,1.30411,1.304,1.30409,0,0
1579137000,1.30409,1.30409,1.30402,1.30408,0,0
1579137300,1.30408,1.3041,1.30396,1.30408,0,0
1579137600,1.30408,1.30416,1.30407,1.30416,0,0
1579137900,1.30416,1.30419,1.30412,1.30415,0,0
1579138200,1.30415,1.30422,1.30415,1.30419,0,0
1579138500,1.30419,1.30429,1.30418,1.30425,0,0
1579138800,1.30425,1.30433,1.30424,1.30428,0,0
1579139100,1.30428,1.30439,1.30427,1.30439,0,0
1579139400,1.30439,1.30439,1.30429,1.30432,0,0
1579139700,1.30432,1.30434,1.30426,1.30426,0,0
1579140000,1.30426,1.30431,1.30425,1.30428,0,0
1579140300,1.30428,1.30432,1.30427,1.30431,0,0
1579140600,1.30431,1.30437,1.30427,1.30436,0,0
1579140900,1.30436,1.30442,1.30434,1.30441,0,0
1579141200,1.30441,1.30442,1.30439,1.30439,0,0
1579141500,1.30439,1.30443,1.30429,1.30429,0,0
1579141800,1.30429,1.30434,1.30429,1.30434,0,0
1579142100,1.30434,1.30434,1.30426,1.30431,0,0
1579142400,1.30431,1.30438,1.3043,1.30438,0,0
1579142700,1.30438,1.30439,1.30436,1.30437,0,0
1579143000,1.30437,1.30442,1.30437,1.30439,0,0
1579143300,1.30439,1.30444,1.30437,1.30441,0,0
1579143600,1.30441,1.30448,1.30439,1.30441,0,0
1579143900,1.30441,1.30442,1.30434,1.30439,0,0
1579144200,1.30439,1.30441,1.30437,1.30441,0,0
1579144500,1.30441,1.30443,1.30437,1.30438,0,0
1579144800,1.30438,1.30439,1.30432,1.30433,0,0
1579145100,1.30433,1.30437,1.30432,1.30434,0,0
1579145400,1.30434,1.30437,1.30433,1.30435,0,0
1579145700,1.30435,1.3044,1.30432,1.30433,0,0
1579146000,1.30433,1.30434,1.3043,1.30431,0,0
1579146300,1.30431,1.3044,1.3043,1.3044,0,0
1579146600,1.3044,1.3044,1.30438,1.30439,0,0
1579146900,1.30439,1.3044,1.30439,1.3044,0,0
1579147200,1.3044,1.30447,1.30439,1.30447,0,0
1579147500,1.30447,1.30448,1.30443,1.30443,0,0
1579147800,1.30443,1.30448,1.30442,1.30447,0,0
1579148100,1.30447,1.30447,1.30445,1.30446,0,0
1579148400,1.30446,1.30446,1.30434,1.30434,0,0
1579148700,1.30434,1.30441,1.30433,1.3044,0,0
1579149000,1.3044,1.30443,1.3044,1.3044,0,0
1579149300,1.3044,1.30442,1.30436,1.3044,0,0
1579149600,1.3044,1.30442,1.30437,1.30438,0,0
1579149900,1.30438,1.30438,1.30431,1.30432,0,0
1579150200,1.30432,1.30433,1.30424,1.30427,0,0
1579150500,1.30427,1.30436,1.30427,1.30433,0,0
1579150800,1.30433,1.30433,1.30429,1.30429,0,0
1579151100,1.30429,1.30432,1.30428,1.3043,0,0
1579151400,1.3043,1.30439,1.30429,1.30439,0,0
1579151700,1.30439,1.3044,1.30437,1.30439,0,0
1579152000,1.30439,1.3044,1.30436,1.3044,0,0
1579152300,1.3044,1.30443,1.30438,1.30443,0,0
1579152600,1.30443,1.30448,1.30439,1.30448,0,0
1579152900,1.30448,1.30449,1.30445,1.30445,0,0
1579153200,1.30445,1.30448,1.30445,1.30445,0,0
1579153500,1.30445,1.30447,1.30445,1.30446,0,0
1579153800,1.30446,1.3045,1.30444,1.30449,0,0
1579154100,1.30449,1.30457,1.30446,1.30452,0,0
1579154400,1.30452,1.30469,1.30448,1.30461,0,0
1579154700,1.30461,1.30464,1.30453,1.30464,0,0
1579155000,1.30464,1.30464,1.3046,1.3046,0,0
1579155300,1.3046,1.30473,1.3046,1.30473,0,0
1579155600,1.30473,1.30473,1.30465,1.30466,0,0
1579155900,1.30466,1.30473,1.30465,1.30472,0,0
1579156200,1.30472,1.30479,1.30466,1.30471,0,0
1579156500,1.30471,1.30475,1.3047,1.30473,0,0
1579156800,1.30473,1.30473,1.30468,1.30473,0,0
1579157100,1.30473,1.30477,1.30471,1.30471,0,0
1579157400,1.30471,1.30473,1.30469,1.30469,0,0
1579157700,1.30469,1.30473,1.30468,1.30468,0,0
1579158000,1.30468,1.30471,1.30425,1.30428,0,0
1579158300,1.30428,1.30455,1.30428,1.30446,0,0
1579158600,1.30446,1.30462,1.30446,1.30449,0,0
1579158900,1.30449,1.30468,1.30446,1.30462,0,0
1579159200,1.30462,1.30462,1.30438,1.30444,0,0
1579159500,1.30444,1.30444,1.30429,1.30432,0,0
1579159800,1.30432,1.30438,1.30426,1.30427,0,0
1579160100,1.30427,1.30446,1.30425,1.30435,0,0
1579160400,1.30435,1.30437,1.30425,1.30429,0,0
1579160700,1.30429,1.30434,1.30421,1.30421,0,0
1579161000,1.30421,1.30426,1.30416,1.30421,0,0
1579161300,1.30421,1.30431,1.30414,1.30428,0,0
1579161600,1.30428,1.30428,1.30412,1.30413,0,0
1579161900,1.30413,1.30458,1.30413,1.30455,0,0
1579162200,1.30455,1.30459,1.30445,1.30451,0,0
1579162500,1.30451,1.30461,1.30447,1.30448,0,0
1579162800,1.30448,1.30448,1.3043,1.30432,0,0
1579163100,1.30432,1.30434,1.30402,1.30404,0,0
1579163400,1.30404,1.30404,1.30343,1.30345,0,0
1579163700,1.30345,1.30366,1.30341,1.30357,0,0
1579164000,1.30357,1.30361,1.30344,1.30354,-1,0
1579164300,1.30354,1.30362,1.30345,1.30347,0,0
1579164600,1.30347,1.30347,1.30332,1.30339,0,0
1579164900,1.30339,1.30357,1.30339,1.30352,0,0
1579165200,1.30352,1.30361,1.30336,1.30339,0,0
1579165500,1.30339,1.30355,1.30339,1.30348,0,0
1579165800,1.30348,1.30359,1.30335,1.30355,0,0
1579166100,1.30355,1.30356,1.30337,1.30343,0,0
1579166400,1.30343,1.30357,1.30328,1.30328,0,0
1579166700,1.30328,1.30363,1.30323,1.30363,0,0
1579167000,1.30363,1.30372,1.30359,1.30363,0,0
1579167300,1.30363,1.30367,1.30352,1.3036,0,0
1579167600,1.3036,1.30362,1.30348,1.30355,0,0
1579167900,1.30355,1.30361,1.30351,1.30352,0,0
1579168200,1.30352,1.30361,1.3035,1.3036,0,0
1579168500,1.3036,1.3036,1.30322,1.30335,0,0
1579168800,1.30335,1.30368,1.30335,1.30365,0,0
1579169100,1.30365,1.30368,1.3033,1.3033,0,0
1579169400,1.3033,1.30345,1.3033,1.30334,0,0
1579169700,1.30334,1.30341,1.30325,1.30325,0,0
1579170000,1.30325,1.30333,1.30321,1.30328,0,0
1579170300,1.30328,1.30342,1.30323,1.30326,0,0
1579170600,1.30326,1.30347,1.30323,1.30346,0,0
1579170900,1.30346,1.30358,1.30346,1.30354,0,0
1579171200,1.30354,1.30371,1.30352,1.30369,0,0
1579171500,1.30369,1.30387,1.30366,1.30377,0,0
1579171800,1.30377,1.30377,1.30357,1.30361,0,0
1579172100,1.30361,1.30361,1.30352,1.30352,0,0
1579172400,1.30352,1.30353,1.30339,1.30339,0,0
1579172700,1.30339,1.30364,1.30338,1.30364,0,0
1579173000,1.30364,1.3038,1.30362,1.30379,0,0
1579173300,1.30379,1.3038,1.30361,1.30364,0,0
1579173600,1.30364,1.30373,1.30362,1.30363,0,0
1579173900,1.30363,1.30363,1.30349,1.30349,0,0
