time,open,high,low,close,"Pattern Alert",Volume
1622658600,0.89786,0.898,0.89776,0.89799,0,0
1622658900,0.89799,0.89806,0.89788,0.89804,0,0
1622659200,0.89804,0.89804,0.89794,0.89799,0,0
1622659500,0.89799,0.89806,0.89796,0.89798,0,0
1622659800,0.89798,0.89802,0.89786,0.89788,0,0
1622660100,0.89788,0.89798,0.89782,0.89795,0,0
1622660400,0.89795,0.89805,0.89793,0.89803,0,0
1622660700,0.89803,0.89811,0.89801,0.8981,0,0
1622661000,0.8981,0.8981,0.89796,0.89803,0,0
1622661300,0.89803,0.89803,0.89785,0.8979,0,0
1622661600,0.8979,0.89794,0.89786,0.89786,0,0
1622661900,0.89786,0.89787,0.89783,0.89785,0,0
1622662200,0.89785,0.89788,0.89784,0.89787,0,0
1622662500,0.89787,0.89796,0.89786,0.89791,0,0
1622662800,0.89791,0.89794,0.89781,0.89781,0,0
1622663100,0.89781,0.89788,0.8978,0.89788,0,0
1622663400,0.89788,0.89789,0.89782,0.89783,0,0
1622663700,0.89783,0.89795,0.8978,0.89786,0,0
1622664000,0.89786,0.89801,0.89786,0.89795,0,0
1622664300,0.89795,0.89802,0.89795,0.89797,0,0
1622664600,0.89797,0.89818,0.89796,0.89818,0,0
1622664900,0.89818,0.89821,0.89803,0.89803,0,0
1622665200,0.89803,0.89804,0.89803,0.89803,0,0
1622665500,0.89803,0.89812,0.89795,0.89806,0,0
1622665800,0.89806,0.8981,0.89803,0.89803,0,0
1622666100,0.89803,0.8981,0.89803,0.8981,0,0
1622666400,0.8981,0.8981,0.89802,0.89803,0,0
1622666700,0.89803,0.89803,0.89801,0.89802,0,0
1622667000,0.89802,0.89808,0.89802,0.89805,0,0
1622667300,0.89805,0.89806,0.89786,0.89786,0,0
1622667600,0.89786,0.89787,0.89765,0.89772,0,0
1622667900,0.89772,0.89777,0.89766,0.89767,0,0
1622668200,0.89767,0.89773,0.89765,0.89769,0,0
1622668500,0.89769,0.89771,0.897555,0.89759,0,0
