time,open,high,low,close,"Pattern Alert",Volume
1655672400,134.927,134.931,134.918,134.93,0,0
1655672700,134.93,134.935,134.927,134.927,0,0
1655673000,134.927,134.974,134.923,134.968,0,0
1655673300,134.968,134.976,134.938,134.974,0,0
1655673600,134.974,134.98,134.974,134.976,0,0
1655673900,134.976,135.003,134.976,135.003,0,0
1655674200,135.003,135.003,135,135.001,0,0
1655674500,135.001,135.005,134.998,135.005,0,0
1655674800,135.005,135.007,135.001,135.002,0,0
1655675100,135.002,135.004,134.984,134.985,0,0
1655675400,134.985,134.996,134.98,134.989,0,0
1655675700,134.989,134.992,134.924,134.949,0,0
1655676000,134.949,135.135,134.948,135.135,0,0
1655676300,135.135,135.284,135.132,135.175,0,0
1655676600,135.175,135.205,135.151,135.181,0,0
1655676900,135.181,135.211,135.166,135.166,0,0
1655677200,135.166,135.256,135.155,135.249,0,0
1655677500,135.249,135.26,135.175,135.231,0,0
1655677800,135.231,135.231,135.126,135.128,0,0
1655678100,135.128,135.159,135.095,135.153,0,0
1655678400,135.153,135.153,135.105,135.138,0,0
1655678700,135.138,135.192,135.129,135.164,0,0
1655679000,135.164,135.212,135.153,135.2,0,0
1655679300,135.2,135.22,135.167,135.199,0,0
1655679600,135.199,135.209,135.131,135.162,0,0
1655679900,135.162,135.214,135.151,135.177,0,0
1655680200,135.177,135.185,135.149,135.162,0,0
1655680500,135.162,135.257,135.162,135.241,0,0
1655680800,135.241,135.344,135.24,135.306,0,0
1655681100,135.306,135.33,135.27,135.312,0,0
1655681400,135.312,135.33,135.286,135.302,0,0
1655681700,135.302,135.328,135.29,135.297,0,0
1655682000,135.297,135.298,135.258,135.291,0,0
1655682300,135.291,135.367,135.275,135.365,0,0
1655682600,135.365,135.378,135.326,135.328,0,0
1655682900,135.328,135.334,135.27,135.294,0,0
1655683200,135.294,135.435,135.222,135.223,0,0
1655683500,135.223,135.285,135.2,135.2,0,0
1655683800,135.2,135.243,135.144,135.156,0,0
1655684100,135.156,135.234,135.132,135.225,0,0
1655684400,135.225,135.228,135.187,135.196,0,0
1655684700,135.196,135.261,135.196,135.26,0,0
1655685000,135.26,135.279,135.242,135.245,0,0
1655685300,135.245,135.34,135.238,135.336,0,0
1655685600,135.336,135.344,135.289,135.298,0,0
1655685900,135.298,135.344,135.254,135.294,0,0
1655686200,135.294,135.305,135.211,135.23,0,0
1655686500,135.23,135.293,135.149,135.175,0,0
1655686800,135.175,135.253,135.146,135.221,0,0
1655687100,135.221,135.271,135.196,135.215,0,0
1655687400,135.215,135.219,135.086,135.112,0,0
1655687700,135.112,135.123,134.943,135.066,0,0
1655688000,135.066,135.104,135.006,135.069,0,0
1655688300,135.069,135.081,135.03,135.073,0,0
1655688600,135.073,135.124,134.981,134.997,0,0
1655688900,134.997,135.047,134.893,134.922,0,0
1655689200,134.922,134.933,134.83,134.933,0,0
1655689500,134.933,134.987,134.925,134.958,0,0
1655689800,134.958,134.963,134.907,134.938,0,0
1655690100,134.938,134.954,134.88,134.901,0,0
1655690400,134.901,134.911,134.799,134.867,0,0
1655690700,134.867,134.91,134.844,134.858,0,0
1655691000,134.858,134.876,134.746,134.801,0,0
1655691300,134.801,134.871,134.798,134.871,0,0
1655691600,134.871,134.912,134.845,134.911,0,0
1655691900,134.911,134.918,134.872,134.88,0,0
1655692200,134.88,134.899,134.843,134.853,0,0
1655692500,134.853,134.86,134.774,134.829,0,0
1655692800,134.829,134.858,134.807,134.826,0,0
1655693100,134.826,134.831,134.751,134.751,0,0
1655693400,134.751,134.76,134.691,134.736,0,0
1655693700,134.736,134.766,134.672,134.766,0,0
1655694000,134.766,134.799,134.751,134.789,0,0
1655694300,134.789,134.799,134.757,134.781,0,0
1655694600,134.781,134.802,134.769,134.795,0,0
1655694900,134.795,134.825,134.766,134.815,0,0
1655695200,134.815,134.924,134.812,134.923,0,0
1655695500,134.923,134.957,134.899,134.925,0,0
1655695800,134.925,134.937,134.867,134.882,0,0
1655696100,134.882,134.895,134.853,134.873,0,0
1655696400,134.873,134.919,134.873,134.889,0,0
1655696700,134.889,134.89,134.854,134.862,0,0
1655697000,134.862,134.863,134.789,134.797,0,0
1655697300,134.797,134.853,134.796,134.844,0,0
1655697600,134.844,134.908,134.843,134.898,0,0
1655697900,134.898,134.906,134.851,134.862,0,0
1655698200,134.862,134.891,134.815,134.884,0,0
1655698500,134.884,134.889,134.824,134.881,0,0
1655698800,134.881,134.956,134.841,134.922,0,0
1655699100,134.922,134.934,134.876,134.884,0,0
1655699400,134.884,134.895,134.863,134.871,0,0
1655699700,134.871,134.905,134.859,134.904,0,0
1655700000,134.904,134.923,134.895,134.922,0,0
1655700300,134.922,134.941,134.915,134.935,0,0
1655700600,134.935,134.956,134.908,134.922,0,0
1655700900,134.922,134.967,134.915,134.953,0,0
1655701200,134.953,134.978,134.939,134.942,0,0
1655701500,134.942,134.952,134.907,134.91,0,0
1655701800,134.91,134.94,134.898,134.927,0,0
1655702100,134.927,134.927,134.833,134.852,0,0
1655702400,134.852,134.89,134.825,134.885,0,0
1655702700,134.885,134.906,134.868,134.9,0,0
1655703000,134.9,134.948,134.9,134.928,0,0
1655703300,134.928,134.937,134.898,134.906,0,0
1655703600,134.906,134.922,134.861,134.861,0,0
1655703900,134.861,134.9,134.825,134.892,0,0
1655704200,134.892,134.903,134.87,134.902,0,0
1655704500,134.902,135.049,134.901,135.049,0,0
1655704800,135.049,135.1,134.992,134.995,0,0
1655705100,134.995,135.006,134.941,134.97,0,0
1655705400,134.97,134.976,134.9,134.922,0,0
1655705700,134.922,134.922,134.795,134.86,0,0
1655706000,134.86,134.867,134.812,134.846,0,0
1655706300,134.846,134.91,134.845,134.876,0,0
1655706600,134.876,134.945,134.876,134.928,0,0
1655706900,134.928,134.933,134.894,134.898,0,0
1655707200,134.898,134.914,134.809,134.823,0,0
1655707500,134.823,134.892,134.817,134.885,0,0
1655707800,134.885,134.908,134.837,134.849,0,0
1655708100,134.849,134.864,134.785,134.846,0,0
1655708400,134.846,134.891,134.766,134.875,0,0
1655708700,134.875,134.877,134.745,134.773,0,0
1655709000,134.773,134.787,134.72,134.773,0,0
1655709300,134.773,134.792,134.534,134.673,0,0
1655709600,134.673,134.694,134.634,134.663,0,0
1655709900,134.663,134.752,134.603,134.747,0,0
1655710200,134.747,134.811,134.741,134.781,0,0
1655710500,134.781,134.8,134.7,134.711,0,0
1655710800,134.711,134.741,134.647,134.66,0,0
1655711100,134.66,134.66,134.601,134.642,0,0
1655711400,134.642,134.708,134.642,134.692,0,0
1655711700,134.692,134.726,134.652,134.66,0,0
1655712000,134.66,134.744,134.652,134.71,0,0
1655712300,134.71,134.745,134.674,134.71,0,0
1655712600,134.71,134.726,134.692,134.703,0,0
1655712900,134.703,134.705,134.645,134.671,0,0
1655713200,134.671,134.672,134.631,134.631,0,0
1655713500,134.631,134.667,134.621,134.63,0,0
1655713800,134.63,134.656,134.62,134.648,0,0
1655714100,134.648,134.754,134.642,134.754,0,0
1655714400,134.754,134.835,134.754,134.773,0,0
1655714700,134.773,134.79,134.749,134.764,0,0
1655715000,134.764,134.769,134.708,134.712,0,0
1655715300,134.712,134.766,134.7,134.763,0,0
1655715600,134.763,134.812,134.75,134.764,0,0
1655715900,134.764,134.767,134.678,134.725,0,0
1655716200,134.725,134.743,134.693,134.694,0,0
1655716500,134.694,134.694,134.662,134.684,0,0
1655716800,134.684,134.759,134.667,134.754,0,0
1655717100,134.754,134.781,134.75,134.771,0,0
1655717400,134.771,134.793,134.746,134.791,0,0
1655717700,134.791,134.8,134.766,134.784,0,0
1655718000,134.784,134.82,134.768,134.788,0,0
1655718300,134.788,134.838,134.781,134.82,0,0
1655718600,134.82,134.821,134.779,134.784,0,0
1655718900,134.784,134.804,134.771,134.804,0,0
1655719200,134.804,134.806,134.712,134.752,0,0
1655719500,134.752,134.913,134.752,134.905,0,0
1655719800,134.905,134.905,134.819,134.841,0,0
1655720100,134.841,134.846,134.794,134.815,0,0
1655720400,134.815,134.838,134.8,134.838,0,0
1655720700,134.838,134.84,134.797,134.798,0,0
1655721000,134.798,134.877,134.796,134.866,0,0
1655721300,134.866,134.905,134.846,134.849,0,0
1655721600,134.849,134.875,134.848,134.874,0,0
1655721900,134.874,134.903,134.852,134.899,0,0
1655722200,134.899,134.941,134.892,134.92,0,0
1655722500,134.92,134.92,134.849,134.886,0,0
1655722800,134.886,134.896,134.848,134.89,0,0
1655723100,134.89,134.912,134.879,134.904,0,0
1655723400,134.904,134.915,134.897,134.909,0,0
1655723700,134.909,134.942,134.899,134.907,0,0
1655724000,134.907,134.928,134.893,134.926,0,0
1655724300,134.926,134.951,134.923,134.947,0,0
1655724600,134.947,134.948,134.911,134.922,0,0
1655724900,134.922,134.925,134.893,134.896,0,0
1655725200,134.896,134.914,134.893,134.897,0,0
1655725500,134.897,134.922,134.876,134.902,0,0
1655725800,134.902,134.931,134.901,134.928,0,0
1655726100,134.928,134.951,134.924,134.945,0,0
1655726400,134.945,134.983,134.938,134.948,0,0
1655726700,134.948,134.976,134.939,134.951,0,0
1655727000,134.951,134.968,134.939,134.958,0,0
1655727300,134.958,134.966,134.922,134.922,0,0
1655727600,134.922,134.922,134.856,134.889,0,0
1655727900,134.889,134.954,134.889,134.942,0,0
1655728200,134.942,134.96,134.893,134.919,0,0
1655728500,134.919,134.931,134.893,134.903,0,0
1655728800,134.903,134.947,134.9,134.947,0,0
1655729100,134.947,134.947,134.905,134.921,0,0
1655729400,134.921,134.937,134.91,134.927,0,0
1655729700,134.927,134.949,134.918,134.937,0,0
1655730000,134.937,134.982,134.92,134.974,0,0
1655730300,134.974,135.142,134.956,135.121,0,0
1655730600,135.121,135.121,135.062,135.079,0,0
1655730900,135.079,135.079,135.003,135.003,0,0
1655731200,135.003,135.003,134.895,134.973,0,0
1655731500,134.973,135.049,134.973,135.046,0,0
1655731800,135.046,135.065,134.984,135.007,0,0
1655732100,135.007,135.019,134.964,135.009,0,0
1655732400,135.009,135.063,134.988,135.044,0,0
1655732700,135.044,135.128,135.025,135.099,0,0
1655733000,135.099,135.101,135.035,135.042,0,0
1655733300,135.042,135.093,135.04,135.084,0,0
1655733600,135.084,135.085,134.999,135.03,0,0
1655733900,135.03,135.064,135.022,135.039,0,0
1655734200,135.039,135.055,135.025,135.025,0,0
1655734500,135.025,135.059,135.007,135.033,0,0
1655734800,135.033,135.039,135.001,135.002,0,0
1655735100,135.002,135.064,135,135.06,0,0
1655735400,135.06,135.099,135.06,135.082,0,0
1655735700,135.082,135.11,135.07,135.094,0,0
1655736000,135.094,135.1,135.064,135.07,0,0
1655736300,135.07,135.074,135.046,135.07,0,0
1655736600,135.07,135.084,134.949,134.95,0,0
1655736900,134.95,134.989,134.869,134.956,0,0
1655737200,134.956,135.038,134.956,135.03,0,0
1655737500,135.03,135.081,135.028,135.049,0,0
1655737800,135.049,135.057,134.999,135.013,0,0
1655738100,135.013,135.031,134.96,134.984,0,0
1655738400,134.984,135.029,134.972,135.021,0,0
1655738700,135.021,135.057,135.014,135.031,0,0
1655739000,135.031,135.033,134.969,134.997,0,0
1655739300,134.997,135.041,134.991,135.012,0,0
1655739600,135.012,135.035,134.989,135.02,0,0
1655739900,135.02,135.029,134.989,134.991,0,0
1655740200,134.991,135.002,134.984,134.988,0,0
1655740500,134.988,135.021,134.988,135.008,0,0
1655740800,135.008,135.03,135.002,135.029,0,0
1655741100,135.029,135.039,135.019,135.037,0,0
1655741400,135.037,135.074,135.03,135.07,0,0
1655741700,135.07,135.074,135.045,135.057,0,0
1655742000,135.057,135.072,135.05,135.065,0,0
1655742300,135.065,135.066,135.047,135.055,0,0
1655742600,135.055,135.074,135.045,135.073,0,0
1655742900,135.073,135.074,135.055,135.064,0,0
1655743200,135.064,135.064,135.046,135.047,0,0
1655743500,135.047,135.067,135.042,135.058,0,0
1655743800,135.058,135.086,135.056,135.085,0,0
1655744100,135.085,135.092,135.048,135.057,0,0
1655744400,135.057,135.067,135.057,135.064,0,0
1655744700,135.064,135.084,135.064,135.082,0,0
1655745000,135.082,135.094,135.082,135.094,0,0
1655745300,135.094,135.096,135.088,135.088,0,0
1655745600,135.088,135.09,135.087,135.089,0,0
1655745900,135.089,135.093,135.089,135.09,0,0
1655746200,135.09,135.09,135.072,135.072,0,0
1655746500,135.072,135.072,135.068,135.07,0,0
1655746800,135.07,135.072,135.068,135.069,0,0
1655747100,135.069,135.075,135.064,135.075,0,0
1655747400,135.075,135.089,135.067,135.078,0,0
1655747700,135.078,135.124,135.077,135.124,0,0
1655748000,135.124,135.128,135.119,135.125,0,0
1655748300,135.125,135.125,135.107,135.112,0,0
1655748600,135.112,135.114,135.105,135.108,0,0
1655748900,135.108,135.123,135.097,135.123,0,0
1655749200,135.123,135.124,135.117,135.117,0,0
1655749500,135.117,135.118,135.102,135.106,0,0
