time,open,high,low,close,"Pattern Alert",Volume
1750626300,94.188,94.304,94.188,94.262,0,107
1750626600,94.262,94.284,94.238,94.278,0,188
1750626900,94.278,94.36,94.27,94.27,0,211
1750627200,94.27,94.31,94.254,94.27,0,83
1750628100,94.27,94.27,94.149,94.158,0,63
1750628400,94.158,94.185,94.132,94.179,0,168
1750628700,94.179,94.179,94.135,94.136,0,118
1750629000,94.136,94.156,94.112,94.112,0,238
1750629300,94.112,94.117,94.081,94.081,0,69
1750629600,94.081,94.257,93.894,94.125,0,1685
1750629900,94.125,94.348,94.094,94.328,0,1254
1750630200,94.328,94.366,94.216,94.272,0,1288
1750630500,94.272,94.301,94.233,94.253,0,1472
1750630800,94.253,94.259,94.195,94.238,0,1183
1750631100,94.238,94.256,94.19,94.193,0,1195
1750631400,94.193,94.232,94.172,94.188,0,1354
1750631700,94.188,94.263,94.187,94.262,0,1013
1750632000,94.262,94.31,94.252,94.299,0,973
1750632300,94.299,94.303,94.276,94.279,0,612
1750632600,94.279,94.283,94.252,94.269,0,770
1750632900,94.269,94.294,94.229,94.247,0,617
1750633200,94.247,94.306,94.246,94.295,0,1007
1750633500,94.295,94.305,94.255,94.259,0,853
1750633800,94.259,94.277,94.213,94.225,0,948
1750634100,94.225,94.304,94.224,94.299,0,686
1750634400,94.299,94.317,94.28,94.313,0,645
1750634700,94.313,94.321,94.254,94.254,0,924
1750635000,94.254,94.307,94.253,94.284,0,932
1750635300,94.284,94.299,94.275,94.28,0,510
1750635600,94.28,94.3,94.229,94.231,0,638
1750635900,94.231,94.252,94.21,94.219,0,667
1750636200,94.219,94.261,94.217,94.241,0,827
1750636500,94.241,94.262,94.216,94.233,0,1143
1750636800,94.233,94.237,94.156,94.168,0,2068
1750637100,94.168,94.184,94.092,94.178,0,1848
1750637400,94.178,94.221,94.155,94.219,0,1701
1750637700,94.219,94.251,94.205,94.242,0,1161
1750638000,94.242,94.257,94.217,94.225,0,1722
1750638300,94.225,94.24,94.207,94.232,0,1016
1750638600,94.232,94.232,94.154,94.196,0,1544
1750638900,94.196,94.196,94.151,94.169,0,1417
1750639200,94.169,94.176,94.119,94.13,0,1168
1750639500,94.13,94.195,94.129,94.175,0,1268
1750639800,94.175,94.212,94.146,94.212,0,1929
1750640100,94.212,94.273,94.198,94.255,0,1575
1750640400,94.255,94.337,94.255,94.296,0,2158
1750640700,94.296,94.322,94.278,94.303,0,1518
1750641000,94.303,94.339,94.252,94.265,0,1728
1750641300,94.265,94.265,94.193,94.194,0,1425
1750641600,94.194,94.224,94.166,94.197,0,1493
1750641900,94.197,94.214,94.176,94.202,0,1551
1750642200,94.202,94.245,94.169,94.243,0,1335
1750642500,94.243,94.298,94.238,94.287,0,1311
1750642800,94.287,94.332,94.273,94.304,0,1455
1750643100,94.304,94.329,94.289,94.3,0,1276
1750643400,94.3,94.306,94.205,94.205,0,1397
1750643700,94.205,94.253,94.161,94.246,0,1394
1750644000,94.246,94.269,94.22,94.225,0,1548
1750644300,94.225,94.236,94.13,94.134,0,1237
1750644600,94.134,94.181,94.112,94.161,0,1575
1750644900,94.161,94.163,94.065,94.075,0,1315
1750645200,94.075,94.082,94.023,94.023,0,1005
1750645500,94.023,94.053,94.005,94.051,0,1217
1750645800,94.051,94.065,94.025,94.059,0,1269
1750646100,94.059,94.086,94.026,94.083,0,1116
1750646400,94.083,94.106,94.012,94.013,0,996
1750646700,94.013,94.064,93.992,94.006,0,949
1750647000,94.006,94.032,93.976,93.991,0,1350
1750647300,93.991,94.009,93.955,93.975,0,1368
1750647600,93.975,94.023,93.95,93.995,0,1335
1750647900,93.995,94.019,93.924,93.93,0,1344
1750648200,93.93,93.931,93.873,93.894,0,1446
1750648500,93.894,93.944,93.881,93.935,0,1393
1750648800,93.935,93.956,93.92,93.938,0,1217
1750649100,93.938,93.962,93.864,93.875,0,1697
1750649400,93.875,93.896,93.851,93.888,0,1513
1750649700,93.888,93.938,93.886,93.905,0,995
1750650000,93.905,93.932,93.868,93.898,0,1109
1750650300,93.898,93.903,93.835,93.864,0,1227
1750650600,93.864,93.9,93.852,93.872,0,1139
1750650900,93.872,93.926,93.87,93.925,0,968
1750651200,93.925,94.011,93.924,93.985,0,1239
1750651500,93.985,94.128,93.982,94.106,0,1406
1750651800,94.106,94.108,94.064,94.081,0,1096
1750652100,94.081,94.112,94.051,94.109,1,1012
1750652400,94.109,94.138,94.081,94.085,0,1117
1750652700,94.085,94.128,94.084,94.112,0,976
1750653000,94.112,94.152,94.108,94.118,0,1140
1750653300,94.118,94.123,94.062,94.072,0,1256
1750653600,94.072,94.089,94.052,94.086,0,1086
1750653900,94.086,94.12,94.072,94.089,0,989
1750654200,94.089,94.132,94.084,94.118,0,861
1750654500,94.118,94.147,94.115,94.13,0,1001
1750654800,94.13,94.193,94.125,94.165,0,1198
1750655100,94.165,94.218,94.157,94.204,0,1248
1750655400,94.204,94.214,94.178,94.197,0,1199
1750655700,94.197,94.271,94.196,94.232,1,1196
1750656000,94.232,94.247,94.187,94.187,0,1006
1750656300,94.187,94.255,94.186,94.215,0,1043
1750656600,94.215,94.241,94.163,94.237,0,1195
1750656900,94.237,94.329,94.219,94.229,0,1446
1750657200,94.229,94.323,94.224,94.3,0,966
1750657500,94.3,94.356,94.295,94.316,0,1178
1750657800,94.316,94.333,94.288,94.322,0,1094
1750658100,94.322,94.337,94.293,94.319,0,1340
1750658400,94.319,94.397,94.316,94.342,0,1383
1750658700,94.342,94.373,94.294,94.367,0,1442
1750659000,94.367,94.437,94.324,94.422,0,1629
1750659300,94.422,94.476,94.403,94.423,0,1582
1750659600,94.423,94.479,94.423,94.459,0,1841
1750659900,94.459,94.494,94.438,94.477,0,1952
1750660200,94.477,94.495,94.456,94.482,0,1762
1750660500,94.482,94.496,94.454,94.489,0,1279
1750660800,94.489,94.497,94.435,94.45,0,1324
1750661100,94.45,94.493,94.445,94.475,0,1115
1750661400,94.475,94.507,94.43,94.472,0,1474
1750661700,94.472,94.497,94.451,94.481,0,2023
1750662000,94.481,94.539,94.424,94.474,0,2377
1750662300,94.474,94.489,94.444,94.459,0,1428
1750662600,94.459,94.509,94.455,94.469,0,1849
1750662900,94.469,94.482,94.431,94.452,0,2103
1750663200,94.452,94.496,94.432,94.462,0,1807
1750663500,94.462,94.541,94.461,94.518,0,1590
1750663800,94.518,94.546,94.511,94.524,0,2117
1750664100,94.524,94.586,94.519,94.566,0,1386
1750664400,94.566,94.603,94.547,94.586,0,1688
1750664700,94.586,94.616,94.549,94.555,0,1763
1750665000,94.555,94.575,94.52,94.541,0,1512
1750665300,94.541,94.62,94.54,94.588,0,1061
1750665600,94.588,94.614,94.571,94.586,0,1556
1750665900,94.586,94.648,94.56,94.642,0,1637
1750666200,94.642,94.667,94.632,94.663,0,1476
1750666500,94.663,94.675,94.627,94.631,0,1357
1750666800,94.631,94.656,94.611,94.612,0,995
1750667100,94.612,94.626,94.578,94.614,0,1089
1750667400,94.614,94.64,94.596,94.605,0,955
1750667700,94.605,94.609,94.572,94.593,0,952
1750668000,94.593,94.595,94.538,94.547,0,1393
1750668300,94.547,94.566,94.505,94.531,0,1678
1750668600,94.531,94.558,94.506,94.516,0,1838
1750668900,94.516,94.546,94.469,94.493,0,1849
1750669200,94.493,94.535,94.484,94.499,0,1773
