time,open,high,low,close,"Pattern Alert",Volume
1750626000,0.64223,0.64253,0.64223,0.64253,0,2
1750626300,0.64253,0.64304,0.64253,0.64304,0,52
1750626600,0.64304,0.64307,0.64295,0.64307,0,25
1750626900,0.64307,0.6433,0.64304,0.64319,0,80
1750627200,0.64319,0.64327,0.64295,0.64298,0,25
1750627500,0.64298,0.64301,0.64298,0.64301,0,3
1750627800,0.64301,0.64301,0.64226,0.64244,0,87
1750628100,0.64244,0.64244,0.64228,0.64232,0,46
1750628400,0.64232,0.6425,0.64232,0.6425,0,33
1750628700,0.6425,0.6425,0.64233,0.6424,0,7
1750629000,0.6424,0.6425,0.64231,0.64238,0,99
1750629300,0.64238,0.64238,0.64218,0.64234,0,136
1750629600,0.64234,0.64318,0.64143,0.64289,0,1459
1750629900,0.64289,0.64382,0.64282,0.6437,0,791
1750630200,0.6437,0.644,0.6433,0.64349,0,701
1750630500,0.64349,0.64369,0.64325,0.64367,0,1018
1750630800,0.64367,0.64386,0.64349,0.64361,0,839
1750631100,0.64361,0.64368,0.64332,0.64333,0,830
1750631400,0.64333,0.64374,0.64314,0.64327,0,795
1750631700,0.64327,0.64367,0.64326,0.64363,0,772
1750632000,0.64363,0.64419,0.6436,0.64414,0,463
1750632300,0.64414,0.64416,0.64399,0.64403,0,568
1750632600,0.64403,0.64409,0.64393,0.644,0,594
1750632900,0.644,0.64416,0.64381,0.64395,0,455
1750633200,0.64395,0.64429,0.64393,0.64426,0,782
1750633500,0.64426,0.64432,0.64386,0.64398,0,665
1750633800,0.64398,0.64426,0.64398,0.64409,0,400
1750634100,0.64409,0.64472,0.64409,0.64466,0,557
1750634400,0.64466,0.64472,0.64449,0.6447,0,301
1750634700,0.6447,0.64473,0.64453,0.64456,0,622
1750635000,0.64456,0.64484,0.64447,0.6447,0,546
1750635300,0.6447,0.64478,0.64462,0.64477,0,342
1750635600,0.64477,0.64484,0.64434,0.64435,0,483
1750635900,0.64435,0.64455,0.64422,0.64431,0,524
1750636200,0.64431,0.64464,0.6443,0.64457,0,485
1750636500,0.64457,0.64464,0.64438,0.64453,0,582
1750636800,0.64453,0.64463,0.64404,0.64405,0,978
1750637100,0.64405,0.64411,0.6436,0.64372,0,1079
1750637400,0.64372,0.64383,0.64356,0.64357,0,843
1750637700,0.64357,0.64374,0.64349,0.64355,0,679
1750638000,0.64355,0.64368,0.64329,0.64355,0,1011
1750638300,0.64355,0.64364,0.64337,0.64349,0,623
1750638600,0.64349,0.64349,0.64272,0.64317,0,1111
1750638900,0.64317,0.64328,0.64296,0.64324,0,813
1750639200,0.64324,0.64344,0.64307,0.64307,1,676
1750639500,0.64307,0.64339,0.64297,0.64316,0,781
1750639800,0.64316,0.64337,0.64302,0.64337,0,839
1750640100,0.64337,0.64363,0.64329,0.64361,0,648
1750640400,0.64361,0.64423,0.64361,0.64381,0,1471
1750640700,0.64381,0.64387,0.64353,0.64362,0,984
1750641000,0.64362,0.64374,0.64328,0.64351,0,980
1750641300,0.64351,0.64351,0.64282,0.64282,0,863
1750641600,0.64282,0.64284,0.64243,0.64254,0,821
1750641900,0.64254,0.64264,0.64199,0.64211,0,967
1750642200,0.64211,0.64246,0.64203,0.64237,0,703
1750642500,0.64237,0.64271,0.64222,0.64269,0,779
1750642800,0.64269,0.64294,0.6426,0.64277,0,932
1750643100,0.64277,0.64308,0.6427,0.64284,0,792
1750643400,0.64284,0.64284,0.64238,0.64238,0,771
1750643700,0.64238,0.64267,0.6419,0.64261,0,999
1750644000,0.64261,0.64306,0.64261,0.64296,0,902
1750644300,0.64296,0.64316,0.64243,0.64245,0,965
1750644600,0.64245,0.64284,0.64232,0.64278,0,1027
1750644900,0.64278,0.64298,0.6423,0.64239,0,675
1750645200,0.64239,0.64256,0.6422,0.64222,0,490
1750645500,0.64222,0.64253,0.64205,0.64247,0,698
1750645800,0.64247,0.64257,0.64209,0.64223,0,712
1750646100,0.64223,0.64227,0.64201,0.64221,0,598
1750646400,0.64221,0.64244,0.64181,0.64183,0,626
1750646700,0.64183,0.64194,0.64155,0.64157,0,561
1750647000,0.64157,0.64174,0.64136,0.64153,0,685
1750647300,0.64153,0.64156,0.64102,0.64121,0,699
1750647600,0.64121,0.64146,0.64086,0.64117,0,708
1750647900,0.64117,0.64144,0.64094,0.64105,0,831
1750648200,0.64105,0.64105,0.64039,0.64063,0,975
1750648500,0.64063,0.64075,0.64037,0.64069,0,1008
1750648800,0.64069,0.64082,0.64043,0.64045,1,876
1750649100,0.64045,0.64048,0.63994,0.64007,0,1209
1750649400,0.64007,0.64041,0.63992,0.64017,0,944
1750649700,0.64017,0.64059,0.64016,0.64034,0,627
1750650000,0.64034,0.64036,0.64005,0.64014,0,689
1750650300,0.64014,0.64028,0.63973,0.64018,0,876
1750650600,0.64018,0.64021,0.63993,0.64003,0,687
1750650900,0.64003,0.64029,0.64003,0.64029,0,400
1750651200,0.64029,0.64063,0.64027,0.64045,0,549
1750651500,0.64045,0.64084,0.64044,0.64078,0,599
1750651800,0.64078,0.64079,0.64035,0.64045,0,633
1750652100,0.64045,0.64079,0.64044,0.64076,0,561
1750652400,0.64076,0.64094,0.64044,0.64046,0,632
1750652700,0.64046,0.64062,0.64036,0.64045,0,436
1750653000,0.64045,0.64061,0.64036,0.6404,0,556
1750653300,0.6404,0.6406,0.64031,0.64039,0,672
1750653600,0.64039,0.64044,0.63993,0.64008,0,554
1750653900,0.64008,0.64027,0.63999,0.64022,0,554
1750654200,0.64022,0.64037,0.64015,0.64036,0,404
1750654500,0.64036,0.64048,0.64029,0.64044,0,515
1750654800,0.64044,0.64084,0.64039,0.64057,0,576
1750655100,0.64057,0.64075,0.64043,0.64068,0,751
1750655400,0.64068,0.64074,0.64043,0.64048,0,636
1750655700,0.64048,0.64076,0.64048,0.64059,0,616
1750656000,0.64059,0.64078,0.64019,0.6402,0,398
1750656300,0.6402,0.6404,0.64012,0.64038,0,679
1750656600,0.64038,0.64054,0.64021,0.64041,0,663
