time,open,high,low,close,"Pattern Alert",Volume
1769983200,0.53618,0.53648,0.53615,0.53635,0,0
1769983500,0.53635,0.53661,0.53635,0.53651,0,0
1769983800,0.53651,0.53654,0.53646,0.53654,0,0
1769984100,0.53654,0.53659,0.53646,0.53646,0,0
1769984400,0.53646,0.53667,0.53646,0.53667,0,0
1769984700,0.53667,0.53678,0.53656,0.5366,0,0
1769985000,0.5366,0.53704,0.5365,0.5365,0,0
1769985300,0.5365,0.53653,0.53639,0.53652,0,0
1769985600,0.53652,0.53656,0.53649,0.53654,0,0
1769985900,0.53654,0.53655,0.53637,0.53646,0,0
1769986200,0.53646,0.53668,0.53627,0.53638,0,0
1769986500,0.53638,0.53655,0.53598,0.53598,0,0
1769986800,0.53598,0.53731,0.53598,0.53725,0,0
1769987100,0.53725,0.53735,0.53688,0.5369,0,0
1769987400,0.5369,0.53694,0.53615,0.53644,0,0
1769987700,0.53644,0.5366,0.53621,0.53624,0,0
1769988000,0.53624,0.5365,0.53601,0.53613,0,0
1769988300,0.53613,0.53683,0.53612,0.53666,0,0
1769988600,0.53666,0.5374,0.53665,0.53739,0,0
1769988900,0.53739,0.53767,0.53719,0.53746,0,0
1769989200,0.53746,0.53763,0.5373,0.53738,0,0
1769989500,0.53738,0.53756,0.53705,0.53717,0,0
1769989800,0.53717,0.53757,0.53717,0.53754,0,0
1769990100,0.53754,0.53754,0.53716,0.53725,0,0
1769990400,0.53725,0.53792,0.53723,0.53788,0,0
1769990700,0.53788,0.53814,0.53769,0.53801,0,0
1769991000,0.53801,0.53803,0.53771,0.53789,0,0
1769991300,0.53789,0.53795,0.5376,0.53786,0,0
1769991600,0.53786,0.53808,0.5378,0.53799,0,0
1769991900,0.53799,0.53808,0.53784,0.53798,0,0
1769992200,0.53798,0.53802,0.53778,0.53796,0,0
1769992500,0.53796,0.53812,0.53787,0.53799,0,0
1769992800,0.53799,0.53825,0.53797,0.53811,0,0
