time,open,high,low,close,"Pattern Alert",Volume
1771871400,109.213,109.234,109.201,109.221,0,0
1771871700,109.221,109.222,109.155,109.156,0,0
1771872000,109.156,109.166,109.1,109.103,0,0
1771872300,109.103,109.132,109.083,109.121,0,0
1771872600,109.121,109.123,109.081,109.091,0,0
1771872900,109.091,109.092,109.046,109.067,0,0
1771873200,109.067,109.104,109.064,109.083,0,0
1771873500,109.083,109.091,109.068,109.075,0,0
1771873800,109.075,109.086,109.067,109.067,0,0
1771874100,109.067,109.083,109.063,109.067,0,0
1771874400,109.067,109.094,109.063,109.079,0,0
1771874700,109.079,109.088,109.059,109.062,0,0
1771875000,109.062,109.109,109.052,109.108,0,0
1771875300,109.108,109.117,109.096,109.108,0,0
1771875600,109.108,109.11,109.054,109.07,0,0
1771875900,109.07,109.109,109.07,109.1,0,0
1771876200,109.1,109.105,109.082,109.1,0,0
1771876500,109.1,109.125,109.076,109.086,0,0
1771876800,109.086,109.109,109.081,109.096,0,0
1771877100,109.096,109.104,109.075,109.084,0,0
1771877400,109.084,109.086,109.058,109.063,0,0
1771877700,109.063,109.079,109.061,109.072,0,0
1771878000,109.072,109.107,109.068,109.1,0,0
1771878300,109.1,109.131,109.099,109.121,0,0
1771878600,109.121,109.157,109.119,109.148,0,0
1771878900,109.148,109.163,109.145,109.148,0,0
1771879200,109.148,109.151,109.125,109.147,0,0
1771879500,109.147,109.164,109.13,109.161,0,0
1771879800,109.161,109.164,109.131,109.134,0,0
1771880100,109.134,109.173,109.129,109.171,0,0
1771880400,109.171,109.204,109.169,109.203,0,0
1771880700,109.203,109.213,109.197,109.207,0,0
1771881000,109.207,109.217,109.203,109.213,0,0
1771881300,109.213,109.223,109.18,109.184,0,0
1771881600,109.184,109.2,109.179,109.191,0,0
1771881900,109.191,109.218,109.19,109.214,0,0
1771882200,109.214,109.229,109.214,109.229,0,0
1771882500,109.229,109.229,109.196,109.196,0,0
1771882800,109.196,109.197,109.181,109.187,0,0
1771883100,109.187,109.188,109.167,109.17,0,0
1771883400,109.17,109.171,109.145,109.159,0,0
1771883700,109.159,109.163,109.096,109.103,0,0
1771884000,109.103,109.103,108.984,108.987,0,0
1771884300,108.987,109.039,108.987,109.038,0,0
