time,open,high,low,close,"Pattern Alert",Volume
1770748200,0.70676,0.70689,0.70663,0.70669,0,0
1770748500,0.70669,0.70695,0.70669,0.70692,0,0
1770748800,0.70692,0.70706,0.70687,0.70699,0,0
1770749100,0.70699,0.7071,0.70688,0.70688,0,0
1770749400,0.70688,0.70695,0.70678,0.70687,0,0
1770749700,0.70687,0.70715,0.70687,0.70709,0,0
1770750000,0.70709,0.70719,0.7069,0.70714,0,0
1770750300,0.70714,0.70726,0.70712,0.70714,0,0
1770750600,0.70714,0.70718,0.70696,0.70718,0,0
1770750900,0.70718,0.70739,0.7071,0.70739,0,0
1770751200,0.70739,0.70764,0.70739,0.70764,0,0
1770751500,0.70764,0.7077,0.70755,0.70767,0,0
1770751800,0.70767,0.70778,0.70765,0.70767,0,0
1770752100,0.70767,0.70777,0.70764,0.70775,0,0
1770752400,0.70775,0.7078,0.70759,0.70768,0,0
1770752700,0.70768,0.70777,0.7076,0.70772,0,0
1770753000,0.70772,0.70779,0.70765,0.70779,0,0
1770753300,0.70779,0.70795,0.70779,0.7079,0,0
1770753600,0.7079,0.70794,0.70771,0.70772,0,0
1770753900,0.70772,0.70776,0.70761,0.70769,0,0
1770754200,0.70769,0.70771,0.70758,0.70763,0,0
1770754500,0.70763,0.70788,0.70758,0.70787,0,0
1770754800,0.70787,0.708,0.70782,0.70784,0,0
1770755100,0.70784,0.7079,0.70776,0.7078,0,0
1770755400,0.7078,0.708,0.70779,0.70792,0,0
1770755700,0.70792,0.70796,0.70782,0.70785,0,0
1770756000,0.70785,0.70794,0.70785,0.70793,0,0
1770756300,0.70793,0.70795,0.70778,0.70778,0,0
1770756600,0.70778,0.70782,0.70746,0.70751,0,0
1770756900,0.70751,0.70756,0.70728,0.70729,0,0
1770757200,0.70729,0.70735,0.70722,0.70734,0,0
1770757500,0.70734,0.70737,0.70727,0.70737,0,0
1770757800,0.70737,0.70749,0.70737,0.70744,0,0
1770758100,0.70744,0.70748,0.70743,0.70747,0,0
1770758400,0.70747,0.70747,0.70733,0.70734,0,0
1770758700,0.70734,0.70738,0.70731,0.70735,0,0
1770759000,0.70735,0.70738,0.70729,0.70737,0,0
1770759300,0.70737,0.70738,0.70722,0.70723,0,0
1770759600,0.70723,0.70732,0.70723,0.70731,0,0
1770759900,0.70731,0.70749,0.70728,0.70749,0,0
1770760200,0.70749,0.70752,0.70745,0.70748,0,0
