time,open,high,low,close,"Pattern Alert",Volume
1768847400,113.966,113.977,113.965,113.976,0,0
1768847700,113.976,113.98,113.974,113.978,0,0
1768848000,113.978,113.979,113.971,113.971,0,0
1768848300,113.971,113.976,113.967,113.97,0,0
1768848600,113.97,113.972,113.962,113.962,0,0
1768848900,113.962,113.969,113.961,113.969,0,0
1768849200,113.969,113.989,113.969,113.988,0,0
1768849500,113.988,114.012,113.984,114.012,0,0
1768849800,114.012,114.016,114.008,114.012,0,0
1768850100,114.012,114.016,114.004,114.004,0,0
1768850400,114.004,114.006,114.003,114.006,0,0
1768850700,114.006,114.009,113.994,113.994,0,0
1768851000,113.994,114.002,113.991,113.991,0,0
1768851300,113.991,113.992,113.99,113.991,0,0
1768851600,113.991,113.999,113.991,113.996,0,0
1768851900,113.996,113.999,113.995,113.995,0,0
1768852200,113.995,113.996,113.978,113.983,0,0
1768852500,113.983,113.989,113.98,113.983,0,0
1768852800,113.983,113.99,113.981,113.986,0,0
1768853100,113.986,113.993,113.983,113.991,0,0
1768853400,113.991,114.006,113.991,114.006,0,0
1768853700,114.006,114.008,114.003,114.006,0,0
1768854000,114.006,114.018,114.006,114.018,0,0
1768854300,114.018,114.026,114.009,114.009,0,0
1768854600,114.009,114.009,114.002,114.009,0,0
1768854900,114.009,114.018,114.007,114.011,0,0
1768855200,114.011,114.021,114.01,114.013,0,0
1768855500,114.013,114.024,114.012,114.022,0,0
1768855800,114.022,114.028,114.022,114.026,0,0
1768856100,114.026,114.026,114.017,114.018,0,0
1768856400,114.018,114.028,114.01,114.011,0,0
1768856700,114.011,114.011,114.004,114.007,0,0
1768857000,114.007,114.008,113.997,113.998,0,0
1768857300,113.998,114.012,113.998,114.011,0,0
1768857600,114.011,114.011,113.982,113.984,0,0
1768857900,113.984,113.991,113.975,113.978,0,0
1768858200,113.978,113.987,113.974,113.985,0,0
1768858500,113.985,113.991,113.984,113.988,0,0
1768858800,113.988,113.996,113.986,113.995,0,0
1768859100,113.995,114.012,113.994,114.012,0,0
1768859400,114.012,114.012,114.005,114.01,0,0
1768859700,114.01,114.01,113.998,113.998,0,0
1768860000,113.998,113.998,113.927,113.927,0,0
