time,open,high,low,close,"Pattern Alert",Volume
1768415400,198.023,198.034,198.003,198.007,0,0
1768415700,198.007,198.007,197.909,197.93,0,0
1768416000,197.93,197.948,197.909,197.916,0,0
1768416300,197.916,197.933,197.893,197.933,0,0
1768416600,197.933,197.999,197.933,197.986,0,0
1768416900,197.986,198.017,197.972,198.016,0,0
1768417200,198.016,198.024,197.971,197.997,0,0
1768417500,197.997,198.009,197.973,197.975,0,0
1768417800,197.975,197.975,197.943,197.943,0,0
1768418100,197.943,197.997,197.934,197.997,0,0
1768418400,197.997,197.999,197.956,197.966,0,0
1768418700,197.966,197.984,197.966,197.979,0,0
1768419000,197.979,197.993,197.958,197.959,0,0
1768419300,197.959,197.991,197.959,197.981,0,0
1768419600,197.981,198.025,197.975,198.013,0,0
1768419900,198.013,198.039,198.008,198.023,0,0
1768420200,198.023,198.039,198.019,198.029,0,0
1768420500,198.029,198.051,198.009,198.009,0,0
1768420800,198.009,198.111,198,198.098,0,0
1768421100,198.098,198.149,198.094,198.125,0,0
1768421400,198.125,198.164,198.107,198.129,0,0
1768421700,198.129,198.166,198.123,198.159,0,0
1768422000,198.159,198.188,198.152,198.177,0,0
1768422300,198.177,198.182,198.161,198.164,0,0
1768422600,198.164,198.173,198.141,198.154,0,0
1768422900,198.154,198.187,198.154,198.186,0,0
1768423200,198.186,198.19,198.15,198.151,0,0
1768423500,198.151,198.169,198.14,198.156,0,0
1768423800,198.156,198.162,198.135,198.14,0,0
1768424100,198.14,198.145,198.115,198.129,0,0
1768424400,198.129,198.174,198.129,198.163,0,0
1768424700,198.163,198.166,198.113,198.129,0,0
1768425000,198.129,198.134,198.095,198.112,0,0
1768425300,198.112,198.14,198.106,198.138,0,0
1768425600,198.138,198.145,198.099,198.125,0,0
1768425900,198.125,198.126,198.06,198.08,0,0
1768426200,198.08,198.097,198.067,198.091,0,0
1768426500,198.091,198.092,198.063,198.063,0,0
1768426800,198.063,198.063,198.032,198.046,0,0
1768427100,198.046,198.086,198.045,198.075,0,0
1768427400,198.075,198.075,198.032,198.047,0,0
1768427700,198.047,198.093,198.006,198.006,0,0
1768428000,198.006,198.044,197.923,197.923,0,0
1768428300,197.923,197.969,197.914,197.914,0,0
1768428600,197.914,198.003,197.903,197.985,0,0
1768428900,197.985,198.002,197.928,198.002,0,0
1768429200,198.002,198.002,197.957,197.957,0,0
1768429500,197.957,197.96,197.918,197.923,0,0
1768429800,197.923,197.955,197.897,197.949,0,0
1768430100,197.949,198,197.733,197.746,0,0
1768430400,197.746,197.757,197.724,197.744,0,0
1768430700,197.744,197.805,197.707,197.758,0,0
1768431000,197.758,197.795,197.687,197.791,0,0
1768431300,197.791,197.815,197.688,197.788,0,0
1768431600,197.788,197.883,197.78,197.871,0,0
1768431900,197.871,197.931,197.861,197.917,0,0
1768432200,197.917,197.95,197.887,197.927,0,0
1768432500,197.927,197.979,197.921,197.974,0,0
1768432800,197.974,197.987,197.967,197.98,0,0
1768433100,197.98,198.031,197.966,198.029,0,0
1768433400,198.029,198.047,198.012,198.046,0,0
1768433700,198.046,198.051,198.014,198.041,0,0
1768434000,198.041,198.062,198.018,198.039,0,0
1768434300,198.039,198.09,198.031,198.041,0,0
1768434600,198.041,198.06,198.022,198.053,0,0
1768434900,198.053,198.078,198.036,198.068,0,0
1768435200,198.068,198.159,198.068,198.145,0,0
1768435500,198.145,198.183,198.13,198.182,0,0
1768435800,198.182,198.206,198.176,198.199,0,0
1768436100,198.199,198.224,198.158,198.18,0,0
1768436400,198.18,198.202,198.153,198.163,0,0
1768436700,198.163,198.228,198.144,198.227,0,0
1768437000,198.227,198.243,198.187,198.187,0,0
1768437300,198.187,198.218,198.163,198.195,0,0
1768437600,198.195,198.227,198.193,198.219,0,0
1768437900,198.219,198.252,198.183,198.194,0,0
1768438200,198.194,198.208,198.06,198.138,0,0
1768438500,198.138,198.138,198.027,198.065,0,0
1768438800,198.065,198.083,198.015,198.078,0,0
1768439100,198.078,198.093,198.029,198.036,0,0
1768439400,198.036,198.048,197.969,197.976,0,0
1768439700,197.976,198.061,197.966,198.046,0,0
1768440000,198.046,198.067,198.033,198.057,0,0
