time,open,high,low,close,"Pattern Alert",Volume
1768193100,1.74123,1.7413,1.74101,1.74102,0,0
1768193400,1.74102,1.74109,1.74089,1.74091,0,0
1768193700,1.74091,1.74096,1.7408,1.74087,0,0
1768194000,1.74087,1.74096,1.74075,1.74092,0,0
1768194300,1.74092,1.74121,1.74091,1.74105,0,0
1768194600,1.74105,1.74119,1.74092,1.74119,0,0
1768194900,1.74119,1.74149,1.74116,1.74144,0,0
1768195200,1.74144,1.74148,1.74117,1.74148,0,0
1768195500,1.74148,1.74181,1.74148,1.74163,0,0
1768195800,1.74163,1.74202,1.7416,1.74199,0,0
1768196100,1.74199,1.74216,1.74169,1.74169,0,0
1768196400,1.74169,1.74217,1.74155,1.74199,0,0
1768196700,1.74199,1.74262,1.74199,1.74248,0,0
1768197000,1.74248,1.74262,1.74216,1.74217,0,0
1768197300,1.74217,1.74232,1.74193,1.74193,0,0
1768197600,1.74193,1.74211,1.74172,1.74186,0,0
1768197900,1.74186,1.74199,1.74144,1.74144,0,0
1768198200,1.74144,1.74151,1.74122,1.74137,0,0
1768198500,1.74137,1.74185,1.74132,1.74176,0,0
1768198800,1.74176,1.74196,1.74164,1.74171,0,0
1768199100,1.74171,1.74173,1.74155,1.74165,0,0
1768199400,1.74165,1.74222,1.74148,1.7422,0,0
1768199700,1.7422,1.74237,1.74203,1.74212,0,0
1768200000,1.74212,1.74212,1.74167,1.74174,0,0
1768200300,1.74174,1.74175,1.74143,1.74174,0,0
1768200600,1.74174,1.74223,1.74168,1.74215,0,0
1768200900,1.74215,1.74216,1.74179,1.74182,0,0
1768201200,1.74182,1.7425,1.74179,1.74207,0,0
1768201500,1.74207,1.74231,1.7415,1.74153,0,0
1768201800,1.74153,1.74163,1.74129,1.74158,0,0
1768202100,1.74158,1.74214,1.74143,1.74195,0,0
1768202400,1.74195,1.74256,1.74187,1.74215,0,0
1768202700,1.74215,1.74232,1.74164,1.74174,0,0
1768203000,1.74174,1.74226,1.74174,1.74202,0,0
1768203300,1.74202,1.74206,1.74123,1.74151,0,0
1768203600,1.74151,1.74157,1.74112,1.74113,0,0
1768203900,1.74113,1.74181,1.74112,1.74162,0,0
1768204200,1.74162,1.74206,1.74162,1.74188,0,0
1768204500,1.74188,1.74276,1.74188,1.74262,0,0
1768204800,1.74262,1.74264,1.74111,1.74119,0,0
1768205100,1.74119,1.7418,1.74118,1.7414,0,0
1768205400,1.7414,1.74193,1.7412,1.74141,0,0
1768205700,1.74141,1.74168,1.7412,1.74162,0,0
1768206000,1.74162,1.74227,1.7416,1.74214,0,0
1768206300,1.74214,1.74214,1.74182,1.74194,0,0
1768206600,1.74194,1.74235,1.74182,1.74182,0,0
1768206900,1.74182,1.74222,1.74169,1.7422,1,0
1768207200,1.7422,1.74278,1.74216,1.74268,0,0
1768207500,1.74268,1.74313,1.74249,1.7425,0,0
1768207800,1.7425,1.74344,1.74247,1.74329,0,0
1768208100,1.74329,1.74336,1.74304,1.74326,0,0
1768208400,1.74326,1.74373,1.74315,1.74348,0,0
1768208700,1.74348,1.74377,1.74345,1.74359,0,0
1768209000,1.74359,1.74371,1.7433,1.7435,0,0
1768209300,1.7435,1.74356,1.7426,1.74286,0,0
1768209600,1.74286,1.74298,1.74221,1.74223,0,0
1768209900,1.74223,1.74273,1.74206,1.74264,0,0
1768210200,1.74264,1.74283,1.74237,1.74279,0,0
1768210500,1.74279,1.743,1.74241,1.74272,0,0
1768210800,1.74272,1.74294,1.74217,1.74224,0,0
1768211100,1.74224,1.74229,1.74195,1.74219,0,0
1768211400,1.74219,1.74242,1.74181,1.74189,0,0
1768211700,1.74189,1.74202,1.7417,1.74181,0,0
1768212000,1.74181,1.7425,1.74169,1.74239,0,0
1768212300,1.74239,1.74272,1.74238,1.74251,0,0
1768212600,1.74251,1.74273,1.74213,1.74214,0,0
1768212900,1.74214,1.74215,1.74147,1.74159,0,0
1768213200,1.74159,1.74172,1.74129,1.74155,0,0
1768213500,1.74155,1.74168,1.74122,1.74139,0,0
1768213800,1.74139,1.74148,1.74073,1.74089,0,0
1768214100,1.74089,1.74121,1.74088,1.74104,0,0
1768214400,1.74104,1.74152,1.74093,1.74143,0,0
1768214700,1.74143,1.74168,1.7413,1.74167,0,0
1768215000,1.74167,1.74175,1.74145,1.74153,0,0
1768215300,1.74153,1.74168,1.7409,1.74099,0,0
1768215600,1.74099,1.74154,1.74099,1.74129,0,0
1768215900,1.74129,1.74154,1.74117,1.74123,0,0
1768216200,1.74123,1.74144,1.7412,1.74134,0,0
1768216500,1.74134,1.74134,1.74113,1.74134,0,0
1768216800,1.74134,1.74177,1.74134,1.74173,0,0
1768217100,1.74173,1.74213,1.74168,1.74179,0,0
1768217400,1.74179,1.74189,1.74167,1.7417,0,0
1768217700,1.7417,1.74184,1.74116,1.74131,0,0
1768218000,1.74131,1.74138,1.74099,1.74101,0,0
1768218300,1.74101,1.74114,1.74071,1.74111,0,0
1768218600,1.74111,1.74119,1.74084,1.74108,0,0
1768218900,1.74108,1.74157,1.74104,1.74142,0,0
1768219200,1.74142,1.74167,1.74123,1.74165,0,0
1768219500,1.74165,1.74205,1.74157,1.74205,0,0
1768219800,1.74205,1.74248,1.74185,1.74248,0,0
1768220100,1.74248,1.7425,1.74196,1.74205,0,0
1768220400,1.74205,1.74254,1.74199,1.74215,0,0
1768220700,1.74215,1.74241,1.7421,1.74217,0,0
1768221000,1.74217,1.74219,1.74178,1.74213,0,0
1768221300,1.74213,1.74213,1.74169,1.74191,0,0
1768221600,1.74191,1.74192,1.74145,1.7415,0,0
1768221900,1.7415,1.7415,1.74077,1.74101,0,0
1768222200,1.74101,1.74121,1.74066,1.74069,0,0
1768222500,1.74069,1.74104,1.74061,1.74091,0,0
1768222800,1.74091,1.741,1.74033,1.74078,0,0
1768223100,1.74078,1.74107,1.74074,1.74086,0,0
1768223400,1.74086,1.74117,1.74056,1.74071,0,0
1768223700,1.74071,1.74106,1.7407,1.74096,0,0
1768224000,1.74096,1.74113,1.74036,1.74063,0,0
1768224300,1.74063,1.74117,1.74037,1.74106,0,0
1768224600,1.74106,1.74147,1.74088,1.74089,0,0
1768224900,1.74089,1.74144,1.74087,1.74131,0,0
1768225200,1.74131,1.74165,1.74124,1.74163,0,0
1768225500,1.74163,1.74175,1.74131,1.74171,0,0
1768225800,1.74171,1.74192,1.74097,1.74098,0,0
1768226100,1.74098,1.74117,1.7407,1.7411,0,0
1768226400,1.7411,1.74128,1.74087,1.7412,0,0
1768226700,1.7412,1.74159,1.74095,1.74154,0,0
1768227000,1.74154,1.74203,1.74149,1.74161,0,0
1768227300,1.74161,1.74182,1.74143,1.74159,0,0
1768227600,1.74159,1.74209,1.74141,1.74152,0,0
1768227900,1.74152,1.74199,1.74135,1.74143,0,0
1768228200,1.74143,1.74155,1.74077,1.74104,0,0
1768228500,1.74104,1.74123,1.7404,1.74051,0,0
1768228800,1.74051,1.74104,1.74035,1.74096,0,0
1768229100,1.74096,1.74166,1.74094,1.7414,0,0
1768229400,1.7414,1.74149,1.74085,1.74099,0,0
1768229700,1.74099,1.7412,1.74002,1.74021,0,0
1768230000,1.74021,1.7405,1.73993,1.74035,0,0
