time,open,high,low,close,"Pattern Alert",Volume
1771957800,1.61466,1.6147,1.61431,1.61431,0,0
1771958100,1.61431,1.61442,1.61428,1.61428,0,0
1771958400,1.61428,1.61431,1.61406,1.61406,0,0
1771958700,1.61406,1.61416,1.61394,1.61413,0,0
1771959000,1.61413,1.61416,1.61399,1.61411,0,0
1771959300,1.61411,1.61411,1.6138,1.61401,0,0
1771959600,1.61401,1.6144,1.61391,1.61435,0,0
1771959900,1.61435,1.61436,1.61414,1.61417,0,0
1771960200,1.61417,1.61429,1.61408,1.61423,0,0
1771960500,1.61423,1.61434,1.61416,1.61421,0,0
1771960800,1.61421,1.61429,1.61403,1.61404,0,0
1771961100,1.61404,1.61428,1.61404,1.61417,0,0
1771961400,1.61417,1.61431,1.61407,1.61408,0,0
1771961700,1.61408,1.61426,1.61407,1.61424,0,0
1771962000,1.61424,1.61424,1.61395,1.61396,0,0
1771962300,1.61396,1.61397,1.61379,1.61388,0,0
1771962600,1.61388,1.61404,1.61374,1.61402,0,0
1771962900,1.61402,1.61423,1.6139,1.61403,0,0
1771963200,1.61403,1.61409,1.61387,1.61388,0,0
1771963500,1.61388,1.61388,1.6137,1.6138,0,0
1771963800,1.6138,1.61401,1.6138,1.61393,0,0
1771964100,1.61393,1.61393,1.61364,1.61367,0,0
1771964400,1.61367,1.61372,1.61356,1.61372,0,0
1771964700,1.61372,1.61374,1.61345,1.61353,0,0
1771965000,1.61353,1.61363,1.61342,1.61363,0,0
1771965300,1.61363,1.61392,1.61361,1.6138,0,0
1771965600,1.6138,1.61382,1.61351,1.61367,0,0
1771965900,1.61367,1.61387,1.61355,1.61385,0,0
1771966200,1.61385,1.61386,1.61339,1.61347,0,0
1771966500,1.61347,1.61359,1.61331,1.61347,0,0
1771966800,1.61347,1.61385,1.61341,1.61354,0,0
1771967100,1.61354,1.61363,1.61328,1.61341,0,0
1771967400,1.61341,1.61358,1.61325,1.61325,0,0
1771967700,1.61325,1.61341,1.61319,1.61335,0,0
1771968000,1.61335,1.61335,1.61304,1.6133,0,0
1771968300,1.6133,1.61335,1.61319,1.61334,0,0
1771968600,1.61334,1.61368,1.61325,1.61341,0,0
1771968900,1.61341,1.61343,1.61328,1.61328,0,0
1771969200,1.61328,1.61328,1.61303,1.61306,0,0
1771969500,1.61306,1.61306,1.61272,1.61289,0,0
1771969800,1.61289,1.61291,1.61283,1.61286,0,0
1771970100,1.61286,1.61287,1.61264,1.61266,0,0
1771970400,1.61266,1.61266,1.61252,1.61254,0,0
1771970700,1.61254,1.61298,1.61237,1.61271,0,0
1771971000,1.61271,1.61271,1.61243,1.61256,0,0
1771971300,1.61256,1.61261,1.61252,1.61261,0,0
1771971600,1.61261,1.61261,1.61246,1.61248,0,0
1771971900,1.61248,1.6125,1.61224,1.61225,0,0
1771972200,1.61225,1.61259,1.61221,1.61257,0,0
1771972500,1.61257,1.61289,1.61254,1.61254,0,0
1771972800,1.61254,1.61258,1.61245,1.61246,0,0
1771973100,1.61246,1.61251,1.61238,1.61242,0,0
1771973400,1.61242,1.61242,1.61237,1.6124,0,0
1771973700,1.6124,1.61241,1.61239,1.6124,0,0
1771974000,1.6124,1.61308,1.6124,1.61295,0,0
1771974300,1.61295,1.61301,1.61291,1.61293,0,0
1771974600,1.61293,1.61299,1.61286,1.6129,0,0
1771974900,1.6129,1.613,1.61289,1.613,0,0
1771975200,1.613,1.61307,1.61292,1.61306,0,0
1771975500,1.61306,1.61316,1.61305,1.61316,0,0
1771975800,1.61316,1.61325,1.61315,1.61322,0,0
1771976100,1.61322,1.61325,1.61315,1.61315,0,0
1771976400,1.61315,1.61319,1.6131,1.61314,0,0
1771976700,1.61314,1.61321,1.61311,1.61319,0,0
1771977000,1.61319,1.61319,1.61305,1.61309,0,0
1771977300,1.61309,1.6133,1.61305,1.6133,0,0
1771977600,1.6133,1.61357,1.61328,1.61338,0,0
1771977900,1.61338,1.61356,1.61338,1.61344,0,0
1771978200,1.61344,1.61357,1.61334,1.61349,0,0
1771978500,1.61349,1.61349,1.61335,1.61348,0,0
1771978800,1.61348,1.61351,1.61335,1.61335,0,0
1771979100,1.61335,1.61347,1.61335,1.6134,0,0
1771979400,1.6134,1.6134,1.613,1.61324,0,0
1771979700,1.61324,1.61331,1.61317,1.61325,0,0
1771980000,1.61325,1.61326,1.61312,1.61316,0,0
1771980300,1.61316,1.61319,1.61304,1.61319,0,0
1771980600,1.61319,1.61327,1.613,1.6131,0,0
1771980900,1.6131,1.61326,1.61298,1.61306,0,0
1771981200,1.61306,1.61314,1.61286,1.61289,0,0
1771981500,1.61289,1.61292,1.61273,1.61281,0,0
1771981800,1.61281,1.61301,1.61277,1.61289,0,0
1771982100,1.61289,1.61312,1.61288,1.61303,0,0
1771982400,1.61303,1.61305,1.61288,1.61288,0,0
1771982700,1.61288,1.61304,1.61288,1.61301,0,0
1771983000,1.61301,1.61326,1.61295,1.61326,0,0
1771983300,1.61326,1.61334,1.61303,1.61303,0,0
1771983600,1.61303,1.61319,1.61303,1.61314,0,0
1771983900,1.61314,1.61317,1.61301,1.61314,0,0
1771984200,1.61314,1.61322,1.61298,1.61312,0,0
1771984500,1.61312,1.61344,1.61304,1.61342,0,0
1771984800,1.61342,1.61351,1.61337,1.61349,0,0
1771985100,1.61349,1.61374,1.61338,1.61373,0,0
1771985400,1.61373,1.61383,1.61365,1.61379,0,0
1771985700,1.61379,1.61387,1.61374,1.61377,0,0
1771986000,1.61377,1.61378,1.61351,1.6136,0,0
1771986300,1.6136,1.61378,1.61351,1.61374,0,0
1771986600,1.61374,1.61382,1.61349,1.61382,0,0
1771986900,1.61382,1.61383,1.61362,1.61373,0,0
1771987200,1.61373,1.61375,1.61349,1.61369,0,0
1771987500,1.61369,1.61381,1.61359,1.61377,0,0
1771987800,1.61377,1.61387,1.61362,1.61365,0,0
1771988100,1.61365,1.61378,1.61351,1.6136,0,0
1771988400,1.6136,1.61369,1.61336,1.61369,0,0
1771988700,1.61369,1.61386,1.6136,1.61364,0,0
1771989000,1.61364,1.61364,1.61335,1.61339,0,0
1771989300,1.61339,1.61361,1.61338,1.61355,0,0
1771989600,1.61355,1.61382,1.61355,1.61376,0,0
1771989900,1.61376,1.6138,1.61358,1.61369,0,0
1771990200,1.61369,1.61396,1.61364,1.61366,0,0
1771990500,1.61366,1.61381,1.61361,1.6137,0,0
1771990800,1.6137,1.61385,1.61362,1.61367,0,0
1771991100,1.61367,1.61376,1.61357,1.61365,0,0
1771991400,1.61365,1.6137,1.61361,1.61367,0,0
1771991700,1.61367,1.61387,1.61352,1.61368,0,0
1771992000,1.61368,1.61397,1.61368,1.61375,0,0
1771992300,1.61375,1.61382,1.61367,1.61372,0,0
1771992600,1.61372,1.61381,1.61357,1.61379,0,0
1771992900,1.61379,1.61381,1.61363,1.61375,0,0
1771993200,1.61375,1.61391,1.61371,1.61385,0,0
1771993500,1.61385,1.61395,1.61378,1.6139,0,0
1771993800,1.6139,1.61391,1.61378,1.61382,0,0
1771994100,1.61382,1.61399,1.6138,1.61398,0,0
1771994400,1.61398,1.61407,1.61397,1.61402,0,0
1771994700,1.61402,1.61404,1.61388,1.61399,0,0
1771995000,1.61399,1.61411,1.61396,1.61409,0,0
1771995300,1.61409,1.6142,1.614,1.61404,0,0
1771995600,1.61404,1.61412,1.61389,1.6139,0,0
1771995900,1.6139,1.61398,1.61374,1.61377,0,0
1771996200,1.61377,1.61389,1.61375,1.61379,0,0
1771996500,1.61379,1.61383,1.61369,1.61379,0,0
1771996800,1.61379,1.61394,1.61375,1.6139,0,0
1771997100,1.6139,1.614,1.61387,1.614,0,0
1771997400,1.614,1.61406,1.61394,1.61406,0,0
1771997700,1.61406,1.61413,1.61398,1.61408,0,0
1771998000,1.61408,1.61446,1.61406,1.6144,0,0
1771998300,1.6144,1.61449,1.61423,1.61437,0,0
1771998600,1.61437,1.61437,1.61411,1.61413,0,0
1771998900,1.61413,1.61414,1.6139,1.61393,0,0
1771999200,1.61393,1.61416,1.6139,1.61391,0,0
1771999500,1.61391,1.61421,1.61389,1.61414,0,0
1771999800,1.61414,1.61428,1.61403,1.61416,0,0
1772000100,1.61416,1.61435,1.61412,1.61431,0,0
1772000400,1.61431,1.61438,1.61425,1.61434,0,0
1772000700,1.61434,1.61453,1.61418,1.6145,0,0
1772001000,1.6145,1.61461,1.61432,1.61449,0,0
1772001300,1.61449,1.61456,1.61443,1.61446,0,0
1772001600,1.61446,1.6145,1.61416,1.61416,0,0
1772001900,1.61416,1.61436,1.61411,1.6143,0,0
1772002200,1.6143,1.61448,1.61425,1.61426,0,0
1772002500,1.61426,1.61443,1.6142,1.61434,0,0
1772002800,1.61434,1.61456,1.61418,1.61453,0,0
1772003100,1.61453,1.61456,1.61439,1.61455,0,0
1772003400,1.61455,1.61463,1.6143,1.61433,0,0
1772003700,1.61433,1.61433,1.61401,1.61412,0,0
1772004000,1.61412,1.61421,1.61403,1.61409,0,0
1772004300,1.61409,1.61414,1.61393,1.61401,0,0
1772004600,1.61401,1.61417,1.61397,1.61412,0,0
1772004900,1.61412,1.61438,1.61412,1.61422,0,0
1772005200,1.61422,1.61424,1.61407,1.61421,0,0
1772005500,1.61421,1.61444,1.6141,1.6144,0,0
1772005800,1.6144,1.61471,1.61434,1.61434,0,0
1772006100,1.61434,1.61452,1.61412,1.61415,0,0
1772006400,1.61415,1.61432,1.614,1.61406,0,0
1772006700,1.61406,1.61423,1.61396,1.61414,0,0
1772007000,1.61414,1.61421,1.614,1.61409,0,0
1772007300,1.61409,1.61428,1.61409,1.61417,0,0
1772007600,1.61417,1.61428,1.61409,1.61412,0,0
1772007900,1.61412,1.61415,1.6139,1.61413,0,0
1772008200,1.61413,1.61436,1.61396,1.61426,0,0
1772008500,1.61426,1.61436,1.61413,1.61432,0,0
1772008800,1.61432,1.61433,1.61393,1.61393,0,0
1772009100,1.61393,1.61426,1.61393,1.61425,0,0
1772009400,1.61425,1.61438,1.61413,1.61419,0,0
1772009700,1.61419,1.6143,1.614,1.61405,0,0
1772010000,1.61405,1.61412,1.61389,1.61406,0,0
1772010300,1.61406,1.6143,1.61401,1.61425,0,0
1772010600,1.61425,1.61436,1.61406,1.61413,0,0
1772010900,1.61413,1.61415,1.61389,1.61397,0,0
1772011200,1.61397,1.61418,1.61393,1.61407,0,0
1772011500,1.61407,1.6142,1.61403,1.61417,0,0
