time,open,high,low,close,"Pattern Alert",Volume
1769106600,0.92788,0.92803,0.92781,0.9279,0,0
1769106900,0.9279,0.9279,0.92774,0.92781,0,0
1769107200,0.92781,0.92787,0.92775,0.92787,0,0
1769107500,0.92787,0.92802,0.92786,0.92798,0,0
1769107800,0.92798,0.92799,0.92789,0.92791,0,0
1769108100,0.92791,0.92791,0.92783,0.92785,0,0
1769108400,0.92785,0.92799,0.9278,0.92798,0,0
1769108700,0.92798,0.92808,0.92796,0.928,0,0
1769109000,0.928,0.92804,0.92795,0.92797,0,0
1769109300,0.92797,0.92802,0.92792,0.92797,0,0
1769109600,0.92797,0.92801,0.92783,0.92784,0,0
1769109900,0.92784,0.92787,0.9278,0.92781,0,0
1769110200,0.92781,0.92786,0.92779,0.92784,0,0
1769110500,0.92784,0.92784,0.92776,0.92783,0,0
1769110800,0.92783,0.92786,0.92771,0.92772,0,0
1769111100,0.92772,0.92779,0.92771,0.92774,0,0
1769111400,0.92774,0.92774,0.92761,0.92763,0,0
1769111700,0.92763,0.92787,0.92763,0.92784,0,0
1769112000,0.92784,0.92784,0.92771,0.92775,0,0
1769112300,0.92775,0.92777,0.9277,0.92771,0,0
1769112600,0.92771,0.92773,0.92761,0.92762,0,0
1769112900,0.92762,0.92766,0.92759,0.92763,0,0
1769113200,0.92763,0.92765,0.92757,0.9276,0,0
1769113500,0.9276,0.92761,0.92754,0.92755,0,0
1769113800,0.92755,0.92755,0.92744,0.92749,0,0
1769114100,0.92749,0.92754,0.92748,0.92752,0,0
1769114400,0.92752,0.92759,0.9275,0.92757,0,0
1769114700,0.92757,0.9277,0.92757,0.92769,0,0
1769115000,0.92769,0.92771,0.92763,0.92764,0,0
1769115300,0.92764,0.92767,0.92759,0.92767,0,0
1769115600,0.92767,0.92768,0.92762,0.92762,0,0
1769115900,0.92762,0.92768,0.9275,0.92751,0,0
1769116200,0.92751,0.92762,0.9275,0.9276,0,0
1769116500,0.9276,0.9276,0.9275,0.9275,0,0
1769116800,0.9275,0.92765,0.92747,0.92747,0,0
1769117100,0.92747,0.92761,0.92745,0.92758,0,0
1769117400,0.92758,0.92759,0.92752,0.92752,0,0
1769117700,0.92752,0.92752,0.92748,0.9275,0,0
1769118000,0.9275,0.9275,0.92742,0.92744,0,0
1769118300,0.92744,0.92747,0.92742,0.92744,0,0
1769118600,0.92744,0.92748,0.92741,0.92747,0,0
1769118900,0.92747,0.92748,0.92735,0.92735,0,0
1769119200,0.92735,0.92743,0.92734,0.92738,0,0
1769119500,0.92738,0.92754,0.92733,0.92747,0,0
1769119800,0.92747,0.92753,0.92735,0.92742,0,0
1769120100,0.92742,0.92747,0.92742,0.92746,0,0
1769120400,0.92746,0.92746,0.92733,0.92736,0,0
1769120700,0.92736,0.92741,0.92736,0.92738,0,0
1769121000,0.92738,0.9276,0.92738,0.92756,0,0
1769121300,0.92756,0.9277,0.92756,0.92768,0,0
1769121600,0.92768,0.9278,0.92763,0.92769,0,0
1769121900,0.92769,0.92774,0.92756,0.9276,0,0
1769122200,0.9276,0.9276,0.92752,0.92755,0,0
1769122500,0.92755,0.92757,0.92752,0.92753,0,0
1769122800,0.92753,0.92773,0.92739,0.92773,0,0
1769123100,0.92773,0.92773,0.92741,0.92741,0,0
1769123400,0.92741,0.92745,0.9274,0.92742,0,0
1769123700,0.92742,0.92747,0.92742,0.92745,0,0
1769124000,0.92745,0.9275,0.92736,0.92745,0,0
1769124300,0.92745,0.92749,0.92742,0.92745,0,0
1769124600,0.92745,0.9275,0.92741,0.9275,0,0
1769124900,0.9275,0.92754,0.92744,0.92745,0,0
1769125200,0.92745,0.92752,0.92744,0.92751,0,0
1769125500,0.92751,0.92754,0.92747,0.92753,0,0
1769125800,0.92753,0.92753,0.92746,0.92747,0,0
1769126100,0.92747,0.92748,0.92743,0.92744,0,0
1769126400,0.92744,0.92754,0.92744,0.92752,0,0
1769126700,0.92752,0.92756,0.92751,0.92754,0,0
1769127000,0.92754,0.92758,0.9275,0.92755,0,0
1769127300,0.92755,0.92762,0.92746,0.92748,0,0
1769127600,0.92748,0.9275,0.9274,0.92741,0,0
1769127900,0.92741,0.92744,0.92732,0.92743,0,0
1769128200,0.92743,0.92743,0.92734,0.92737,0,0
1769128500,0.92737,0.9274,0.92734,0.92735,0,0
1769128800,0.92735,0.92739,0.92728,0.92731,0,0
1769129100,0.92731,0.92737,0.92728,0.92737,0,0
1769129400,0.92737,0.92742,0.92732,0.92733,0,0
1769129700,0.92733,0.92741,0.92728,0.9274,0,0
1769130000,0.9274,0.92751,0.92734,0.92743,0,0
1769130300,0.92743,0.92753,0.92742,0.92745,0,0
1769130600,0.92745,0.92753,0.92744,0.92753,0,0
1769130900,0.92753,0.92767,0.92752,0.92756,0,0
1769131200,0.92756,0.9277,0.92755,0.92765,0,0
1769131500,0.92765,0.92769,0.92748,0.92752,0,0
1769131800,0.92752,0.92754,0.92738,0.92741,0,0
1769132100,0.92741,0.92745,0.92737,0.92744,0,0
