time,open,high,low,close,"Pattern Alert",Volume
1769106600,0.87009,0.87009,0.87001,0.87006,0,0
1769106900,0.87006,0.87016,0.87005,0.87016,0,0
1769107200,0.87016,0.87041,0.87015,0.8704,0,0
1769107500,0.8704,0.87047,0.87031,0.87032,0,0
1769107800,0.87032,0.87034,0.87023,0.87033,0,0
1769108100,0.87033,0.87033,0.87023,0.87024,0,0
1769108400,0.87024,0.87034,0.87024,0.87032,0,0
1769108700,0.87032,0.87047,0.8703,0.87042,0,0
1769109000,0.87042,0.87042,0.87026,0.87026,0,0
1769109300,0.87026,0.87036,0.87025,0.87032,0,0
1769109600,0.87032,0.87046,0.87032,0.87044,0,0
1769109900,0.87044,0.87062,0.87044,0.87058,0,0
1769110200,0.87058,0.87061,0.87052,0.87053,0,0
1769110500,0.87053,0.87067,0.87052,0.87065,0,0
1769110800,0.87065,0.87065,0.87057,0.87057,0,0
1769111100,0.87057,0.87057,0.87048,0.87055,0,0
1769111400,0.87055,0.87059,0.87049,0.87051,0,0
1769111700,0.87051,0.87057,0.87046,0.87049,0,0
1769112000,0.87049,0.87056,0.87037,0.87041,0,0
1769112300,0.87041,0.87048,0.87037,0.87041,0,0
1769112600,0.87041,0.87046,0.87028,0.87032,0,0
1769112900,0.87032,0.87037,0.87029,0.87033,0,0
1769113200,0.87033,0.87039,0.87031,0.87031,0,0
1769113500,0.87031,0.87041,0.87031,0.87039,0,0
1769113800,0.87039,0.87046,0.87035,0.87042,0,0
1769114100,0.87042,0.87042,0.87025,0.87029,0,0
1769114400,0.87029,0.8704,0.87028,0.87029,0,0
1769114700,0.87029,0.87052,0.87029,0.87048,0,0
1769115000,0.87048,0.87054,0.87044,0.8705,0,0
1769115300,0.8705,0.8705,0.87033,0.87043,0,0
1769115600,0.87043,0.8705,0.87026,0.87026,0,0
1769115900,0.87026,0.87027,0.8701,0.87012,0,0
1769116200,0.87012,0.87029,0.87008,0.87028,0,0
1769116500,0.87028,0.87028,0.87024,0.87025,0,0
1769116800,0.87025,0.87051,0.87025,0.87041,0,0
1769117100,0.87041,0.87047,0.87034,0.87034,0,0
1769117400,0.87034,0.87038,0.87022,0.87024,0,0
1769117700,0.87024,0.87032,0.8702,0.87032,0,0
1769118000,0.87032,0.87032,0.87025,0.87029,0,0
1769118300,0.87029,0.87036,0.87027,0.87032,0,0
1769118600,0.87032,0.87043,0.8703,0.87043,0,0
1769118900,0.87043,0.8705,0.87039,0.87041,0,0
1769119200,0.87041,0.87042,0.87028,0.8703,0,0
1769119500,0.8703,0.87049,0.87019,0.87047,0,0
1769119800,0.87047,0.87067,0.87027,0.87039,0,0
1769120100,0.87039,0.87054,0.87038,0.87054,0,0
1769120400,0.87054,0.87059,0.87041,0.87044,0,0
1769120700,0.87044,0.8706,0.87043,0.87054,0,0
1769121000,0.87054,0.87054,0.87045,0.87048,0,0
1769121300,0.87048,0.87061,0.87046,0.87058,0,0
1769121600,0.87058,0.87058,0.87047,0.87048,0,0
1769121900,0.87048,0.87055,0.87047,0.87051,0,0
1769122200,0.87051,0.87056,0.8705,0.87055,0,0
1769122500,0.87055,0.87056,0.87047,0.8705,0,0
1769122800,0.8705,0.87061,0.87048,0.87054,0,0
1769123100,0.87054,0.87057,0.87044,0.87046,0,0
1769123400,0.87046,0.87057,0.87046,0.87052,0,0
1769123700,0.87052,0.87059,0.87046,0.87051,0,0
1769124000,0.87051,0.87056,0.8705,0.87052,0,0
1769124300,0.87052,0.87059,0.87052,0.87059,0,0
1769124600,0.87059,0.87069,0.87056,0.87064,0,0
1769124900,0.87064,0.87067,0.8706,0.87063,0,0
1769125200,0.87063,0.87065,0.8706,0.87062,0,0
1769125500,0.87062,0.87066,0.8706,0.87062,0,0
1769125800,0.87062,0.87065,0.87059,0.87061,0,0
1769126100,0.87061,0.87067,0.8706,0.87066,0,0
1769126400,0.87066,0.87067,0.87052,0.8706,0,0
1769126700,0.8706,0.87063,0.87056,0.87057,0,0
1769127000,0.87057,0.87057,0.87045,0.87046,0,0
1769127300,0.87046,0.87049,0.87043,0.87043,0,0
1769127600,0.87043,0.87048,0.87041,0.87047,0,0
1769127900,0.87047,0.87053,0.87046,0.87053,0,0
1769128200,0.87053,0.87054,0.87048,0.87048,0,0
1769128500,0.87048,0.87053,0.87048,0.87048,0,0
1769128800,0.87048,0.87053,0.87047,0.87051,0,0
1769129100,0.87051,0.87054,0.87048,0.87052,0,0
1769129400,0.87052,0.87057,0.87048,0.87049,0,0
1769129700,0.87049,0.87055,0.87044,0.87045,0,0
1769130000,0.87045,0.87045,0.87036,0.87045,0,0
1769130300,0.87045,0.87045,0.87037,0.87037,0,0
1769130600,0.87037,0.87037,0.87031,0.87034,0,0
1769130900,0.87034,0.87044,0.87028,0.87039,0,0
1769131200,0.87039,0.87043,0.87036,0.87042,0,0
1769131500,0.87042,0.87048,0.87038,0.87043,0,0
1769131800,0.87043,0.87044,0.87031,0.87033,0,0
1769132100,0.87033,0.87041,0.87031,0.8704,0,0
1769132400,0.8704,0.87048,0.87036,0.87048,0,0
1769132700,0.87048,0.8705,0.87043,0.87047,0,0
1769133000,0.87047,0.87056,0.87046,0.87047,0,0
1769133300,0.87047,0.8705,0.8704,0.87043,0,0
1769133600,0.87043,0.8705,0.8704,0.8704,0,0
1769133900,0.8704,0.87046,0.87034,0.87046,0,0
1769134200,0.87046,0.87055,0.87046,0.87054,0,0
1769134500,0.87054,0.87061,0.87054,0.87059,0,0
1769134800,0.87059,0.87061,0.87056,0.87057,0,0
1769135100,0.87057,0.87063,0.87057,0.87063,0,0
1769135400,0.87063,0.87063,0.8705,0.87054,0,0
1769135700,0.87054,0.87055,0.87045,0.87051,0,0
1769136000,0.87051,0.87053,0.87045,0.87046,0,0
1769136300,0.87046,0.87047,0.87039,0.87042,0,0
1769136600,0.87042,0.87045,0.87036,0.87038,0,0
1769136900,0.87038,0.87049,0.87034,0.87047,0,0
1769137200,0.87047,0.87051,0.87046,0.87046,0,0
1769137500,0.87046,0.8706,0.87046,0.87056,0,0
1769137800,0.87056,0.87062,0.87054,0.87059,0,0
1769138100,0.87059,0.8706,0.87053,0.87058,0,0
1769138400,0.87058,0.87064,0.87058,0.87061,0,0
1769138700,0.87061,0.87066,0.87059,0.87063,0,0
1769139000,0.87063,0.87065,0.87055,0.87055,0,0
1769139300,0.87055,0.87059,0.87051,0.87059,0,0
1769139600,0.87059,0.8706,0.87052,0.87052,0,0
1769139900,0.87052,0.87054,0.87046,0.87054,0,0
1769140200,0.87054,0.87059,0.87042,0.87042,0,0
1769140500,0.87042,0.87054,0.87042,0.8705,0,0
1769140800,0.8705,0.8705,0.87039,0.87047,0,0
1769141100,0.87047,0.87051,0.8704,0.87048,0,0
1769141400,0.87048,0.87053,0.87046,0.87051,0,0
1769141700,0.87051,0.87054,0.87048,0.87049,0,0
1769142000,0.87049,0.87053,0.87048,0.87051,0,0
1769142300,0.87051,0.87051,0.87049,0.8705,0,0
1769142600,0.8705,0.87054,0.8705,0.8705,0,0
1769142900,0.8705,0.87056,0.87048,0.87051,0,0
1769143200,0.87051,0.87055,0.8705,0.87055,0,0
