time,open,high,low,close,"Pattern Alert",Volume
1768588200,183.424,183.436,183.416,183.435,0,0
1768588500,183.435,183.442,183.412,183.422,0,0
1768588800,183.422,183.425,183.399,183.425,0,0
1768589100,183.425,183.43,183.413,183.418,0,0
1768589400,183.418,183.42,183.391,183.404,0,0
1768589700,183.404,183.419,183.398,183.415,0,0
1768590000,183.415,183.44,183.405,183.408,0,0
1768590300,183.408,183.428,183.408,183.409,0,0
1768590600,183.409,183.412,183.36,183.36,0,0
1768590900,183.36,183.404,183.356,183.404,0,0
1768591200,183.404,183.414,183.395,183.409,0,0
1768591500,183.409,183.41,183.384,183.384,0,0
1768591800,183.384,183.395,183.374,183.377,0,0
1768592100,183.377,183.407,183.369,183.387,0,0
1768592400,183.387,183.388,183.377,183.379,0,0
1768592700,183.379,183.393,183.351,183.361,0,0
1768593000,183.361,183.371,183.351,183.357,0,0
1768593300,183.357,183.366,183.339,183.361,0,0
1768593600,183.361,183.361,183.335,183.359,0,0
1768593900,183.359,183.38,183.357,183.362,0,0
1768594200,183.362,183.365,183.346,183.351,0,0
1768594500,183.351,183.362,183.344,183.353,0,0
1768594800,183.353,183.367,183.351,183.361,0,0
1768595100,183.361,183.361,183.342,183.35,0,0
1768595400,183.35,183.373,183.329,183.36,0,0
1768595700,183.36,183.365,183.347,183.35,0,0
1768596000,183.35,183.35,183.312,183.349,0,0
1768596300,183.349,183.376,183.349,183.376,0,0
1768596600,183.376,183.38,183.36,183.372,0,0
1768596900,183.372,183.378,183.356,183.359,0,0
1768597200,183.359,183.389,183.357,183.387,0,0
1768597500,183.387,183.403,183.377,183.402,0,0
1768597800,183.402,183.42,183.402,183.409,0,0
1768598100,183.409,183.431,183.409,183.426,0,0
1768598400,183.426,183.427,183.4,183.404,0,0
1768598700,183.404,183.404,183.372,183.398,0,0
1768599000,183.398,183.406,183.391,183.392,0,0
1768599300,183.392,183.399,183.389,183.392,0,0
1768599600,183.392,183.405,183.371,183.379,0,0
1768599900,183.379,183.4,183.379,183.391,0,0
1768600200,183.391,183.401,183.342,183.357,0,0
1768600500,183.357,183.385,183.35,183.35,0,0
