time,open,high,low,close,"Pattern Alert",Volume
1770661800,1.19116,1.19131,1.19108,1.1912,0,0
1770662100,1.1912,1.19128,1.19113,1.19128,0,0
1770662400,1.19128,1.19131,1.19113,1.19127,0,0
1770662700,1.19127,1.19135,1.19114,1.19131,0,0
1770663000,1.19131,1.19142,1.19125,1.19125,0,0
1770663300,1.19125,1.1917,1.19125,1.19158,0,0
1770663600,1.19158,1.1916,1.19124,1.19135,0,0
1770663900,1.19135,1.19149,1.19129,1.19129,0,0
1770664200,1.19129,1.19167,1.19129,1.1916,0,0
1770664500,1.1916,1.19178,1.19152,1.1917,0,0
1770664800,1.1917,1.19176,1.19143,1.19146,0,0
1770665100,1.19146,1.19171,1.19145,1.19171,0,0
1770665400,1.19171,1.19208,1.1917,1.19205,0,0
1770665700,1.19205,1.19216,1.192,1.19205,0,0
1770666000,1.19205,1.1922,1.19191,1.19205,0,0
1770666300,1.19205,1.19221,1.19198,1.192,0,0
1770666600,1.192,1.19201,1.19176,1.19197,0,0
1770666900,1.19197,1.19211,1.19191,1.19199,0,0
1770667200,1.19199,1.1921,1.19197,1.19199,0,0
1770667500,1.19199,1.19206,1.19192,1.19197,0,0
1770667800,1.19197,1.19198,1.19177,1.19182,0,0
1770668100,1.19182,1.1919,1.19159,1.1917,0,0
1770668400,1.1917,1.19178,1.19149,1.19156,0,0
1770668700,1.19156,1.19172,1.19153,1.19165,0,0
1770669000,1.19165,1.19186,1.19165,1.19183,0,0
1770669300,1.19183,1.19189,1.19163,1.19183,0,0
1770669600,1.19183,1.19191,1.1918,1.1919,0,0
1770669900,1.1919,1.1919,1.1916,1.1916,0,0
1770670200,1.1916,1.19168,1.19141,1.19143,0,0
1770670500,1.19143,1.19166,1.19141,1.19145,0,0
1770670800,1.19145,1.19148,1.19138,1.19146,0,0
1770671100,1.19146,1.19146,1.19124,1.19125,0,0
1770671400,1.19125,1.19133,1.19119,1.19119,0,0
1770671700,1.19119,1.19136,1.19117,1.19135,0,0
1770672000,1.19135,1.19135,1.19119,1.19124,0,0
1770672300,1.19124,1.19124,1.19109,1.19118,0,0
1770672600,1.19118,1.19128,1.19109,1.19109,0,0
1770672900,1.19109,1.19129,1.19108,1.19129,0,0
1770673200,1.19129,1.1914,1.19125,1.19139,0,0
1770673500,1.19139,1.19154,1.19139,1.1915,0,0
1770673800,1.1915,1.1915,1.19124,1.19135,0,0
1770674100,1.19135,1.19154,1.19132,1.19143,0,0
1770674400,1.19143,1.19143,1.19104,1.19104,0,0
