time,open,high,low,close,"Pattern Alert",Volume
1750626000,1.57583,1.57583,1.57459,1.57483,0,24
1750626300,1.57483,1.57737,1.57479,1.57737,0,217
1750626600,1.57737,1.57771,1.577,1.57759,0,156
1750626900,1.57759,1.57809,1.57725,1.57744,0,155
1750627200,1.57744,1.57755,1.5761,1.57685,0,109
1750627500,1.57685,1.57692,1.57668,1.57687,0,57
1750627800,1.57687,1.57741,1.57663,1.57734,0,104
1750628100,1.57734,1.57753,1.5771,1.57719,0,79
1750628400,1.57719,1.57744,1.57698,1.57743,0,166
1750628700,1.57743,1.57755,1.5772,1.57751,0,44
1750629000,1.57751,1.57796,1.57743,1.57778,0,122
1750629300,1.57778,1.57778,1.57681,1.57713,0,369
1750629600,1.57713,1.58036,1.57709,1.57962,0,1498
1750629900,1.57962,1.57986,1.57786,1.5785,0,1111
1750630200,1.5785,1.5792,1.57831,1.57855,0,985
1750630500,1.57855,1.57918,1.57806,1.57918,0,1873
1750630800,1.57918,1.57939,1.57884,1.57891,0,1362
1750631100,1.57891,1.57966,1.57853,1.57956,0,1171
1750631400,1.57956,1.5796,1.57888,1.57902,0,1292
1750631700,1.57902,1.57926,1.57859,1.57876,0,943
1750632000,1.57876,1.57936,1.57875,1.57936,0,768
1750632300,1.57936,1.5794,1.57882,1.57882,0,613
1750632600,1.57882,1.5793,1.57882,1.57891,0,681
1750632900,1.57891,1.57905,1.57879,1.57888,0,821
1750633200,1.57888,1.57942,1.5786,1.57939,0,1057
1750633500,1.57939,1.57941,1.57892,1.57917,0,782
1750633800,1.57917,1.57968,1.57911,1.57954,0,872
1750634100,1.57954,1.57996,1.57952,1.57984,0,1003
1750634400,1.57984,1.57989,1.57966,1.57981,0,761
1750634700,1.57981,1.58006,1.57966,1.58002,0,588
1750635000,1.58002,1.58067,1.57989,1.58023,0,1036
1750635300,1.58023,1.5809,1.58023,1.58086,0,817
1750635600,1.58086,1.58095,1.58036,1.5804,0,857
1750635900,1.5804,1.58053,1.5799,1.5802,0,1112
1750636200,1.5802,1.58032,1.58008,1.58022,0,1240
1750636500,1.58022,1.58022,1.57974,1.57996,0,1250
1750636800,1.57996,1.58071,1.57986,1.58002,0,1946
1750637100,1.58002,1.58016,1.57961,1.57984,0,1331
1750637400,1.57984,1.58017,1.5796,1.57967,0,1379
1750637700,1.57967,1.57991,1.57949,1.57962,0,1004
1750638000,1.57962,1.57981,1.57933,1.57973,0,1472
1750638300,1.57973,1.58011,1.57964,1.58002,0,1102
1750638600,1.58002,1.58011,1.57956,1.5798,0,1070
1750638900,1.5798,1.58019,1.57968,1.58013,0,1126
