time,open,high,low,close,"Pattern Alert",Volume
1750626300,1.37547,1.37547,1.37409,1.3741,0,19
1750626900,1.3741,1.37543,1.3741,1.375,0,26
1750629300,1.375,1.375,1.37414,1.37414,0,1
1750629600,1.37414,1.37565,1.37414,1.37461,0,497
1750629900,1.37461,1.37487,1.37369,1.37397,0,414
1750630200,1.37397,1.37463,1.37394,1.3744,0,541
1750630500,1.3744,1.37492,1.37429,1.3745,0,868
1750630800,1.3745,1.37465,1.37411,1.37425,0,578
1750631100,1.37425,1.37506,1.37421,1.37503,0,662
1750631400,1.37503,1.37503,1.37452,1.37492,0,788
1750631700,1.37492,1.37495,1.37463,1.37476,0,520
1750632000,1.37476,1.3749,1.37426,1.37436,0,772
1750632300,1.37436,1.37452,1.37434,1.37449,0,320
1750632600,1.37449,1.37481,1.37448,1.37459,0,552
1750632900,1.37459,1.37469,1.37431,1.37441,0,728
1750633200,1.37441,1.37469,1.37418,1.37462,0,920
1750633500,1.37462,1.37479,1.37456,1.37475,0,464
1750633800,1.37475,1.37476,1.37441,1.37455,0,694
1750634100,1.37455,1.37456,1.37415,1.3742,0,685
1750634400,1.3742,1.37436,1.37419,1.37426,0,452
1750634700,1.37426,1.37432,1.37417,1.37424,0,411
1750635000,1.37424,1.37424,1.37377,1.37392,0,614
1750635300,1.37392,1.3742,1.37387,1.37398,0,443
1750635600,1.37398,1.37418,1.3739,1.37403,0,455
1750635900,1.37403,1.37425,1.37394,1.37412,0,333
1750636200,1.37412,1.37412,1.37387,1.3739,0,317
1750636500,1.3739,1.37411,1.37376,1.37406,0,732
1750636800,1.37406,1.3742,1.37373,1.37414,0,1743
1750637100,1.37414,1.37468,1.37414,1.37466,0,1328
1750637400,1.37466,1.37519,1.37466,1.37517,0,857
1750637700,1.37517,1.37535,1.37498,1.37535,0,556
1750638000,1.37535,1.3757,1.3751,1.37516,0,1033
1750638300,1.37516,1.37558,1.37508,1.37547,0,817
1750638600,1.37547,1.37596,1.37547,1.37583,0,705
1750638900,1.37583,1.37589,1.37563,1.3757,0,841
1750639200,1.3757,1.37575,1.37537,1.37561,0,863
1750639500,1.37561,1.37582,1.37545,1.37569,0,1036
1750639800,1.37569,1.37582,1.37539,1.3756,0,1614
1750640100,1.3756,1.37567,1.3751,1.3751,0,785
1750640400,1.3751,1.37532,1.37489,1.37504,0,1136
1750640700,1.37504,1.37546,1.37496,1.37537,0,858
1750641000,1.37537,1.37578,1.37533,1.37559,0,1060
1750641300,1.37559,1.37589,1.37556,1.37587,0,959
1750641600,1.37587,1.37617,1.37584,1.37609,0,758
1750641900,1.37609,1.37658,1.37604,1.37647,0,850
1750642200,1.37647,1.37654,1.37608,1.37619,0,989
1750642500,1.37619,1.37638,1.37608,1.3761,0,977
1750642800,1.3761,1.37611,1.37586,1.37586,0,949
1750643100,1.37586,1.37602,1.37568,1.37585,0,654
1750643400,1.37585,1.37601,1.37575,1.37599,0,1028
1750643700,1.37599,1.37634,1.37587,1.3759,0,1263
1750644000,1.3759,1.3759,1.37541,1.37544,0,774
1750644300,1.37544,1.37563,1.37516,1.37561,0,545
