time,open,high,low,close,"Pattern Alert",Volume
1750626000,146.644,146.655,146.626,146.655,0,11
1750626300,146.655,146.656,146.604,146.604,0,43
1750626600,146.604,146.62,146.536,146.606,0,172
1750626900,146.606,146.676,146.568,146.568,0,137
1750627200,146.568,146.612,146.568,146.609,0,24
1750627500,146.609,146.609,146.605,146.605,0,3
1750627800,146.605,146.605,146.568,146.587,0,3
1750628400,146.587,146.6,146.555,146.599,0,152
1750628700,146.599,146.6,146.537,146.546,0,203
1750629000,146.546,146.57,146.522,146.524,0,305
1750629300,146.524,146.524,146.51,146.511,0,32
1750629600,146.511,146.565,146.279,146.416,0,1171
1750629900,146.416,146.554,146.339,146.542,0,609
1750630200,146.542,146.547,146.432,146.506,0,910
1750630500,146.506,146.575,146.435,146.441,0,1582
1750630800,146.441,146.46,146.341,146.417,0,1568
1750631100,146.417,146.489,146.41,146.416,0,1497
1750631400,146.416,146.44,146.364,146.429,0,1655
1750631700,146.429,146.48,146.394,146.452,0,1292
1750632000,146.452,146.453,146.396,146.398,0,1193
1750632300,146.398,146.408,146.368,146.387,0,751
1750632600,146.387,146.393,146.354,146.384,0,581
1750632900,146.384,146.401,146.355,146.36,0,406
1750633200,146.36,146.395,146.346,146.364,0,863
1750633500,146.364,146.422,146.357,146.37,0,1026
1750633800,146.37,146.374,146.28,146.301,0,1394
1750634100,146.301,146.311,146.259,146.281,0,1078
1750634400,146.281,146.31,146.28,146.292,0,1029
1750634700,146.292,146.311,146.237,146.24,0,707
1750635000,146.24,146.274,146.234,146.248,0,1086
1750635300,146.248,146.265,146.225,146.226,0,769
1750635600,146.226,146.249,146.223,146.243,0,696
1750635900,146.243,146.263,146.222,146.243,0,820
1750636200,146.243,146.262,146.203,146.204,0,695
1750636500,146.204,146.246,146.204,146.207,0,816
1750636800,146.207,146.23,146.14,146.216,0,2273
1750637100,146.216,146.307,146.192,146.305,0,1909
1750637400,146.305,146.404,146.28,146.4,0,1814
1750637700,146.4,146.441,146.376,146.441,0,1346
1750638000,146.441,146.492,146.399,146.415,0,1848
1750638300,146.415,146.444,146.405,146.443,0,1133
1750638600,146.443,146.518,146.427,146.463,0,1468
1750638900,146.463,146.466,146.393,146.401,0,1182
1750639200,146.401,146.413,146.327,146.377,0,1280
1750639500,146.377,146.461,146.376,146.428,0,1389
1750639800,146.428,146.462,146.365,146.439,0,2260
1750640100,146.439,146.501,146.415,146.45,0,1513
1750640400,146.45,146.524,146.423,146.472,0,1708
1750640700,146.472,146.542,146.459,146.526,0,1612
1750641000,146.526,146.563,146.487,146.489,0,1526
1750641300,146.489,146.565,146.486,146.532,1,1319
1750641600,146.532,146.609,146.529,146.608,0,1315
1750641900,146.608,146.74,146.599,146.714,0,1478
1750642200,146.714,146.717,146.651,146.715,0,1459
1750642500,146.715,146.76,146.703,146.706,0,1570
1750642800,146.706,146.743,146.682,146.717,0,1272
1750643100,146.717,146.744,146.679,146.702,0,1186
1750643400,146.702,146.715,146.641,146.66,0,1076
1750643700,146.66,146.705,146.655,146.666,0,1151
1750644000,146.666,146.697,146.547,146.555,0,1315
1750644300,146.555,146.558,146.508,146.529,0,1132
1750644600,146.529,146.534,146.461,146.489,0,1132
1750644900,146.489,146.493,146.407,146.447,0,1046
1750645200,146.447,146.457,146.402,146.405,0,817
1750645500,146.405,146.417,146.363,146.39,0,864
1750645800,146.39,146.464,146.379,146.463,0,971
1750646100,146.463,146.504,146.449,146.502,0,1024
1750646400,146.502,146.506,146.47,146.483,0,706
