time,open,high,low,close,"Pattern Alert",Volume
1768847400,2.00015,2.00025,2.00008,2.0001,0,0
1768847700,2.0001,2.00013,1.99992,2,0,0
1768848000,2,2.00004,1.9999,1.99993,0,0
1768848300,1.99993,1.99999,1.99986,1.9999,0,0
1768848600,1.9999,2.00017,1.9999,2.00003,0,0
1768848900,2.00003,2.00004,1.99986,1.99992,0,0
1768849200,1.99992,1.99992,1.99969,1.99972,0,0
1768849500,1.99972,1.99974,1.99951,1.99962,0,0
1768849800,1.99962,2.00004,1.99962,2.00004,0,0
1768850100,2.00004,2.00007,1.99997,2.00006,0,0
1768850400,2.00006,2.00006,1.99991,1.99992,0,0
1768850700,1.99992,1.99996,1.99979,1.9998,0,0
1768851000,1.9998,1.9998,1.99961,1.99962,0,0
1768851300,1.99962,1.99962,1.99957,1.99958,0,0
1768851600,1.99958,1.9996,1.99946,1.99956,0,0
1768851900,1.99956,1.99959,1.99953,1.99958,0,0
1768852200,1.99958,1.99961,1.99954,1.9996,0,0
1768852500,1.9996,1.99964,1.99958,1.99959,0,0
1768852800,1.99959,1.99973,1.99956,1.99961,0,0
1768853100,1.99961,1.99998,1.99959,1.99997,0,0
1768853400,1.99997,1.99998,1.99968,1.99968,0,0
1768853700,1.99968,1.99976,1.99961,1.9997,0,0
1768854000,1.9997,1.9997,1.99957,1.99961,0,0
1768854300,1.99961,1.99961,1.99947,1.99956,0,0
1768854600,1.99956,1.99962,1.99953,1.99957,0,0
1768854900,1.99957,1.99961,1.99955,1.99959,0,0
1768855200,1.99959,1.99962,1.99953,1.99959,0,0
1768855500,1.99959,1.99977,1.99958,1.99964,0,0
1768855800,1.99964,1.9997,1.99962,1.99966,0,0
1768856100,1.99966,1.99966,1.99942,1.99962,0,0
1768856400,1.99962,1.99977,1.99955,1.99968,0,0
1768856700,1.99968,1.99975,1.99965,1.99973,0,0
1768857000,1.99973,1.99976,1.99962,1.99975,0,0
1768857300,1.99975,1.99986,1.99974,1.99985,0,0
1768857600,1.99985,1.99992,1.99967,1.99967,0,0
1768857900,1.99967,1.99996,1.99967,1.99972,0,0
1768858200,1.99972,1.99981,1.99946,1.99958,0,0
1768858500,1.99958,1.99975,1.99952,1.9996,0,0
1768858800,1.9996,1.9997,1.99944,1.99967,0,0
1768859100,1.99967,1.99975,1.99931,1.99943,0,0
1768859400,1.99943,1.9996,1.99918,1.99921,0,0
1768859700,1.99921,1.99926,1.99904,1.99911,0,0
1768860000,1.99911,1.99925,1.99836,1.99925,0,0
1768860300,1.99925,1.99938,1.99913,1.99929,0,0
1768860600,1.99929,1.99967,1.99929,1.99959,0,0
1768860900,1.99959,1.99985,1.99867,1.99867,0,0
1768861200,1.99867,1.999,1.99849,1.99897,0,0
1768861500,1.99897,1.99924,1.99875,1.99908,0,0
1768861800,1.99908,1.99941,1.99901,1.99939,0,0
1768862100,1.99939,1.99955,1.999,1.99931,0,0
1768862400,1.99931,1.99952,1.99928,1.99937,0,0
1768862700,1.99937,1.99943,1.99905,1.99913,0,0
1768863000,1.99913,1.99925,1.99882,1.99887,0,0
1768863300,1.99887,1.99919,1.99833,1.99865,0,0
1768863600,1.99865,1.99952,1.99865,1.99945,0,0
1768863900,1.99945,1.9996,1.99939,1.99942,0,0
1768864200,1.99942,1.99972,1.99942,1.99964,0,0
1768864500,1.99964,1.99972,1.99953,1.99958,0,0
1768864800,1.99958,1.99962,1.99932,1.99935,0,0
1768865100,1.99935,1.99961,1.99934,1.99942,0,0
1768865400,1.99942,1.99947,1.99913,1.99914,0,0
1768865700,1.99914,1.99956,1.99913,1.99952,0,0
1768866000,1.99952,1.99956,1.99935,1.99936,0,0
1768866300,1.99936,1.99964,1.99936,1.99961,0,0
1768866600,1.99961,1.99982,1.99961,1.99969,0,0
1768866900,1.99969,2,1.99957,1.99998,0,0
1768867200,1.99998,1.99998,1.99942,1.99948,0,0
1768867500,1.99948,1.99962,1.99933,1.99949,0,0
1768867800,1.99949,1.99952,1.99914,1.99923,0,0
1768868100,1.99923,1.9995,1.99913,1.99942,0,0
1768868400,1.99942,1.99989,1.99942,1.99967,0,0
1768868700,1.99967,1.99991,1.99965,1.99978,0,0
1768869000,1.99978,1.99986,1.99915,1.99915,0,0
1768869300,1.99915,1.99915,1.99864,1.99888,0,0
1768869600,1.99888,1.99888,1.99824,1.99828,0,0
1768869900,1.99828,1.99872,1.99826,1.9987,0,0
1768870200,1.9987,1.99949,1.9986,1.99949,0,0
1768870500,1.99949,1.99994,1.99877,1.99967,0,0
1768870800,1.99967,2.00051,1.99925,2.00039,0,0
1768871100,2.00039,2.00044,1.99955,2.00012,0,0
1768871400,2.00012,2.00039,1.99996,2.00023,0,0
1768871700,2.00023,2.00037,1.99981,1.99989,0,0
1768872000,1.99989,2.00007,1.99961,2,0,0
1768872300,2,2.00013,1.99929,1.99961,0,0
1768872600,1.99961,2.00021,1.9996,1.99989,0,0
1768872900,1.99989,1.9999,1.99952,1.99984,0,0
1768873200,1.99984,1.99993,1.99962,1.99982,0,0
1768873500,1.99982,1.99986,1.99906,1.99938,0,0
1768873800,1.99938,2.00005,1.99926,1.99985,0,0
1768874100,1.99985,2.0002,1.99982,2.00004,0,0
1768874400,2.00004,2.00029,1.99958,2.00028,0,0
1768874700,2.00028,2.00033,1.99958,1.99998,0,0
1768875000,1.99998,2.00013,1.99979,1.99987,0,0
1768875300,1.99987,2.00006,1.9997,1.99981,0,0
1768875600,1.99981,2.0004,1.99971,1.99986,0,0
1768875900,1.99986,2.00003,1.99974,1.99976,0,0
1768876200,1.99976,1.99982,1.9995,1.99954,0,0
1768876500,1.99954,1.99961,1.99908,1.99915,0,0
1768876800,1.99915,1.99929,1.99914,1.99926,0,0
1768877100,1.99926,1.99926,1.99856,1.9986,0,0
1768877400,1.9986,1.99885,1.99858,1.99873,0,0
1768877700,1.99873,1.99879,1.99865,1.99875,0,0
1768878000,1.99875,1.99875,1.99753,1.9976,0,0
1768878300,1.9976,1.99782,1.99726,1.99739,0,0
1768878600,1.99739,1.9975,1.99711,1.99713,0,0
1768878900,1.99713,1.99745,1.99675,1.99682,0,0
1768879200,1.99682,1.9975,1.99681,1.99748,0,0
1768879500,1.99748,1.99774,1.99734,1.99774,0,0
1768879800,1.99774,1.99798,1.99745,1.99751,0,0
