time,open,high,low,close,"Pattern Alert",Volume
1769452200,1.87723,1.87732,1.8768,1.87723,0,0
1769452500,1.87723,1.87725,1.87679,1.87687,0,0
1769452800,1.87687,1.87706,1.87599,1.87603,0,0
1769453100,1.87603,1.87623,1.87567,1.87591,0,0
1769453400,1.87591,1.87606,1.87556,1.87563,0,0
1769453700,1.87563,1.87595,1.87556,1.87585,0,0
1769454000,1.87585,1.87605,1.87559,1.87591,0,0
1769454300,1.87591,1.87606,1.87521,1.87556,0,0
1769454600,1.87556,1.87587,1.87534,1.8758,0,0
1769454900,1.8758,1.87592,1.87555,1.87572,0,0
1769455200,1.87572,1.87582,1.87562,1.87582,0,0
1769455500,1.87582,1.87594,1.87558,1.87585,0,0
1769455800,1.87585,1.87614,1.8758,1.87586,0,0
1769456100,1.87586,1.87625,1.87578,1.87618,0,0
1769456400,1.87618,1.87644,1.876,1.87644,0,0
1769456700,1.87644,1.87652,1.87622,1.87631,0,0
1769457000,1.87631,1.87669,1.87618,1.8765,0,0
1769457300,1.8765,1.87659,1.87612,1.87655,0,0
1769457600,1.87655,1.87683,1.87623,1.87633,0,0
1769457900,1.87633,1.87656,1.87631,1.87655,0,0
1769458200,1.87655,1.87676,1.87648,1.87668,0,0
1769458500,1.87668,1.87688,1.87639,1.8766,0,0
1769458800,1.8766,1.87672,1.87628,1.87628,0,0
1769459100,1.87628,1.8764,1.87623,1.87636,0,0
1769459400,1.87636,1.87636,1.87577,1.87581,0,0
1769459700,1.87581,1.87627,1.87581,1.87611,0,0
1769460000,1.87611,1.87621,1.87595,1.87607,0,0
1769460300,1.87607,1.87649,1.87607,1.87642,0,0
1769460600,1.87642,1.87651,1.87591,1.87594,0,0
1769460900,1.87594,1.87599,1.87558,1.87581,0,0
1769461200,1.87581,1.87605,1.87556,1.87605,0,0
1769461500,1.87605,1.87644,1.876,1.87632,0,0
1769461800,1.87632,1.87633,1.87596,1.87605,0,0
1769462100,1.87605,1.87606,1.87583,1.87596,0,0
1769462400,1.87596,1.87597,1.8755,1.87557,0,0
1769462700,1.87557,1.87563,1.8753,1.87553,0,0
1769463000,1.87553,1.87567,1.87535,1.87541,0,0
