time,open,high,low,close,"Pattern Alert",Volume
1772217000,1.03513,1.0353,1.03508,1.03521,0,0
1772217300,1.03521,1.0353,1.03513,1.03513,0,0
1772217600,1.03513,1.03521,1.03495,1.03497,0,0
1772217900,1.03497,1.03504,1.0347,1.03471,0,0
1772218200,1.03471,1.03486,1.03471,1.03479,0,0
1772218500,1.03479,1.03484,1.03463,1.03465,0,0
1772218800,1.03465,1.03472,1.03456,1.03458,0,0
1772219100,1.03458,1.03473,1.03451,1.03455,0,0
1772219400,1.03455,1.0347,1.03453,1.03466,0,0
1772219700,1.03466,1.03481,1.03463,1.03469,0,0
1772220000,1.03469,1.03486,1.03468,1.03479,0,0
1772220300,1.03479,1.03498,1.03479,1.03497,0,0
1772220600,1.03497,1.03523,1.03491,1.03518,0,0
1772220900,1.03518,1.03533,1.03514,1.0353,0,0
1772221200,1.0353,1.0353,1.03516,1.03521,0,0
1772221500,1.03521,1.0353,1.03514,1.03521,0,0
1772221800,1.03521,1.03533,1.03513,1.03529,0,0
1772222100,1.03529,1.03556,1.03526,1.03552,0,0
1772222400,1.03552,1.03557,1.03544,1.03549,0,0
1772222700,1.03549,1.03556,1.03545,1.03549,0,0
1772223000,1.03549,1.03563,1.03547,1.03557,0,0
1772223300,1.03557,1.03574,1.03557,1.03564,0,0
1772223600,1.03564,1.03607,1.03563,1.03597,0,0
1772223900,1.03597,1.03605,1.0359,1.03596,0,0
1772224200,1.03596,1.03607,1.03585,1.03587,0,0
1772224500,1.03587,1.03594,1.03562,1.03563,0,0
1772224800,1.03563,1.036,1.03559,1.03599,0,0
1772225100,1.03599,1.03601,1.03585,1.03587,0,0
1772225400,1.03587,1.03591,1.0358,1.03587,0,0
1772225700,1.03587,1.03614,1.03583,1.03604,0,0
1772226000,1.03604,1.03611,1.03588,1.03607,0,0
1772226300,1.03607,1.03607,1.0358,1.03585,0,0
1772226600,1.03585,1.0359,1.03578,1.03589,0,0
1772226900,1.03589,1.03592,1.03571,1.03571,0,0
1772227200,1.03571,1.03576,1.03567,1.0357,0,0
1772227500,1.0357,1.03578,1.03568,1.03573,0,0
1772227800,1.03573,1.03608,1.0357,1.03608,0,0
1772228100,1.03608,1.03608,1.03593,1.03605,0,0
1772228400,1.03605,1.03613,1.03597,1.03597,0,0
1772228700,1.03597,1.03609,1.03572,1.03596,0,0
1772229000,1.03596,1.03728,1.03593,1.03713,0,0
1772229300,1.03713,1.03713,1.0368,1.03696,0,0
