time,open,high,low,close,"Pattern Alert",Volume
1769193000,212.292,212.49,212.292,212.417,0,0
1769193300,212.417,212.512,212.406,212.429,0,0
1769193600,212.429,212.484,212.352,212.356,0,0
1769193900,212.356,212.482,212.349,212.383,0,0
1769194200,212.383,212.47,212.373,212.403,0,0
1769194500,212.403,212.487,212.4,212.464,0,0
1769194800,212.464,212.515,212.335,212.369,0,0
1769195100,212.369,212.427,212.319,212.421,0,0
1769195400,212.421,212.428,212.275,212.306,0,0
1769195700,212.306,212.376,212.291,212.33,0,0
1769196000,212.33,212.616,212.324,212.597,0,0
1769196300,212.597,212.597,212.497,212.507,0,0
1769196600,212.507,212.536,212.459,212.476,0,0
1769196900,212.476,212.505,212.42,212.43,0,0
1769197200,212.43,212.461,212.386,212.394,0,0
1769197500,212.394,212.409,212.274,212.309,0,0
1769197800,212.309,212.311,212.094,212.21,0,0
1769198100,212.21,212.403,212.166,212.373,0,0
1769198400,212.373,212.476,212.327,212.402,0,0
1769198700,212.402,212.422,212.303,212.317,0,0
1769199000,212.317,212.389,212.306,212.379,0,0
1769199300,212.379,212.405,212.352,212.356,0,0
1769199600,212.356,212.422,212.352,212.405,0,0
1769199900,212.405,212.426,212.364,212.416,0,0
1769200200,212.416,212.437,212.351,212.397,0,0
1769200500,212.397,212.446,212.315,212.334,0,0
1769200800,212.334,212.367,212.292,212.359,0,0
1769201100,212.359,212.422,212.318,212.419,0,0
1769201400,212.419,212.419,212.342,212.388,0,0
1769201700,212.388,212.513,212.354,212.475,0,0
1769202000,212.475,212.551,212.433,212.44,0,0
1769202300,212.44,212.492,212.42,212.426,0,0
1769202600,212.426,212.485,212.312,212.376,0,0
1769202900,212.376,212.405,212.333,212.398,0,0
1769203200,212.398,212.398,212.351,212.365,0,0
1769203500,212.365,212.424,212.338,212.404,0,0
1769203800,212.404,212.477,212.396,212.423,0,0
1769204100,212.423,212.461,212.378,212.451,0,0
1769204400,212.451,212.454,212.366,212.366,0,0
1769204700,212.366,212.474,212.359,212.431,0,0
1769205000,212.431,212.507,212.415,212.45,0,0
1769205300,212.45,212.538,212.45,212.452,0,0
