time,open,high,low,close,"Pattern Alert",Volume
1768193100,1.38982,1.38983,1.38975,1.38976,0,0
1768193400,1.38976,1.38977,1.38969,1.38973,0,0
1768193700,1.38973,1.38979,1.3896,1.3896,0,0
1768194000,1.3896,1.3897,1.38951,1.38952,0,0
1768194300,1.38952,1.38966,1.38952,1.38952,0,0
1768194600,1.38952,1.38952,1.38935,1.38939,0,0
1768194900,1.38939,1.38941,1.38929,1.3893,0,0
1768195200,1.3893,1.38942,1.38929,1.38941,0,0
1768195500,1.38941,1.38942,1.38922,1.38925,0,0
1768195800,1.38925,1.38927,1.38892,1.38903,0,0
1768196100,1.38903,1.3892,1.38902,1.38911,0,0
1768196400,1.38911,1.38918,1.38904,1.38904,0,0
1768196700,1.38904,1.38913,1.38899,1.38906,0,0
1768197000,1.38906,1.38907,1.38887,1.3889,0,0
1768197300,1.3889,1.38904,1.38884,1.38903,0,0
1768197600,1.38903,1.38936,1.38903,1.38934,0,0
1768197900,1.38934,1.38935,1.38923,1.38929,0,0
1768198200,1.38929,1.38933,1.38921,1.38927,0,0
1768198500,1.38927,1.38934,1.38923,1.38932,0,0
1768198800,1.38932,1.38933,1.38921,1.38921,0,0
1768199100,1.38921,1.38921,1.38892,1.38902,0,0
1768199400,1.38902,1.38913,1.38894,1.38912,0,0
1768199700,1.38912,1.38925,1.389,1.3892,0,0
1768200000,1.3892,1.38922,1.389,1.38912,0,0
1768200300,1.38912,1.38916,1.38894,1.38914,0,0
1768200600,1.38914,1.38915,1.38876,1.38881,0,0
1768200900,1.38881,1.38913,1.38881,1.38913,0,0
1768201200,1.38913,1.38932,1.38907,1.38912,0,0
1768201500,1.38912,1.38912,1.38853,1.38853,0,0
1768201800,1.38853,1.38853,1.38836,1.38841,0,0
1768202100,1.38841,1.38848,1.38825,1.38844,0,0
1768202400,1.38844,1.38845,1.38804,1.38805,0,0
1768202700,1.38805,1.38806,1.38784,1.38792,0,0
1768203000,1.38792,1.38819,1.38791,1.3881,0,0
1768203300,1.3881,1.38819,1.38768,1.38777,0,0
1768203600,1.38777,1.38816,1.38777,1.38789,0,0
1768203900,1.38789,1.38811,1.38788,1.38797,0,0
1768204200,1.38797,1.38813,1.38778,1.38791,0,0
1768204500,1.38791,1.38791,1.3876,1.38769,0,0
1768204800,1.38769,1.3878,1.38719,1.38722,0,0
1768205100,1.38722,1.38743,1.38708,1.38708,0,0
1768205400,1.38708,1.38767,1.38698,1.38764,0,0
1768205700,1.38764,1.38765,1.3874,1.38744,0,0
1768206000,1.38744,1.38774,1.38734,1.38753,0,0
1768206300,1.38753,1.38754,1.38707,1.38713,0,0
1768206600,1.38713,1.38713,1.38673,1.38679,0,0
1768206900,1.38679,1.38701,1.38678,1.38698,0,0
1768207200,1.38698,1.38715,1.38682,1.38713,0,0
1768207500,1.38713,1.38723,1.38699,1.38714,0,0
1768207800,1.38714,1.38714,1.38672,1.38709,0,0
1768208100,1.38709,1.38725,1.38697,1.38723,0,0
1768208400,1.38723,1.38765,1.38723,1.38764,0,0
1768208700,1.38764,1.38765,1.38729,1.38743,0,0
1768209000,1.38743,1.38772,1.38741,1.38763,0,0
1768209300,1.38763,1.38772,1.38731,1.38735,0,0
1768209600,1.38735,1.38769,1.3873,1.38752,0,0
1768209900,1.38752,1.38764,1.38737,1.38744,0,0
1768210200,1.38744,1.38763,1.38742,1.38761,0,0
1768210500,1.38761,1.38812,1.38761,1.38812,0,0
1768210800,1.38812,1.38812,1.38782,1.38785,0,0
1768211100,1.38785,1.38797,1.38773,1.38774,0,0
1768211400,1.38774,1.388,1.38774,1.38799,0,0
1768211700,1.38799,1.38812,1.38787,1.38801,0,0
1768212000,1.38801,1.38823,1.38776,1.38805,0,0
