time,open,high,low,close,"Pattern Alert",Volume
1772044200,0.77256,0.77259,0.77239,0.77252,0,0
1772044500,0.77252,0.77252,0.77243,0.77246,0,0
1772044800,0.77246,0.77258,0.77242,0.77257,0,0
1772045100,0.77257,0.77263,0.77252,0.77261,0,0
1772045400,0.77261,0.77271,0.77257,0.77265,0,0
1772045700,0.77265,0.77281,0.77256,0.7728,0,0
1772046000,0.7728,0.77286,0.77273,0.77282,0,0
1772046300,0.77282,0.77293,0.77265,0.77265,0,0
1772046600,0.77265,0.77272,0.77253,0.77257,0,0
1772046900,0.77257,0.77272,0.77257,0.77269,0,0
1772047200,0.77269,0.77283,0.77269,0.7728,0,0
1772047500,0.7728,0.77297,0.77279,0.77291,0,0
1772047800,0.77291,0.77296,0.77288,0.77293,0,0
1772048100,0.77293,0.77303,0.77293,0.77301,0,0
1772048400,0.77301,0.77308,0.77289,0.77289,0,0
1772048700,0.77289,0.77289,0.77275,0.77283,0,0
1772049000,0.77283,0.77284,0.77276,0.77283,0,0
1772049300,0.77283,0.77291,0.77273,0.77289,0,0
1772049600,0.77289,0.7729,0.77278,0.77279,0,0
1772049900,0.77279,0.77283,0.77271,0.7728,0,0
1772050200,0.7728,0.77294,0.77278,0.77291,0,0
1772050500,0.77291,0.77291,0.77274,0.77275,0,0
1772050800,0.77275,0.77285,0.77273,0.77281,0,0
1772051100,0.77281,0.77297,0.77276,0.77297,0,0
1772051400,0.77297,0.773,0.77267,0.77269,0,0
1772051700,0.77269,0.7728,0.77269,0.77274,0,0
1772052000,0.77274,0.77289,0.77274,0.77282,0,0
1772052300,0.77282,0.77288,0.77279,0.7728,0,0
1772052600,0.7728,0.77291,0.77276,0.7729,0,0
1772052900,0.7729,0.77302,0.77288,0.77292,0,0
1772053200,0.77292,0.77299,0.77284,0.77284,0,0
1772053500,0.77284,0.77297,0.77281,0.77296,0,0
1772053800,0.77296,0.77303,0.77296,0.773,0,0
1772054100,0.773,0.77308,0.77298,0.77308,0,0
1772054400,0.77308,0.77318,0.77308,0.77313,0,0
1772054700,0.77313,0.77314,0.77301,0.77301,0,0
1772055000,0.77301,0.77301,0.77288,0.77297,0,0
1772055300,0.77297,0.77297,0.77285,0.77285,0,0
1772055600,0.77285,0.77291,0.77276,0.77276,0,0
1772055900,0.77276,0.77296,0.77263,0.77291,0,0
1772056200,0.77291,0.77298,0.77284,0.77285,0,0
1772056500,0.77285,0.77285,0.77257,0.77259,0,0
1772056800,0.77259,0.77259,0.77221,0.77226,0,0
1772057100,0.77226,0.77235,0.77188,0.77225,0,0
1772057400,0.77225,0.77235,0.77168,0.77215,0,0
1772057700,0.77215,0.77222,0.77207,0.77217,0,0
1772058000,0.77217,0.77231,0.77214,0.77231,0,0
1772058300,0.77231,0.77232,0.77218,0.77226,0,0
