time,open,high,low,close,"Pattern Alert",Volume
1772130600,156.386,156.43,156.337,156.35,0,0
1772130900,156.35,156.362,156.315,156.332,0,0
1772131200,156.332,156.349,156.294,156.301,0,0
1772131500,156.301,156.413,156.29,156.41,0,0
1772131800,156.41,156.413,156.389,156.392,0,0
1772132100,156.392,156.393,156.366,156.385,0,0
1772132400,156.385,156.388,156.327,156.333,0,0
1772132700,156.333,156.352,156.328,156.342,0,0
1772133000,156.342,156.353,156.336,156.349,0,0
1772133300,156.349,156.351,156.293,156.309,0,0
1772133600,156.309,156.309,156.279,156.29,0,0
1772133900,156.29,156.304,156.271,156.272,0,0
1772134200,156.272,156.288,156.265,156.266,0,0
1772134500,156.266,156.27,156.221,156.242,0,0
1772134800,156.242,156.248,156.229,156.23,0,0
1772135100,156.23,156.23,156.216,156.218,0,0
1772135400,156.218,156.218,156.165,156.179,0,0
1772135700,156.179,156.18,156.114,156.129,0,0
1772136000,156.129,156.146,156.104,156.133,0,0
1772136300,156.133,156.134,156.091,156.106,0,0
1772136600,156.106,156.121,156.084,156.117,0,0
1772136900,156.117,156.144,156.116,156.131,0,0
1772137200,156.131,156.133,156.094,156.096,0,0
1772137500,156.096,156.1,156.092,156.095,0,0
1772137800,156.095,156.113,156.088,156.112,0,0
1772138100,156.112,156.114,156.099,156.101,0,0
1772138400,156.101,156.101,156.063,156.072,0,0
1772138700,156.072,156.097,156.072,156.078,0,0
1772139000,156.078,156.09,156.065,156.076,0,0
1772139300,156.076,156.128,156.071,156.127,0,0
1772139600,156.127,156.138,156.114,156.127,0,0
1772139900,156.127,156.148,156.108,156.126,0,0
1772140200,156.126,156.142,156.126,156.136,0,0
1772140500,156.136,156.138,156.121,156.127,0,0
1772140800,156.127,156.139,156.124,156.134,0,0
1772141100,156.134,156.135,156.101,156.108,0,0
1772141400,156.108,156.111,156.074,156.075,0,0
1772141700,156.075,156.076,156.06,156.062,0,0
1772142000,156.062,156.082,156.055,156.082,0,0
1772142300,156.082,156.123,156.081,156.117,0,0
1772142600,156.117,156.118,156.09,156.093,0,0
1772142900,156.093,156.125,156.088,156.106,0,0
1772143200,156.106,156.134,156.084,156.134,0,0
1772143500,156.134,156.136,156.114,156.117,0,0
1772143800,156.117,156.118,156.036,156.056,0,0
1772144100,156.056,156.062,156.041,156.047,0,0
1772144400,156.047,156.052,156.045,156.05,0,0
1772144700,156.05,156.065,156.045,156.051,0,0
1772145000,156.051,156.054,156.045,156.049,0,0
1772145300,156.049,156.067,156.036,156.064,0,0
1772145600,156.064,156.084,156.061,156.082,0,0
1772145900,156.082,156.087,156.068,156.08,0,0
1772146200,156.08,156.085,156.076,156.082,0,0
1772146500,156.082,156.085,156.079,156.083,0,0
1772146800,156.083,156.1,155.994,155.994,0,0
1772147100,155.994,155.999,155.96,155.964,0,0
1772147400,155.964,156.009,155.938,155.993,0,0
1772147700,155.993,156.005,155.982,156.005,0,0
1772148000,156.005,156.038,155.988,156.037,0,0
1772148300,156.037,156.04,156.008,156.008,0,0
1772148600,156.008,156.008,155.911,155.952,0,0
1772148900,155.952,155.973,155.869,155.869,0,0
1772149200,155.869,155.892,155.867,155.872,0,0
1772149500,155.872,155.928,155.868,155.882,0,0
1772149800,155.882,155.915,155.864,155.875,0,0
1772150100,155.875,155.878,155.831,155.859,0,0
1772150400,155.859,155.938,155.856,155.906,0,0
1772150700,155.906,155.967,155.903,155.966,0,0
1772151000,155.966,155.969,155.868,155.877,0,0
1772151300,155.877,155.89,155.806,155.832,0,0
1772151600,155.832,155.844,155.768,155.78,0,0
1772151900,155.78,155.797,155.758,155.79,0,0
1772152200,155.79,155.794,155.701,155.752,0,0
1772152500,155.752,155.827,155.723,155.763,0,0
1772152800,155.763,155.768,155.67,155.751,0,0
1772153100,155.751,155.832,155.734,155.763,0,0
1772153400,155.763,155.889,155.744,155.753,0,0
1772153700,155.753,155.888,155.7,155.888,0,0
1772154000,155.888,155.901,155.778,155.778,0,0
1772154300,155.778,155.806,155.742,155.768,0,0
1772154600,155.768,155.773,155.707,155.771,0,0
1772154900,155.771,155.912,155.758,155.838,0,0
1772155200,155.838,155.899,155.816,155.873,0,0
1772155500,155.873,155.914,155.827,155.887,0,0
1772155800,155.887,155.932,155.854,155.855,0,0
1772156100,155.855,155.871,155.835,155.865,0,0
1772156400,155.865,155.899,155.861,155.881,0,0
1772156700,155.881,155.935,155.872,155.908,0,0
1772157000,155.908,155.977,155.903,155.959,0,0
1772157300,155.959,155.984,155.935,155.98,0,0
1772157600,155.98,155.98,155.915,155.951,0,0
1772157900,155.951,155.976,155.923,155.926,0,0
1772158200,155.926,155.936,155.853,155.864,0,0
1772158500,155.864,155.897,155.854,155.897,0,0
1772158800,155.897,155.903,155.855,155.872,0,0
1772159100,155.872,155.877,155.842,155.842,0,0
1772159400,155.842,155.848,155.8,155.803,0,0
1772159700,155.803,155.813,155.77,155.812,0,0
1772160000,155.812,155.855,155.808,155.836,0,0
1772160300,155.836,155.853,155.793,155.812,0,0
1772160600,155.812,155.812,155.772,155.78,0,0
1772160900,155.78,155.792,155.738,155.743,0,0
1772161200,155.743,155.81,155.733,155.799,0,0
1772161500,155.799,155.799,155.781,155.793,0,0
1772161800,155.793,155.794,155.755,155.782,0,0
1772162100,155.782,155.809,155.772,155.79,0,0
1772162400,155.79,155.793,155.729,155.729,0,0
1772162700,155.729,155.773,155.713,155.736,0,0
1772163000,155.736,155.738,155.697,155.729,0,0
1772163300,155.729,155.765,155.707,155.739,0,0
1772163600,155.739,155.794,155.739,155.794,0,0
1772163900,155.794,155.814,155.756,155.794,0,0
1772164200,155.794,155.796,155.745,155.77,0,0
1772164500,155.77,155.773,155.758,155.77,0,0
1772164800,155.77,155.773,155.722,155.747,0,0
1772165100,155.747,155.775,155.731,155.774,0,0
1772165400,155.774,155.807,155.755,155.799,0,0
1772165700,155.799,155.804,155.746,155.776,0,0
1772166000,155.776,155.832,155.696,155.701,0,0
1772166300,155.701,155.701,155.626,155.626,0,0
1772166600,155.626,155.665,155.621,155.642,0,0
1772166900,155.642,155.642,155.563,155.572,0,0
1772167200,155.572,155.589,155.548,155.588,0,0
1772167500,155.588,155.61,155.538,155.564,0,0
1772167800,155.564,155.605,155.554,155.605,0,0
1772168100,155.605,155.605,155.566,155.586,0,0
1772168400,155.586,155.662,155.578,155.662,0,0
1772168700,155.662,155.696,155.652,155.687,0,0
1772169000,155.687,155.687,155.661,155.684,0,0
1772169300,155.684,155.707,155.664,155.707,0,0
1772169600,155.707,155.747,155.696,155.747,0,0
1772169900,155.747,155.771,155.736,155.768,0,0
1772170200,155.768,155.797,155.768,155.782,0,0
1772170500,155.782,155.826,155.782,155.808,0,0
1772170800,155.808,155.83,155.794,155.802,0,0
1772171100,155.802,155.83,155.793,155.793,0,0
1772171400,155.793,155.812,155.747,155.755,0,0
1772171700,155.755,155.832,155.754,155.83,0,0
1772172000,155.83,155.853,155.778,155.833,0,0
1772172300,155.833,155.842,155.791,155.816,0,0
1772172600,155.816,155.819,155.778,155.797,0,0
1772172900,155.797,155.853,155.792,155.852,0,0
1772173200,155.852,155.891,155.852,155.87,0,0
1772173500,155.87,155.919,155.867,155.899,0,0
1772173800,155.899,155.913,155.864,155.906,0,0
1772174100,155.906,155.949,155.894,155.949,0,0
1772174400,155.949,155.95,155.898,155.905,0,0
1772174700,155.905,155.905,155.837,155.842,0,0
1772175000,155.842,155.882,155.828,155.877,0,0
1772175300,155.877,155.89,155.853,155.88,0,0
1772175600,155.88,155.976,155.88,155.949,0,0
1772175900,155.949,155.965,155.914,155.958,0,0
1772176200,155.958,155.985,155.949,155.975,0,0
1772176500,155.975,156.062,155.974,156.017,0,0
1772176800,156.017,156.026,156.002,156.006,0,0
1772177100,156.006,156.09,155.956,156.083,1,0
1772177400,156.083,156.083,156.037,156.06,0,0
1772177700,156.06,156.108,156.037,156.086,0,0
1772178000,156.086,156.088,156.053,156.058,0,0
