time,open,high,low,close,"Pattern Alert",Volume
1789938000,0.99519,0.99519,0.99404,0.99404,0,0
1789938300,0.99404,0.99439,0.99404,0.99415,0,0
1789938600,0.99415,0.99421,0.99412,0.99421,0,0
1789938900,0.99421,0.99421,0.99417,0.99421,0,0
1789939200,0.99421,0.99421,0.99416,0.99416,0,0
1789939500,0.99416,0.99489,0.99386,0.99489,0,0
1789939800,0.99489,0.99558,0.9948,0.99555,0,0
1789940100,0.99555,0.99564,0.99549,0.99561,0,0
1789940400,0.99561,0.99572,0.99558,0.99562,0,0
1789940700,0.99562,0.99567,0.99554,0.9956,0,0
1789941000,0.9956,0.99582,0.99557,0.99582,0,0
1789941300,0.99582,0.99587,0.99564,0.99564,0,0
1789941600,0.99564,0.99599,0.99564,0.99586,0,0
1789941900,0.99586,0.996,0.99586,0.99598,0,0
1789942200,0.99598,0.99624,0.99598,0.99624,0,0
1789942500,0.99624,0.99637,0.99622,0.99629,0,0
1789942800,0.99629,0.99634,0.99627,0.99633,0,0
1789943100,0.99633,0.99646,0.99633,0.99645,0,0
1789943400,0.99645,0.99652,0.99643,0.99644,0,0
1789943700,0.99644,0.99647,0.9964,0.99642,0,0
1789944000,0.99642,0.99645,0.9964,0.99644,0,0
1789944300,0.99644,0.99648,0.99642,0.99646,0,0
1789944600,0.99646,0.9965,0.99642,0.99644,0,0
1789944900,0.99644,0.9965,0.99642,0.99647,0,0
1789945200,0.99647,0.99648,0.99637,0.99637,0,0
1789945500,0.99637,0.99644,0.99635,0.99641,0,0
1789945800,0.99641,0.9965,0.99641,0.99649,0,0
1789946100,0.99649,0.99649,0.99643,0.99647,0,0
1789946400,0.99647,0.9965,0.99642,0.99645,0,0
1789946700,0.99645,0.99659,0.99643,0.99657,0,0
1789947000,0.99657,0.99657,0.99643,0.99645,0,0
1789947300,0.99645,0.99654,0.99644,0.99652,0,0
1789947600,0.99652,0.99653,0.99647,0.99652,0,0
1789947900,0.99652,0.99662,0.99647,0.99656,0,0
1789948200,0.99656,0.99659,0.99645,0.99646,0,0
1789948500,0.99646,0.99654,0.99645,0.99651,0,0
1789948800,0.99651,0.99659,0.99644,0.99654,0,0
1789949100,0.99654,0.99666,0.99654,0.99663,0,0
1789949400,0.99663,0.99676,0.99661,0.99674,0,0
1789949700,0.99674,0.99685,0.99668,0.99671,0,0
1789950000,0.99671,0.99716,0.99669,0.99716,0,0
1789950300,0.99716,0.99722,0.99709,0.99722,0,0
