time,open,high,low,close,"Pattern Alert",Volume
1773003600,110.307,110.384,110.307,110.384,0,0
1773003900,110.384,110.395,110.359,110.366,0,0
1773004200,110.366,110.416,110.366,110.407,0,0
1773004500,110.407,110.575,110.407,110.569,0,0
1773004800,110.569,110.602,110.394,110.509,0,0
1773005100,110.509,110.512,110.461,110.468,0,0
1773005400,110.468,110.468,110.39,110.421,0,0
1773005700,110.421,110.421,110.37,110.416,0,0
1773006000,110.416,110.421,110.38,110.396,0,0
1773006300,110.396,110.419,110.389,110.415,0,0
1773006600,110.415,110.419,110.396,110.404,0,0
1773006900,110.404,110.419,110.403,110.407,0,0
1773007200,110.407,110.443,110.389,110.404,0,0
1773007500,110.404,110.537,110.384,110.525,0,0
1773007800,110.525,110.634,110.515,110.62,0,0
1773008100,110.62,110.697,110.577,110.612,0,0
1773008400,110.612,110.65,110.562,110.604,0,0
1773008700,110.604,110.604,110.508,110.577,0,0
1773009000,110.577,110.675,110.574,110.629,0,0
1773009300,110.629,110.669,110.594,110.638,0,0
1773009600,110.638,110.638,110.571,110.571,0,0
1773009900,110.571,110.646,110.562,110.572,0,0
1773010200,110.572,110.581,110.453,110.46,0,0
1773010500,110.46,110.516,110.442,110.503,0,0
1773010800,110.503,110.559,110.503,110.51,0,0
1773011100,110.51,110.539,110.471,110.485,0,0
1773011400,110.485,110.492,110.432,110.454,0,0
1773011700,110.454,110.52,110.454,110.485,0,0
1773012000,110.485,110.519,110.468,110.479,0,0
1773012300,110.479,110.482,110.411,110.428,0,0
1773012600,110.428,110.439,110.304,110.326,0,0
1773012900,110.326,110.343,110.234,110.24,0,0
1773013200,110.24,110.319,110.24,110.31,0,0
1773013500,110.31,110.387,110.287,110.37,0,0
1773013800,110.37,110.393,110.329,110.332,0,0
1773014100,110.332,110.392,110.326,110.385,0,0
1773014400,110.385,110.401,110.321,110.399,0,0
1773014700,110.399,110.44,110.396,110.438,0,0
1773015000,110.438,110.509,110.331,110.358,0,0
1773015300,110.358,110.371,110.282,110.345,0,0
1773015600,110.345,110.425,110.296,110.303,0,0
1773015900,110.303,110.378,110.262,110.378,0,0
1773016200,110.378,110.498,110.36,110.498,0,0
1773016500,110.498,110.517,110.437,110.441,0,0
1773016800,110.441,110.443,110.397,110.409,0,0
1773017100,110.409,110.423,110.379,110.408,0,0
1773017400,110.408,110.436,110.328,110.383,0,0
1773017700,110.383,110.488,110.362,110.471,0,0
1773018000,110.471,110.623,110.471,110.471,0,0
1773018300,110.471,110.587,110.451,110.555,0,0
1773018600,110.555,110.589,110.525,110.573,0,0
1773018900,110.573,110.578,110.488,110.488,0,0
1773019200,110.488,110.529,110.399,110.518,0,0
1773019500,110.518,110.548,110.489,110.504,0,0
1773019800,110.504,110.612,110.47,110.587,0,0
1773020100,110.587,110.625,110.54,110.544,0,0
1773020400,110.544,110.618,110.53,110.556,0,0
1773020700,110.556,110.602,110.54,110.558,0,0
1773021000,110.558,110.565,110.488,110.529,0,0
1773021300,110.529,110.606,110.52,110.554,0,0
1773021600,110.554,110.636,110.554,110.589,0,0
1773021900,110.589,110.675,110.562,110.674,0,0
