time,open,high,low,close,"Pattern Alert",Volume
1773685800,0.70717,0.7073,0.70701,0.70727,0,0
1773686100,0.70727,0.70764,0.7072,0.70757,0,0
1773686400,0.70757,0.70777,0.70757,0.70777,0,0
1773686700,0.70777,0.70787,0.70754,0.70757,0,0
1773687000,0.70757,0.70768,0.70739,0.70768,0,0
1773687300,0.70768,0.70768,0.70739,0.7075,0,0
1773687600,0.7075,0.70769,0.70743,0.70748,0,0
1773687900,0.70748,0.70804,0.70739,0.70804,0,0
1773688200,0.70804,0.70822,0.70747,0.70758,0,0
1773688500,0.70758,0.70776,0.70744,0.70745,0,0
1773688800,0.70745,0.70769,0.70735,0.7074,0,0
1773689100,0.7074,0.70758,0.70718,0.70735,0,0
1773689400,0.70735,0.7076,0.70724,0.70731,0,0
1773689700,0.70731,0.70758,0.70727,0.70744,0,0
1773690000,0.70744,0.70748,0.707,0.70709,0,0
1773690300,0.70709,0.70712,0.7069,0.7069,0,0
1773690600,0.7069,0.70726,0.70688,0.70717,0,0
1773690900,0.70717,0.70733,0.70716,0.70731,0,0
1773691200,0.70731,0.70738,0.70718,0.70724,0,0
1773691500,0.70724,0.70744,0.70724,0.70735,0,0
1773691800,0.70735,0.70739,0.70729,0.70733,0,0
1773692100,0.70733,0.70736,0.70714,0.70714,0,0
1773692400,0.70714,0.70716,0.70688,0.70689,0,0
1773692700,0.70689,0.70712,0.70689,0.70712,0,0
1773693000,0.70712,0.70714,0.70698,0.70699,0,0
1773693300,0.70699,0.7071,0.70693,0.7071,0,0
1773693600,0.7071,0.70715,0.70698,0.70709,0,0
1773693900,0.70709,0.70716,0.70703,0.70713,0,0
1773694200,0.70713,0.70721,0.70712,0.70716,0,0
1773694500,0.70716,0.70717,0.70709,0.70711,0,0
1773694800,0.70711,0.70711,0.70697,0.70698,0,0
1773695100,0.70698,0.70721,0.70698,0.70719,0,0
1773695400,0.70719,0.70725,0.70713,0.70713,0,0
1773695700,0.70713,0.7072,0.70701,0.70701,0,0
1773696000,0.70701,0.70701,0.70695,0.70696,0,0
1773696300,0.70696,0.70696,0.70695,0.70695,0,0
1773696600,0.70695,0.70696,0.70669,0.70671,0,0
1773696900,0.70671,0.70671,0.70649,0.70667,0,0
1773697200,0.70667,0.70667,0.70649,0.70654,0,0
1773697500,0.70654,0.70668,0.70654,0.70667,0,0
1773697800,0.70667,0.7067,0.70663,0.70664,0,0
1773698100,0.70664,0.70689,0.70645,0.70689,0,0
1773698400,0.70689,0.70708,0.70674,0.70682,0,0
1773698700,0.70682,0.70682,0.70673,0.70673,0,0
1773699000,0.70673,0.7068,0.7067,0.70679,0,0
1773699300,0.70679,0.7068,0.70666,0.70674,0,0
1773699600,0.70674,0.70675,0.70661,0.70666,0,0
1773699900,0.70666,0.7067,0.70661,0.7067,0,0
1773700200,0.7067,0.70673,0.70666,0.70668,0,0
1773700500,0.70668,0.7067,0.70656,0.70662,0,0
1773700800,0.70662,0.70665,0.7066,0.70665,0,0
1773701100,0.70665,0.70671,0.70664,0.70665,0,0
1773701400,0.70665,0.70665,0.70643,0.70651,0,0
1773701700,0.70651,0.70664,0.70645,0.70651,0,0
1773702000,0.70651,0.7066,0.70644,0.70648,0,0
1773702300,0.70648,0.70666,0.70647,0.70655,0,0
1773702600,0.70655,0.70655,0.70632,0.70634,0,0
1773702900,0.70634,0.70638,0.70624,0.70625,0,0
1773703200,0.70625,0.70635,0.70625,0.70629,0,0
1773703500,0.70629,0.70642,0.70629,0.70641,0,0
1773703800,0.70641,0.70661,0.70637,0.70658,0,0
1773704100,0.70658,0.70672,0.70657,0.70672,0,0
1773704400,0.70672,0.70679,0.70659,0.70659,0,0
1773704700,0.70659,0.70684,0.70648,0.70684,0,0
1773705000,0.70684,0.7069,0.70681,0.70688,0,0
1773705300,0.70688,0.70688,0.70666,0.7067,0,0
1773705600,0.7067,0.7067,0.70625,0.70625,0,0
1773705900,0.70625,0.70651,0.70623,0.70629,0,0
1773706200,0.70629,0.70643,0.70623,0.70635,0,0
1773706500,0.70635,0.70646,0.70628,0.70639,0,0
1773706800,0.70639,0.70649,0.70629,0.70629,0,0
1773707100,0.70629,0.70634,0.70618,0.70634,0,0
1773707400,0.70634,0.7065,0.70633,0.70649,0,0
1773707700,0.70649,0.70671,0.70642,0.70642,0,0
1773708000,0.70642,0.70643,0.706,0.70616,0,0
1773708300,0.70616,0.70639,0.70615,0.70622,0,0
1773708600,0.70622,0.70622,0.70597,0.70611,0,0
1773708900,0.70611,0.70628,0.70594,0.7062,0,0
1773709200,0.7062,0.70646,0.7061,0.70626,0,0
1773709500,0.70626,0.70667,0.70625,0.70662,0,0
1773709800,0.70662,0.70709,0.70654,0.70682,0,0
1773710100,0.70682,0.70692,0.70656,0.70663,0,0
1773710400,0.70663,0.70684,0.70663,0.70672,0,0
1773710700,0.70672,0.70693,0.7067,0.7069,0,0
1773711000,0.7069,0.70714,0.70687,0.70704,0,0
1773711300,0.70704,0.70733,0.70681,0.70696,0,0
1773711600,0.70696,0.70702,0.70666,0.70693,0,0
1773711900,0.70693,0.70739,0.70678,0.70738,0,0
1773712200,0.70738,0.70765,0.70734,0.70765,0,0
1773712500,0.70765,0.70807,0.70765,0.70807,0,0
1773712800,0.70807,0.70812,0.70793,0.70798,0,0
1773713100,0.70798,0.70831,0.70798,0.70811,0,0
1773713400,0.70811,0.70823,0.70793,0.70818,0,0
1773713700,0.70818,0.70848,0.70814,0.70844,0,0
1773714000,0.70844,0.70849,0.70813,0.70817,0,0
1773714300,0.70817,0.70847,0.70813,0.70835,0,0
1773714600,0.70835,0.70857,0.70822,0.70853,0,0
1773714900,0.70853,0.70857,0.70827,0.70846,0,0
1773715200,0.70846,0.70846,0.70819,0.70829,0,0
1773715500,0.70829,0.70829,0.70792,0.70798,0,0
1773715800,0.70798,0.70809,0.70791,0.70801,0,0
1773716100,0.70801,0.70801,0.70757,0.70758,0,0
1773716400,0.70758,0.70786,0.70752,0.70785,0,0
1773716700,0.70785,0.70792,0.70777,0.70783,0,0
1773717000,0.70783,0.70797,0.70783,0.70795,0,0
1773717300,0.70795,0.7084,0.70795,0.7084,0,0
1773717600,0.7084,0.70852,0.70816,0.70836,0,0
1773717900,0.70836,0.70836,0.70798,0.7082,0,0
1773718200,0.7082,0.70927,0.70556,0.70669,0,0
1773718500,0.70669,0.70696,0.70598,0.70626,0,0
1773718800,0.70626,0.70626,0.70491,0.70502,0,0
1773719100,0.70502,0.70579,0.70502,0.70568,0,0
1773719400,0.70568,0.70621,0.70568,0.70616,0,0
1773719700,0.70616,0.70662,0.70615,0.70656,0,0
1773720000,0.70656,0.70671,0.70631,0.70653,0,0
1773720300,0.70653,0.70656,0.70621,0.70622,0,0
1773720600,0.70622,0.70646,0.70612,0.70638,0,0
1773720900,0.70638,0.7067,0.70631,0.70664,0,0
1773721200,0.70664,0.70664,0.70618,0.70645,0,0
1773721500,0.70645,0.70645,0.70601,0.70603,0,0
1773721800,0.70603,0.7069,0.70602,0.70681,0,0
1773722100,0.70681,0.70727,0.70681,0.70701,0,0
1773722400,0.70701,0.70756,0.70692,0.70753,0,0
1773722700,0.70753,0.70797,0.70753,0.70795,0,0
1773723000,0.70795,0.70795,0.70769,0.70772,0,0
1773723300,0.70772,0.70772,0.70721,0.70728,0,0
1773723600,0.70728,0.70735,0.70719,0.70732,0,0
1773723900,0.70732,0.70762,0.70723,0.70757,0,0
1773724200,0.70757,0.70792,0.70725,0.70792,0,0
1773724500,0.70792,0.70864,0.70792,0.70864,0,0
1773724800,0.70864,0.70875,0.70834,0.70869,0,0
1773725100,0.70869,0.70893,0.70869,0.7089,0,0
1773725400,0.7089,0.70891,0.70833,0.70838,0,0
1773725700,0.70838,0.70875,0.70838,0.70843,0,0
1773726000,0.70843,0.70844,0.70789,0.70792,0,0
1773726300,0.70792,0.70792,0.70752,0.70752,0,0
1773726600,0.70752,0.70753,0.70703,0.70707,0,0
1773726900,0.70707,0.70707,0.70668,0.7067,0,0
1773727200,0.7067,0.70675,0.7059,0.70629,0,0
1773727500,0.70629,0.70629,0.70582,0.70602,0,0
1773727800,0.70602,0.70623,0.70558,0.70593,0,0
1773728100,0.70593,0.70613,0.70554,0.70611,0,0
1773728400,0.70611,0.70632,0.70586,0.70628,0,0
1773728700,0.70628,0.70657,0.70587,0.70654,0,0
1773729000,0.70654,0.70692,0.70622,0.70681,0,0
1773729300,0.70681,0.70703,0.70657,0.70703,0,0
1773729600,0.70703,0.70714,0.70675,0.7071,0,0
1773729900,0.7071,0.70718,0.70669,0.70669,0,0
1773730200,0.70669,0.70708,0.70654,0.70704,0,0
1773730500,0.70704,0.70716,0.70688,0.70713,0,0
1773730800,0.70713,0.70714,0.70666,0.70695,0,0
1773731100,0.70695,0.70724,0.70695,0.70704,0,0
1773731400,0.70704,0.70712,0.70685,0.70685,0,0
1773731700,0.70685,0.70688,0.70633,0.70651,0,0
1773732000,0.70651,0.70688,0.70645,0.70681,0,0
1773732300,0.70681,0.70714,0.70681,0.70699,0,0
1773732600,0.70699,0.70736,0.70698,0.70714,0,0
1773732900,0.70714,0.70723,0.70685,0.70697,0,0
1773733200,0.70697,0.70704,0.7065,0.7065,0,0
1773733500,0.7065,0.70663,0.70634,0.70662,0,0
1773733800,0.70662,0.70692,0.70657,0.70674,0,0
1773734100,0.70674,0.70674,0.70659,0.70669,0,0
1773734400,0.70669,0.70716,0.70655,0.70678,0,0
1773734700,0.70678,0.70688,0.70638,0.7065,0,0
1773735000,0.7065,0.7066,0.70608,0.70634,0,0
1773735300,0.70634,0.7068,0.70611,0.70679,0,0
1773735600,0.70679,0.70685,0.70652,0.70656,0,0
1773735900,0.70656,0.7072,0.70656,0.70712,0,0
1773736200,0.70712,0.70728,0.70674,0.70674,0,0
1773736500,0.70674,0.70703,0.7064,0.70703,0,0
1773736800,0.70703,0.7078,0.70703,0.70773,0,0
1773737100,0.70773,0.70794,0.70751,0.70793,0,0
1773737400,0.70793,0.70796,0.70761,0.70775,0,0
1773737700,0.70775,0.70834,0.70769,0.7083,0,0
1773738000,0.7083,0.70885,0.70818,0.70843,0,0
1773738300,0.70843,0.70853,0.70816,0.70833,0,0
1773738600,0.70833,0.70839,0.7081,0.70814,0,0
1773738900,0.70814,0.70831,0.70792,0.7081,0,0
1773739200,0.7081,0.7083,0.70804,0.70829,0,0
