time,open,high,low,close,"Pattern Alert",Volume
1788786900,111.745,111.803,111.742,111.801,0,0
1788787200,111.801,111.801,111.731,111.738,0,0
1788787500,111.738,111.805,111.738,111.788,0,0
1788787800,111.788,111.83,111.784,111.816,0,0
1788788100,111.816,111.817,111.788,111.804,0,0
1788788400,111.804,111.805,111.744,111.782,0,0
1788788700,111.782,111.843,111.763,111.836,0,0
1788789000,111.836,111.884,111.831,111.884,0,0
1788789300,111.884,111.932,111.884,111.89,0,0
1788789600,111.89,111.958,111.876,111.957,0,0
1788789900,111.957,111.991,111.949,111.977,0,0
1788790200,111.977,111.977,111.889,111.899,0,0
1788790500,111.899,111.909,111.807,111.808,0,0
1788790800,111.808,111.848,111.787,111.823,0,0
1788791100,111.823,111.824,111.774,111.779,0,0
1788791400,111.779,111.809,111.769,111.784,0,0
1788791700,111.784,111.796,111.76,111.781,0,0
1788792000,111.781,111.803,111.759,111.8,0,0
1788792300,111.8,111.846,111.799,111.839,0,0
1788792600,111.839,111.845,111.784,111.796,0,0
1788792900,111.796,111.796,111.73,111.743,0,0
1788793200,111.743,111.806,111.741,111.766,0,0
1788793500,111.766,111.828,111.759,111.8,0,0
1788793800,111.8,111.803,111.741,111.772,0,0
1788794100,111.772,111.781,111.756,111.757,0,0
1788794400,111.757,111.761,111.736,111.761,0,0
1788794700,111.761,111.761,111.706,111.711,0,0
1788795000,111.711,111.768,111.687,111.768,0,0
1788795300,111.768,111.772,111.737,111.739,0,0
1788795600,111.739,111.752,111.715,111.738,0,0
1788795900,111.738,111.773,111.738,111.749,0,0
1788796200,111.749,111.795,111.747,111.794,0,0
1788796500,111.794,111.806,111.774,111.783,0,0
1788796800,111.783,111.802,111.78,111.796,0,0
1788797100,111.796,111.796,111.77,111.773,0,0
1788797400,111.773,111.78,111.764,111.772,0,0
1788797700,111.772,111.778,111.769,111.777,0,0
1788798000,111.777,111.781,111.763,111.781,0,0
1788798300,111.781,111.781,111.751,111.766,0,0
1788798600,111.766,111.766,111.738,111.738,0,0
1788798900,111.738,111.741,111.713,111.729,0,0
1788799200,111.729,111.73,111.712,111.713,0,0
1788799500,111.713,111.752,111.711,111.737,0,0
1788799800,111.737,111.754,111.737,111.749,0,0
1788800100,111.749,111.759,111.723,111.724,0,0
1788800400,111.724,111.742,111.722,111.739,0,0
1788800700,111.739,111.739,111.72,111.739,0,0
1788801000,111.739,111.741,111.724,111.724,0,0
1788801300,111.724,111.738,111.723,111.733,0,0
1788801600,111.733,111.739,111.723,111.737,0,0
1788801900,111.737,111.737,111.721,111.729,0,0
1788802200,111.729,111.742,111.729,111.741,0,0
1788802500,111.741,111.741,111.735,111.737,0,0
1788802800,111.737,111.747,111.736,111.742,0,0
1788803100,111.742,111.765,111.739,111.765,0,0
1788803400,111.765,111.771,111.761,111.761,0,0
1788803700,111.761,111.769,111.746,111.749,0,0
1788804000,111.749,111.751,111.741,111.741,0,0
1788804300,111.741,111.745,111.737,111.737,0,0
1788804600,111.737,111.744,111.737,111.743,0,0
1788804900,111.743,111.743,111.738,111.741,0,0
1788805200,111.741,111.741,111.737,111.738,0,0
1788805500,111.738,111.739,111.729,111.731,0,0
