time,open,high,low,close,"Pattern Alert",Volume
1788805800,190.676,190.687,190.675,190.681,0,0
1788806100,190.681,190.692,190.679,190.691,0,0
1788806400,190.691,190.692,190.685,190.686,0,0
1788806700,190.686,190.686,190.672,190.676,0,0
1788807000,190.676,190.676,190.651,190.652,0,0
1788807300,190.652,190.66,190.645,190.646,0,0
1788807600,190.646,190.667,190.637,190.666,0,0
1788807900,190.666,190.675,190.666,190.671,0,0
1788808200,190.671,190.674,190.661,190.663,0,0
1788808500,190.663,190.674,190.662,190.669,0,0
1788808800,190.669,190.669,190.634,190.635,0,0
1788809100,190.635,190.639,190.632,190.637,0,0
1788809400,190.637,190.664,190.635,190.664,0,0
1788809700,190.664,190.675,190.661,190.67,0,0
1788810000,190.67,190.671,190.652,190.658,0,0
1788810300,190.658,190.661,190.651,190.661,0,0
1788810600,190.661,190.666,190.65,190.654,0,0
1788810900,190.654,190.659,190.649,190.656,0,0
1788811200,190.656,190.656,190.64,190.642,0,0
1788811500,190.642,190.663,190.642,190.663,0,0
1788811800,190.663,190.671,190.662,190.671,0,0
1788812100,190.671,190.686,190.668,190.68,0,0
1788812400,190.68,190.681,190.663,190.664,0,0
1788812700,190.664,190.664,190.654,190.657,0,0
1788813000,190.657,190.66,190.634,190.649,0,0
1788813300,190.649,190.652,190.648,190.651,0,0
1788813600,190.651,190.681,190.649,190.677,0,0
1788813900,190.677,190.679,190.673,190.673,0,0
1788814200,190.673,190.676,190.653,190.664,0,0
1788814500,190.664,190.665,190.636,190.638,0,0
1788814800,190.638,190.638,190.606,190.606,0,0
1788815100,190.606,190.606,190.572,190.582,0,0
1788815400,190.582,190.606,190.578,190.606,0,0
1788815700,190.606,190.613,190.602,190.61,0,0
1788816000,190.61,190.62,190.575,190.579,0,0
1788816300,190.579,190.621,190.576,190.602,0,0
1788816600,190.602,190.608,190.592,190.608,0,0
1788816900,190.608,190.642,190.608,190.639,0,0
1788817200,190.639,190.654,190.623,190.642,0,0
1788817500,190.642,190.651,190.628,190.631,0,0
1788817800,190.631,190.652,190.631,190.646,0,0
1788818100,190.646,190.646,190.585,190.585,0,0
1788818400,190.585,190.678,190.585,190.635,0,0
1788818700,190.635,190.683,190.632,190.683,0,0
1788819000,190.683,190.722,190.679,190.697,0,0
1788819300,190.697,190.698,190.626,190.642,0,0
1788819600,190.642,190.662,190.566,190.57,0,0
1788819900,190.57,190.574,190.499,190.506,0,0
1788820200,190.506,190.57,190.504,190.554,0,0
1788820500,190.554,190.561,190.537,190.56,0,0
1788820800,190.56,190.589,190.558,190.581,0,0
1788821100,190.581,190.598,190.572,190.594,0,0
1788821400,190.594,190.595,190.493,190.493,0,0
1788821700,190.493,190.536,190.491,190.493,0,0
1788822000,190.493,190.495,190.449,190.452,0,0
1788822300,190.452,190.453,190.364,190.366,0,0
1788822600,190.366,190.401,190.283,190.291,0,0
1788822900,190.291,190.317,190.186,190.208,0,0
1788823200,190.208,190.347,190.193,190.317,0,0
1788823500,190.317,190.377,190.274,190.274,0,0
1788823800,190.274,190.373,190.19,190.327,0,0
1788824100,190.327,190.401,190.308,190.371,0,0
1788824400,190.371,190.371,190.251,190.253,0,0
1788824700,190.253,190.259,190.181,190.241,0,0
1788825000,190.241,190.325,190.219,190.291,0,0
