time,open,high,low,close,"Pattern Alert",Volume
1773003600,1.6525,1.65257,1.65204,1.65207,0,0
1773003900,1.65207,1.6536,1.65191,1.65295,0,0
1773004200,1.65295,1.65366,1.65259,1.65278,0,0
1773004500,1.65278,1.65281,1.65052,1.65061,0,0
1773004800,1.65061,1.65289,1.65019,1.65156,0,0
1773005100,1.65156,1.65198,1.65144,1.65189,0,0
1773005400,1.65189,1.65296,1.65188,1.65292,0,0
1773005700,1.65292,1.65337,1.65247,1.65268,0,0
1773006000,1.65268,1.65329,1.65201,1.65236,0,0
1773006300,1.65236,1.65273,1.65194,1.65217,0,0
1773006600,1.65217,1.65257,1.65196,1.65253,0,0
1773006900,1.65253,1.65264,1.65227,1.65254,0,0
1773007200,1.65254,1.65352,1.65252,1.65283,0,0
1773007500,1.65283,1.65294,1.65076,1.6509,0,0
1773007800,1.6509,1.65223,1.65049,1.65077,0,0
1773008100,1.65077,1.65201,1.64973,1.65177,0,0
1773008400,1.65177,1.65206,1.65108,1.65173,0,0
1773008700,1.65173,1.65254,1.65173,1.65244,0,0
1773009000,1.65244,1.65247,1.65022,1.6509,0,0
1773009300,1.6509,1.65168,1.65052,1.65147,0,0
1773009600,1.65147,1.65184,1.65103,1.65167,0,0
1773009900,1.65167,1.65201,1.6509,1.65195,0,0
1773010200,1.65195,1.65332,1.65195,1.65325,0,0
1773010500,1.65325,1.65341,1.65208,1.65252,0,0
1773010800,1.65252,1.65256,1.65171,1.65236,0,0
1773011100,1.65236,1.6525,1.65158,1.65242,0,0
1773011400,1.65242,1.65301,1.65225,1.65286,0,0
1773011700,1.65286,1.65286,1.65219,1.65251,0,0
1773012000,1.65251,1.65293,1.65188,1.65267,0,0
1773012300,1.65267,1.65357,1.65258,1.65338,0,0
1773012600,1.65338,1.65442,1.65333,1.6541,0,0
1773012900,1.6541,1.65469,1.65395,1.65455,0,0
1773013200,1.65455,1.65455,1.65345,1.65395,0,0
1773013500,1.65395,1.65431,1.65365,1.65389,0,0
1773013800,1.65389,1.65415,1.65353,1.65393,0,0
1773014100,1.65393,1.65446,1.65356,1.65361,0,0
1773014400,1.65361,1.65418,1.65361,1.65375,0,0
1773014700,1.65375,1.65375,1.65311,1.65312,0,0
1773015000,1.65312,1.6542,1.65225,1.65392,0,0
1773015300,1.65392,1.65465,1.65374,1.65404,0,0
1773015600,1.65404,1.65474,1.653,1.65467,0,0
1773015900,1.65467,1.65484,1.65366,1.65366,0,0
1773016200,1.65366,1.65424,1.65323,1.65331,0,0
1773016500,1.65331,1.6542,1.65315,1.65413,0,0
1773016800,1.65413,1.65501,1.65408,1.65494,0,0
1773017100,1.65494,1.65521,1.6545,1.65463,0,0
1773017400,1.65463,1.65539,1.65439,1.65527,0,0
1773017700,1.65527,1.65539,1.65375,1.65385,0,0
1773018000,1.65385,1.65385,1.65167,1.65334,0,0
1773018300,1.65334,1.65354,1.65193,1.65244,0,0
1773018600,1.65244,1.65301,1.65193,1.6521,0,0
1773018900,1.6521,1.65325,1.65198,1.65312,0,0
1773019200,1.65312,1.65454,1.65276,1.65296,0,0
1773019500,1.65296,1.65338,1.65253,1.65301,0,0
1773019800,1.65301,1.6535,1.65196,1.65209,0,0
1773020100,1.65209,1.65257,1.65166,1.65252,0,0
1773020400,1.65252,1.65262,1.6517,1.65221,0,0
1773020700,1.65221,1.65272,1.65174,1.65215,0,0
1773021000,1.65215,1.65252,1.65156,1.65205,0,0
1773021300,1.65205,1.65218,1.65128,1.65194,0,0
1773021600,1.65194,1.65194,1.65132,1.65162,0,0
1773021900,1.65162,1.65195,1.65123,1.6515,0,0
1773022200,1.6515,1.65151,1.64967,1.65,0,0
1773022500,1.65,1.65131,1.65,1.65109,0,0
1773022800,1.65109,1.65113,1.65055,1.65057,0,0
1773023100,1.65057,1.6508,1.65018,1.65052,0,0
1773023400,1.65052,1.65164,1.6503,1.65131,0,0
1773023700,1.65131,1.65163,1.64983,1.64989,0,0
1773024000,1.64989,1.64999,1.64935,1.64936,0,0
1773024300,1.64936,1.64984,1.64921,1.64945,0,0
1773024600,1.64945,1.6496,1.64835,1.64842,0,0
1773024900,1.64842,1.64842,1.64714,1.6473,0,0
1773025200,1.6473,1.64835,1.64679,1.64835,0,0
1773025500,1.64835,1.64854,1.64759,1.64832,0,0
1773025800,1.64832,1.64852,1.64782,1.648,0,0
1773026100,1.648,1.64812,1.64729,1.64759,0,0
1773026400,1.64759,1.64823,1.6472,1.64807,0,0
1773026700,1.64807,1.64866,1.64777,1.64847,0,0
1773027000,1.64847,1.6486,1.6477,1.64787,0,0
1773027300,1.64787,1.64861,1.64756,1.64857,0,0
1773027600,1.64857,1.64882,1.64824,1.64827,0,0
1773027900,1.64827,1.64838,1.64781,1.64808,0,0
1773028200,1.64808,1.64812,1.6473,1.64778,0,0
1773028500,1.64778,1.64783,1.64702,1.64718,0,0
1773028800,1.64718,1.64754,1.64637,1.64656,0,0
1773029100,1.64656,1.64699,1.6464,1.64687,0,0
1773029400,1.64687,1.64811,1.64687,1.64787,0,0
1773029700,1.64787,1.64822,1.64767,1.64792,0,0
