time,open,high,low,close,"Pattern Alert",Volume
1788978600,1.60594,1.60595,1.60576,1.60576,0,0
1788978900,1.60576,1.60584,1.6057,1.60579,0,0
1788979200,1.60579,1.60581,1.60558,1.60559,0,0
1788979500,1.60559,1.60567,1.60554,1.60555,0,0
1788979800,1.60555,1.60555,1.60529,1.6053,0,0
1788980100,1.6053,1.60542,1.60527,1.6054,0,0
1788980400,1.6054,1.60546,1.60522,1.60523,0,0
1788980700,1.60523,1.60528,1.60511,1.60522,0,0
1788981000,1.60522,1.60538,1.6052,1.60537,0,0
1788981300,1.60537,1.60547,1.60533,1.60543,0,0
1788981600,1.60543,1.60573,1.60543,1.6057,0,0
1788981900,1.6057,1.60577,1.60565,1.60568,0,0
1788982200,1.60568,1.60573,1.60553,1.60553,0,0
1788982500,1.60553,1.6057,1.60553,1.60564,0,0
1788982800,1.60564,1.60574,1.60561,1.60573,0,0
1788983100,1.60573,1.60577,1.60564,1.60564,0,0
1788983400,1.60564,1.6057,1.60558,1.60569,0,0
1788983700,1.60569,1.60615,1.60568,1.60612,0,0
1788984000,1.60612,1.60612,1.60572,1.6058,0,0
1788984300,1.6058,1.60589,1.60571,1.60577,0,0
1788984600,1.60577,1.60594,1.60575,1.60588,0,0
1788984900,1.60588,1.60599,1.60585,1.60589,0,0
1788985200,1.60589,1.60602,1.60589,1.606,0,0
1788985500,1.606,1.60602,1.60586,1.60591,0,0
1788985800,1.60591,1.60603,1.60573,1.60577,0,0
1788986100,1.60577,1.6059,1.60577,1.60579,0,0
1788986400,1.60579,1.60582,1.60564,1.60574,0,0
1788986700,1.60574,1.60596,1.60558,1.60584,0,0
1788987000,1.60584,1.60592,1.60581,1.60581,0,0
1788987300,1.60581,1.60585,1.60563,1.60579,0,0
1788987600,1.60579,1.60579,1.60524,1.60524,0,0
1788987900,1.60524,1.60551,1.60499,1.60551,0,0
1788988200,1.60551,1.60586,1.60546,1.6058,0,0
1788988500,1.6058,1.60583,1.60572,1.60573,0,0
1788988800,1.60573,1.60585,1.60567,1.60582,0,0
1788989100,1.60582,1.60584,1.6056,1.60562,0,0
1788989400,1.60562,1.60562,1.60495,1.60527,0,0
1788989700,1.60527,1.60555,1.60515,1.60522,0,0
1788990000,1.60522,1.60527,1.6051,1.60522,0,0
1788990300,1.60522,1.60533,1.60521,1.6053,0,0
1788990600,1.6053,1.60535,1.60518,1.60519,0,0
1788990900,1.60519,1.60519,1.60496,1.60503,0,0
1788991200,1.60503,1.60589,1.60503,1.60566,0,0
1788991500,1.60566,1.60573,1.60557,1.60573,0,0
1788991800,1.60573,1.60584,1.6057,1.60581,0,0
1788992100,1.60581,1.6059,1.60581,1.60589,0,0
1788992400,1.60589,1.60599,1.60586,1.60595,0,0
1788992700,1.60595,1.60602,1.60595,1.60596,0,0
1788993000,1.60596,1.60597,1.60581,1.60581,0,0
1788993300,1.60581,1.60587,1.60575,1.6058,0,0
1788993600,1.6058,1.60591,1.60579,1.60591,0,0
1788993900,1.60591,1.60591,1.6058,1.60582,0,0
1788994200,1.60582,1.60586,1.60579,1.60585,0,0
1788994500,1.60585,1.60591,1.60582,1.60587,0,0
1788994800,1.60587,1.60602,1.60585,1.60594,0,0
1788995100,1.60594,1.60595,1.60588,1.60588,0,0
1788995400,1.60588,1.60588,1.60577,1.60585,0,0
1788995700,1.60585,1.60588,1.60579,1.60579,0,0
1788996000,1.60579,1.60579,1.60569,1.60575,0,0
1788996300,1.60575,1.60579,1.6057,1.60574,0,0
1788996600,1.60574,1.6058,1.60567,1.60576,0,0
1788996900,1.60576,1.60576,1.60568,1.60568,0,0
1788997200,1.60568,1.60572,1.60558,1.60571,0,0
1788997500,1.60571,1.60576,1.60569,1.60574,0,0
1788997800,1.60574,1.60577,1.60566,1.60567,0,0
1788998100,1.60567,1.60582,1.60566,1.60581,0,0
1788998400,1.60581,1.60587,1.60574,1.60581,0,0
1788998700,1.60581,1.60597,1.60579,1.60596,0,0
1788999000,1.60596,1.60603,1.60583,1.60583,0,0
1788999300,1.60583,1.6059,1.60575,1.60576,0,0
1788999600,1.60576,1.60586,1.60571,1.60575,0,0
1788999900,1.60575,1.60585,1.6057,1.6057,0,0
1789000200,1.6057,1.60587,1.60558,1.60561,0,0
1789000500,1.60561,1.60569,1.60558,1.60565,0,0
1789000800,1.60565,1.60568,1.60557,1.60567,0,0
1789001100,1.60567,1.60575,1.60558,1.60575,0,0
1789001400,1.60575,1.60599,1.60568,1.60587,0,0
1789001700,1.60587,1.60587,1.60567,1.60584,0,0
1789002000,1.60584,1.60605,1.60579,1.60599,0,0
1789002300,1.60599,1.60619,1.60597,1.60613,0,0
1789002600,1.60613,1.60623,1.60604,1.60621,0,0
1789002900,1.60621,1.60625,1.6061,1.6062,0,0
1789003200,1.6062,1.60624,1.60611,1.60617,0,0
1789003500,1.60617,1.60624,1.60602,1.60614,0,0
1789003800,1.60614,1.60653,1.60614,1.60652,0,0
1789004100,1.60652,1.60652,1.60633,1.60648,0,0
1789004400,1.60648,1.60653,1.60641,1.60653,0,0
1789004700,1.60653,1.6066,1.60648,1.60654,0,0
1789005000,1.60654,1.60663,1.60648,1.6066,0,0
1789005300,1.6066,1.60673,1.60653,1.60659,0,0
1789005600,1.60659,1.60675,1.60653,1.60671,0,0
1789005900,1.60671,1.60676,1.60667,1.60675,0,0
1789006200,1.60675,1.60676,1.60667,1.60669,0,0
1789006500,1.60669,1.6067,1.60653,1.60663,0,0
1789006800,1.60663,1.60665,1.60654,1.60656,0,0
1789007100,1.60656,1.60665,1.60654,1.60662,0,0
1789007400,1.60662,1.60662,1.60647,1.60658,0,0
1789007700,1.60658,1.6067,1.60658,1.60665,0,0
1789008000,1.60665,1.60672,1.60659,1.60665,0,0
1789008300,1.60665,1.6067,1.60661,1.60668,0,0
1789008600,1.60668,1.60673,1.60663,1.6067,0,0
1789008900,1.6067,1.60672,1.60664,1.60665,0,0
1789009200,1.60665,1.60668,1.6066,1.60664,0,0
1789009500,1.60664,1.60666,1.60656,1.6066,0,0
1789009800,1.6066,1.60668,1.60654,1.60666,0,0
1789010100,1.60666,1.60667,1.60651,1.60656,0,0
1789010400,1.60656,1.60666,1.60655,1.60662,0,0
1789010700,1.60662,1.6067,1.60661,1.60668,0,0
1789011000,1.60668,1.60675,1.60665,1.60668,0,0
1789011300,1.60668,1.60669,1.60659,1.60659,0,0
1789011600,1.60659,1.60662,1.60656,1.60656,0,0
1789011900,1.60656,1.60668,1.60656,1.60661,0,0
1789012200,1.60661,1.60665,1.60659,1.60664,0,0
1789012500,1.60664,1.60673,1.60662,1.6067,0,0
1789012800,1.6067,1.60673,1.60666,1.60672,0,0
1789013100,1.60672,1.60676,1.60669,1.60672,0,0
1789013400,1.60672,1.60676,1.60668,1.60672,0,0
1789013700,1.60672,1.60677,1.60654,1.60656,0,0
1789014000,1.60656,1.6066,1.60651,1.60654,0,0
1789014300,1.60654,1.60657,1.60647,1.60648,0,0
1789014600,1.60648,1.60659,1.60646,1.60657,0,0
1789014900,1.60657,1.60665,1.60656,1.60663,0,0
1789015200,1.60663,1.60667,1.60657,1.60659,0,0
1789015500,1.60659,1.60673,1.60658,1.6067,0,0
1789015800,1.6067,1.6067,1.60661,1.60663,0,0
1789016100,1.60663,1.60668,1.6066,1.60667,0,0
1789016400,1.60667,1.60681,1.60667,1.60678,0,0
1789016700,1.60678,1.60683,1.60674,1.60676,0,0
