time,open,high,low,close,"Pattern Alert",Volume
1773253800,0.9022,0.90225,0.90216,0.90218,0,0
1773254100,0.90218,0.90227,0.90213,0.90227,0,0
1773254400,0.90227,0.90232,0.90219,0.90227,0,0
1773254700,0.90227,0.90227,0.90214,0.90215,0,0
1773255000,0.90215,0.90237,0.90214,0.90237,0,0
1773255300,0.90237,0.90242,0.90234,0.90238,0,0
1773255600,0.90238,0.9024,0.90226,0.90228,0,0
1773255900,0.90228,0.90232,0.90226,0.90231,0,0
1773256200,0.90231,0.90234,0.90225,0.90227,0,0
1773256500,0.90227,0.902275,0.90218,0.9022,0,0
1773256800,0.9022,0.90232,0.9022,0.90231,0,0
1773257100,0.90231,0.90244,0.90226,0.90231,0,0
1773257400,0.90231,0.90235,0.90228,0.9023,0,0
1773257700,0.9023,0.90231,0.90224,0.90225,0,0
1773258000,0.90225,0.90229,0.90225,0.90228,0,0
1773258300,0.90228,0.90233,0.90223,0.90233,0,0
1773258600,0.90233,0.90238,0.90223,0.9023,0,0
1773258900,0.9023,0.90242,0.9023,0.90237,0,0
1773259200,0.90237,0.90239,0.90227,0.90232,0,0
1773259500,0.90232,0.90239,0.9023,0.90239,0,0
1773259800,0.90239,0.90243,0.90239,0.90242,0,0
1773260100,0.90242,0.90243,0.9023,0.9023,0,0
1773260400,0.9023,0.9024,0.9023,0.90238,0,0
1773260700,0.90238,0.90243,0.90236,0.9024,0,0
1773261000,0.9024,0.90248,0.90238,0.90247,0,0
1773261300,0.90247,0.90259,0.90247,0.90258,0,0
1773261600,0.90258,0.90258,0.90248,0.90251,0,0
1773261900,0.90251,0.90254,0.90247,0.90254,0,0
1773262200,0.90254,0.90274,0.90254,0.90271,0,0
1773262500,0.90271,0.90274,0.90261,0.90264,0,0
1773262800,0.90264,0.90264,0.9014,0.9014,0,0
1773263100,0.9014,0.9017,0.90137,0.90164,0,0
1773263400,0.90164,0.90206,0.90161,0.90198,0,0
1773263700,0.90198,0.90236,0.90197,0.90232,0,0
1773264000,0.90232,0.90242,0.90172,0.90175,0,0
1773264300,0.90175,0.9018,0.90164,0.90169,0,0
1773264600,0.90169,0.90186,0.90163,0.90184,0,0
1773264900,0.90184,0.90186,0.90177,0.90184,0,0
1773265200,0.90184,0.90194,0.90182,0.90193,0,0
1773265500,0.90193,0.90195,0.90189,0.90192,0,0
1773265800,0.90192,0.90194,0.90187,0.90192,0,0
1773266100,0.90192,0.90223,0.9018,0.90204,0,0
1773266400,0.90204,0.90247,0.90204,0.90237,0,0
1773266700,0.90237,0.90242,0.90213,0.90221,0,0
1773267000,0.90221,0.90261,0.90218,0.90261,0,0
1773267300,0.90261,0.90266,0.90256,0.90257,0,0
1773267600,0.90257,0.90267,0.90256,0.90264,0,0
1773267900,0.90264,0.90273,0.90248,0.90251,0,0
1773268200,0.90251,0.90258,0.9024,0.90241,0,0
1773268500,0.90241,0.90249,0.90235,0.90237,0,0
1773268800,0.90237,0.90239,0.90203,0.90203,0,0
1773269100,0.90203,0.90211,0.90193,0.90196,0,0
1773269400,0.90196,0.90203,0.90194,0.90198,0,0
1773269700,0.90198,0.90222,0.90192,0.90211,0,0
1773270000,0.90211,0.90226,0.90207,0.90224,0,0
1773270300,0.90224,0.9025,0.9022,0.90242,0,0
1773270600,0.90242,0.90255,0.90236,0.90245,0,0
1773270900,0.90245,0.9026,0.90244,0.9025,0,0
1773271200,0.9025,0.90263,0.9025,0.90256,0,0
1773271500,0.90256,0.90263,0.90251,0.90252,0,0
1773271800,0.90252,0.90254,0.9024,0.90241,0,0
1773272100,0.90241,0.90247,0.90231,0.90235,0,0
1773272400,0.90235,0.90242,0.9023,0.90242,0,0
1773272700,0.90242,0.90242,0.90228,0.9023,0,0
1773273000,0.9023,0.90234,0.90225,0.90234,0,0
1773273300,0.90234,0.9024,0.90227,0.90233,0,0
1773273600,0.90233,0.90242,0.9023,0.90232,0,0
1773273900,0.90232,0.90237,0.90194,0.90205,0,0
1773274200,0.90205,0.90209,0.90191,0.90192,0,0
1773274500,0.90192,0.90207,0.90191,0.90202,0,0
1773274800,0.90202,0.90218,0.90197,0.90218,0,0
1773275100,0.90218,0.90218,0.90196,0.90198,0,0
1773275400,0.90198,0.90207,0.90194,0.90194,0,0
1773275700,0.90194,0.90205,0.90194,0.90202,0,0
1773276000,0.90202,0.90203,0.90196,0.90199,0,0
1773276300,0.90199,0.902,0.90191,0.90194,0,0
1773276600,0.90194,0.90203,0.90184,0.90186,0,0
1773276900,0.90186,0.90203,0.90185,0.90198,0,0
1773277200,0.90198,0.90225,0.90197,0.90223,0,0
1773277500,0.90223,0.90225,0.90214,0.90219,0,0
1773277800,0.90219,0.90222,0.90216,0.90216,0,0
1773278100,0.90216,0.90223,0.90216,0.9022,0,0
1773278400,0.9022,0.90224,0.90216,0.90222,0,0
1773278700,0.90222,0.90222,0.90213,0.90214,0,0
1773279000,0.90214,0.90224,0.90212,0.9022,0,0
1773279300,0.9022,0.90227,0.90213,0.90225,0,0
1773279600,0.90225,0.90227,0.90208,0.90213,0,0
1773279900,0.90213,0.90219,0.9021,0.90218,0,0
1773280200,0.90218,0.90223,0.90212,0.90216,0,0
1773280500,0.90216,0.90225,0.90212,0.90223,0,0
