time,open,high,low,close,"Pattern Alert",Volume
1788805800,179.416,179.418,179.414,179.414,0,0
1788806100,179.414,179.424,179.413,179.424,0,0
1788806400,179.424,179.424,179.416,179.416,0,0
1788806700,179.416,179.416,179.412,179.413,0,0
1788807000,179.413,179.413,179.404,179.404,0,0
1788807300,179.404,179.41,179.397,179.398,0,0
1788807600,179.398,179.41,179.397,179.409,0,0
1788807900,179.409,179.417,179.409,179.413,0,0
1788808200,179.413,179.416,179.413,179.415,0,0
1788808500,179.415,179.426,179.414,179.426,0,0
1788808800,179.426,179.426,179.382,179.385,0,0
1788809100,179.385,179.387,179.381,179.384,0,0
1788809400,179.384,179.399,179.382,179.398,0,0
1788809700,179.398,179.408,179.397,179.406,0,0
1788810000,179.406,179.407,179.392,179.393,0,0
1788810300,179.393,179.397,179.39,179.397,0,0
1788810600,179.397,179.402,179.386,179.387,0,0
1788810900,179.387,179.398,179.387,179.395,0,0
1788811200,179.395,179.401,179.379,179.383,0,0
1788811500,179.383,179.4,179.382,179.399,0,0
1788811800,179.399,179.409,179.398,179.409,0,0
1788812100,179.409,179.424,179.407,179.42,0,0
1788812400,179.42,179.42,179.404,179.404,0,0
1788812700,179.404,179.404,179.395,179.398,0,0
1788813000,179.398,179.4,179.378,179.379,0,0
1788813300,179.379,179.383,179.379,179.382,0,0
1788813600,179.382,179.414,179.38,179.409,0,0
1788813900,179.409,179.414,179.409,179.412,0,0
1788814200,179.412,179.412,179.391,179.403,0,0
1788814500,179.403,179.404,179.384,179.385,0,0
1788814800,179.385,179.389,179.348,179.348,0,0
1788815100,179.348,179.357,179.335,179.355,0,0
1788815400,179.355,179.382,179.355,179.374,0,0
1788815700,179.374,179.388,179.374,179.388,0,0
1788816000,179.388,179.388,179.346,179.351,0,0
1788816300,179.351,179.381,179.351,179.362,0,0
1788816600,179.362,179.367,179.358,179.367,0,0
1788816900,179.367,179.396,179.367,179.391,0,0
1788817200,179.391,179.41,179.39,179.409,0,0
1788817500,179.409,179.411,179.404,179.404,0,0
1788817800,179.404,179.407,179.404,179.406,0,0
1788818100,179.406,179.408,179.383,179.384,0,0
1788818400,179.384,179.425,179.374,179.374,0,0
1788818700,179.374,179.408,179.369,179.407,0,0
1788819000,179.407,179.437,179.401,179.428,0,0
1788819300,179.428,179.428,179.354,179.37,0,0
