time,open,high,low,close,"Pattern Alert",Volume
1772562600,1.16047,1.16119,1.16035,1.16078,0,0
1772562900,1.16078,1.16179,1.1607,1.16178,0,0
1772563200,1.16178,1.16217,1.16158,1.16175,0,0
1772563500,1.16175,1.16202,1.16157,1.16201,0,0
1772563800,1.16201,1.16206,1.16141,1.16152,0,0
1772564100,1.16152,1.16176,1.16128,1.16154,0,0
1772564400,1.16154,1.16185,1.16141,1.16143,0,0
1772564700,1.16143,1.16145,1.16064,1.16072,0,0
1772565000,1.16072,1.16099,1.16054,1.16084,0,0
1772565300,1.16084,1.16102,1.16039,1.1607,0,0
1772565600,1.1607,1.16093,1.16058,1.16059,0,0
1772565900,1.16059,1.16066,1.16022,1.16028,0,0
1772566200,1.16028,1.16039,1.1601,1.16019,0,0
1772566500,1.16019,1.16173,1.15999,1.16158,0,0
1772566800,1.16158,1.16254,1.16157,1.16216,0,0
1772567100,1.16216,1.16243,1.16152,1.16186,0,0
1772567400,1.16186,1.16231,1.16169,1.16183,0,0
1772567700,1.16183,1.16188,1.16118,1.16123,0,0
1772568000,1.16123,1.16152,1.16113,1.16135,0,0
1772568300,1.16135,1.16188,1.16133,1.16179,0,0
1772568600,1.16179,1.1622,1.16175,1.16198,0,0
1772568900,1.16198,1.16214,1.16156,1.16205,0,0
1772569200,1.16205,1.16231,1.16205,1.16229,0,0
1772569500,1.16229,1.16237,1.16208,1.16216,0,0
1772569800,1.16216,1.16243,1.16201,1.16206,0,0
1772570100,1.16206,1.16227,1.16199,1.16204,0,0
1772570400,1.16204,1.1621,1.16168,1.16192,0,0
1772570700,1.16192,1.162,1.16139,1.16146,0,0
1772571000,1.16146,1.16183,1.16134,1.1618,0,0
1772571300,1.1618,1.16184,1.16165,1.16174,0,0
1772571600,1.16174,1.16176,1.16148,1.1616,0,0
1772571900,1.1616,1.16182,1.16158,1.16161,0,0
1772572200,1.16161,1.16163,1.16136,1.16139,0,0
1772572500,1.16139,1.16143,1.1612,1.16123,0,0
1772572800,1.16123,1.16139,1.16123,1.16139,0,0
1772573100,1.16139,1.16155,1.16132,1.16143,0,0
1772573400,1.16143,1.16152,1.16139,1.16144,0,0
1772573700,1.16144,1.16144,1.16126,1.1613,0,0
1772574000,1.1613,1.16138,1.16124,1.16129,0,0
1772574300,1.16129,1.16132,1.16097,1.16102,0,0
1772574600,1.16102,1.16113,1.16098,1.16107,0,0
1772574900,1.16107,1.16134,1.16106,1.16117,0,0
1772575200,1.16117,1.16117,1.16087,1.16087,0,0
1772575500,1.16087,1.16139,1.16087,1.16139,0,0
1772575800,1.16139,1.16141,1.16099,1.16104,0,0
1772576100,1.16104,1.16108,1.16094,1.16108,0,0
