time,open,high,low,close,"Pattern Alert",Volume
1773426600,1.891,1.89108,1.89014,1.89031,0,0
1773426900,1.89031,1.89074,1.89025,1.89054,0,0
1773427200,1.89054,1.89061,1.89005,1.8902,0,0
1773427500,1.8902,1.89065,1.8901,1.89044,0,0
1773427800,1.89044,1.89068,1.89039,1.89045,0,0
1773428100,1.89045,1.89105,1.89045,1.8907,0,0
1773428400,1.8907,1.89113,1.89066,1.89109,0,0
1773428700,1.89109,1.89126,1.89086,1.89124,0,0
1773429000,1.89124,1.89134,1.89075,1.89087,0,0
1773429300,1.89087,1.89101,1.89072,1.89079,0,0
1773429600,1.89079,1.89132,1.89077,1.891,0,0
1773429900,1.891,1.89123,1.891,1.89107,0,0
1773430200,1.89107,1.89125,1.89099,1.8912,0,0
1773430500,1.8912,1.89131,1.89084,1.89107,0,0
1773430800,1.89107,1.89142,1.89097,1.89109,0,0
1773431100,1.89109,1.89127,1.89072,1.89111,0,0
1773431400,1.89111,1.89148,1.89107,1.89148,0,0
1773431700,1.89148,1.89206,1.89141,1.89197,0,0
1773432000,1.89197,1.89251,1.89179,1.89249,0,0
1773432300,1.89249,1.89291,1.89237,1.89251,0,0
1773432600,1.89251,1.89292,1.89251,1.89266,0,0
1773432900,1.89266,1.89284,1.89251,1.89273,0,0
1773433200,1.89273,1.89318,1.89273,1.89312,0,0
1773433500,1.89312,1.89365,1.89293,1.89348,0,0
1773433800,1.89348,1.89377,1.89347,1.89369,0,0
1773434100,1.89369,1.89389,1.89346,1.89352,0,0
1773434400,1.89352,1.89367,1.89332,1.89338,0,0
1773434700,1.89338,1.89389,1.89338,1.89389,0,0
1773435000,1.89389,1.894,1.8935,1.89364,0,0
1773435300,1.89364,1.89377,1.89355,1.89358,0,0
