time,open,high,low,close,"Pattern Alert",Volume
1774818000,1.83992,1.83992,1.83957,1.83965,0,0
1774818300,1.83965,1.84037,1.83964,1.84009,0,0
1774818600,1.84009,1.84024,1.83994,1.84017,0,0
1774818900,1.84017,1.84032,1.84014,1.84031,0,0
1774819200,1.84031,1.84032,1.84024,1.84027,0,0
1774819500,1.84027,1.84048,1.84026,1.84048,0,0
1774819800,1.84048,1.84096,1.84048,1.84095,0,0
1774820100,1.84095,1.84107,1.8401,1.84019,0,0
1774820400,1.84019,1.84048,1.84014,1.84025,0,0
1774820700,1.84025,1.8409,1.84025,1.84084,0,0
1774821000,1.84084,1.84111,1.84052,1.84094,0,0
1774821300,1.84094,1.84137,1.84061,1.84084,0,0
1774821600,1.84084,1.8419,1.8408,1.84093,0,0
1774821900,1.84093,1.84113,1.84006,1.84039,0,0
1774822200,1.84039,1.84057,1.83994,1.84041,0,0
1774822500,1.84041,1.8405,1.84016,1.8405,0,0
1774822800,1.8405,1.84104,1.84049,1.8407,0,0
1774823100,1.8407,1.84077,1.84048,1.84051,0,0
1774823400,1.84051,1.84055,1.84016,1.84028,0,0
1774823700,1.84028,1.84036,1.83965,1.83981,0,0
1774824000,1.83981,1.83992,1.83973,1.83975,0,0
1774824300,1.83975,1.83996,1.83973,1.83993,0,0
1774824600,1.83993,1.84002,1.83984,1.83989,0,0
1774824900,1.83989,1.8402,1.83988,1.83998,0,0
1774825200,1.83998,1.8403,1.83992,1.84007,0,0
1774825500,1.84007,1.84029,1.83974,1.83977,0,0
1774825800,1.83977,1.83989,1.83974,1.83985,0,0
1774826100,1.83985,1.84031,1.83985,1.84023,0,0
1774826400,1.84023,1.84038,1.84019,1.84037,0,0
1774826700,1.84037,1.84071,1.84036,1.84071,0,0
1774827000,1.84071,1.84071,1.84027,1.84027,0,0
1774827300,1.84027,1.84032,1.84002,1.84002,0,0
1774827600,1.84002,1.84014,1.83985,1.84013,0,0
1774827900,1.84013,1.84027,1.83966,1.83998,0,0
1774828200,1.83998,1.84004,1.83972,1.83983,0,0
1774828500,1.83983,1.83998,1.83961,1.8399,0,0
1774828800,1.8399,1.84008,1.83945,1.83987,0,0
1774829100,1.83987,1.8404,1.83986,1.84011,0,0
1774829400,1.84011,1.84017,1.83976,1.83983,0,0
1774829700,1.83983,1.84098,1.83973,1.84091,0,0
1774830000,1.84091,1.84144,1.84062,1.84077,0,0
1774830300,1.84077,1.8415,1.84067,1.8409,0,0
1774830600,1.8409,1.8413,1.84082,1.84117,0,0
1774830900,1.84117,1.84128,1.84082,1.84085,0,0
1774831200,1.84085,1.84096,1.84069,1.84083,0,0
1774831500,1.84083,1.84083,1.84055,1.84067,0,0
1774831800,1.84067,1.84067,1.84006,1.84017,0,0
1774832100,1.84017,1.84043,1.84005,1.84022,0,0
1774832400,1.84022,1.84105,1.84022,1.84088,0,0
1774832700,1.84088,1.84091,1.84056,1.8407,0,0
1774833000,1.8407,1.84093,1.84069,1.84083,0,0
1774833300,1.84083,1.84093,1.84039,1.8404,0,0
1774833600,1.8404,1.84045,1.8401,1.84011,0,0
1774833900,1.84011,1.84041,1.84006,1.84037,0,0
1774834200,1.84037,1.84047,1.8402,1.84043,0,0
1774834500,1.84043,1.84059,1.84005,1.84005,0,0
1774834800,1.84005,1.84038,1.83991,1.84034,0,0
1774835100,1.84034,1.84058,1.84029,1.84036,0,0
