time,open,high,low,close,"Pattern Alert",Volume
1788892200,1.0958,1.09588,1.09571,1.09576,0,0
1788892500,1.09576,1.09583,1.09569,1.09581,0,0
1788892800,1.09581,1.09586,1.09578,1.09585,0,0
1788893100,1.09585,1.09622,1.09584,1.09616,0,0
1788893400,1.09616,1.09621,1.09603,1.09603,0,0
1788893700,1.09603,1.09622,1.09579,1.09585,0,0
1788894000,1.09585,1.09599,1.09579,1.09586,0,0
1788894300,1.09586,1.09603,1.09581,1.09603,0,0
1788894600,1.09603,1.09613,1.09603,1.09607,0,0
1788894900,1.09607,1.0962,1.09604,1.09616,0,0
1788895200,1.09616,1.09617,1.09598,1.09599,0,0
1788895500,1.09599,1.0961,1.09596,1.09603,0,0
1788895800,1.09603,1.09609,1.09595,1.096,0,0
1788896100,1.096,1.09602,1.09575,1.09578,0,0
1788896400,1.09578,1.09582,1.09575,1.09577,0,0
1788896700,1.09577,1.09588,1.09571,1.09587,0,0
1788897000,1.09587,1.09613,1.09587,1.09609,0,0
1788897300,1.09609,1.09638,1.09608,1.09629,0,0
1788897600,1.09629,1.09633,1.09619,1.0963,0,0
1788897900,1.0963,1.09631,1.09622,1.0963,0,0
1788898200,1.0963,1.09631,1.09618,1.09619,0,0
1788898500,1.09619,1.09623,1.09611,1.09615,0,0
1788898800,1.09615,1.09626,1.09614,1.09624,0,0
1788899100,1.09624,1.09627,1.09611,1.09617,0,0
1788899400,1.09617,1.09632,1.09613,1.09625,0,0
1788899700,1.09625,1.09632,1.0962,1.09629,0,0
1788900000,1.09629,1.09633,1.09624,1.09627,0,0
1788900300,1.09627,1.09627,1.09615,1.0962,0,0
1788900600,1.0962,1.09628,1.09619,1.09624,0,0
1788900900,1.09624,1.09624,1.09597,1.09597,0,0
1788901200,1.09597,1.09597,1.09455,1.09455,0,0
1788901500,1.09455,1.09455,1.09434,1.09444,0,0
1788901800,1.09444,1.09454,1.09436,1.09444,0,0
1788902100,1.09444,1.09454,1.09442,1.09447,0,0
1788902400,1.09447,1.09447,1.09406,1.09409,0,0
1788902700,1.09409,1.0942,1.09397,1.09417,0,0
1788903000,1.09417,1.09417,1.09401,1.09415,0,0
1788903300,1.09415,1.0944,1.09412,1.09432,0,0
1788903600,1.09432,1.09443,1.0943,1.09441,0,0
1788903900,1.09441,1.09446,1.09421,1.09422,0,0
1788904200,1.09422,1.0943,1.09407,1.09415,0,0
1788904500,1.09415,1.09437,1.09399,1.09436,0,0
1788904800,1.09436,1.09595,1.09436,1.09588,0,0
1788905100,1.09588,1.0959,1.09582,1.09588,0,0
1788905400,1.09588,1.09593,1.09587,1.09588,0,0
1788905700,1.09588,1.09592,1.09582,1.09592,0,0
1788906000,1.09592,1.09592,1.09583,1.09589,0,0
1788906300,1.09589,1.09589,1.09577,1.09577,0,0
1788906600,1.09577,1.09584,1.09574,1.09583,0,0
1788906900,1.09583,1.09584,1.09578,1.09582,0,0
1788907200,1.09582,1.09593,1.0958,1.09592,0,0
1788907500,1.09592,1.09593,1.09586,1.09587,0,0
1788907800,1.09587,1.09592,1.09586,1.0959,0,0
1788908100,1.0959,1.09593,1.09586,1.09587,0,0
1788908400,1.09587,1.09588,1.0958,1.09583,0,0
1788908700,1.09583,1.09584,1.09567,1.09567,0,0
1788909000,1.09567,1.09568,1.09557,1.09568,0,0
1788909300,1.09568,1.09568,1.09558,1.09559,0,0
1788909600,1.09559,1.09565,1.09557,1.09562,0,0
1788909900,1.09562,1.09567,1.09557,1.09557,0,0
1788910200,1.09557,1.09565,1.09557,1.09565,0,0
1788910500,1.09565,1.09565,1.0955,1.09552,0,0
1788910800,1.09552,1.09554,1.09535,1.09537,0,0
1788911100,1.09537,1.09556,1.09535,1.0955,0,0
1788911400,1.0955,1.09574,1.0955,1.09567,0,0
1788911700,1.09567,1.09574,1.09565,1.09571,0,0
1788912000,1.09571,1.09574,1.09553,1.09553,0,0
1788912300,1.09553,1.09561,1.0955,1.09558,0,0
1788912600,1.09558,1.09562,1.09545,1.09547,0,0
1788912900,1.09547,1.09553,1.09541,1.09551,0,0
1788913200,1.09551,1.09565,1.09549,1.09562,0,0
1788913500,1.09562,1.09566,1.09557,1.09557,0,0
