time,open,high,low,close,"Pattern Alert",Volume
1773858600,212.479,212.526,212.472,212.488,0,0
1773858900,212.488,212.593,212.484,212.491,0,0
1773859200,212.491,212.543,212.446,212.451,0,0
1773859500,212.451,212.462,212.371,212.397,0,0
1773859800,212.397,212.413,212.346,212.378,0,0
1773860100,212.378,212.384,212.262,212.265,0,0
1773860400,212.265,212.322,212.234,212.309,0,0
1773860700,212.309,212.311,212.27,212.283,0,0
1773861000,212.283,212.283,212.223,212.258,0,0
1773861300,212.258,212.291,212.241,212.253,0,0
1773861600,212.253,212.305,212.218,212.236,0,0
1773861900,212.236,212.267,212.231,212.26,0,0
1773862200,212.26,212.312,212.235,212.31,0,0
1773862500,212.31,212.313,212.272,212.278,0,0
1773862800,212.278,212.301,212.224,212.229,0,0
1773863100,212.229,212.239,212.175,212.214,0,0
1773863400,212.214,212.248,212.121,212.142,0,0
1773863700,212.142,212.212,212.12,212.194,0,0
1773864000,212.194,212.222,212.17,212.222,0,0
1773864300,212.222,212.225,212.174,212.174,0,0
1773864600,212.174,212.199,212.018,212.031,0,0
1773864900,212.031,212.043,211.959,211.959,0,0
1773865200,211.959,212.008,211.932,211.955,0,0
1773865500,211.955,211.97,211.933,211.957,0,0
1773865800,211.957,211.971,211.916,211.918,0,0
1773866100,211.918,211.962,211.894,211.937,0,0
1773866400,211.937,211.937,211.901,211.921,0,0
1773866700,211.921,211.981,211.919,211.942,0,0
1773867000,211.942,211.952,211.891,211.902,0,0
1773867300,211.902,211.946,211.892,211.916,0,0
1773867600,211.916,211.916,211.86,211.88,0,0
1773867900,211.88,211.88,211.813,211.844,0,0
1773868200,211.844,211.863,211.77,211.788,0,0
1773868500,211.788,211.912,211.774,211.912,0,0
1773868800,211.912,211.95,211.839,211.883,0,0
1773869100,211.883,211.94,211.883,211.921,0,0
1773869400,211.921,211.924,211.896,211.897,0,0
1773869700,211.897,211.945,211.885,211.921,0,0
1773870000,211.921,211.932,211.872,211.915,0,0
1773870300,211.915,211.915,211.894,211.902,0,0
1773870600,211.902,211.924,211.826,211.91,0,0
1773870900,211.91,211.91,211.862,211.863,0,0
1773871200,211.863,211.916,211.825,211.828,0,0
1773871500,211.828,211.852,211.801,211.841,0,0
1773871800,211.841,211.86,211.79,211.801,0,0
1773872100,211.801,211.832,211.791,211.819,0,0
1773872400,211.819,211.838,211.8,211.813,0,0
1773872700,211.813,211.853,211.799,211.853,0,0
1773873000,211.853,211.858,211.808,211.82,0,0
1773873300,211.82,211.824,211.81,211.819,0,0
1773873600,211.819,211.824,211.805,211.807,0,0
1773873900,211.807,211.837,211.807,211.832,0,0
1773874200,211.832,211.86,211.825,211.855,0,0
1773874500,211.855,211.863,211.831,211.84,0,0
1773874800,211.84,211.877,211.829,211.872,0,0
1773875100,211.872,211.916,211.866,211.911,0,0
1773875400,211.911,211.935,211.892,211.898,0,0
1773875700,211.898,211.928,211.898,211.914,0,0
1773876000,211.914,211.928,211.91,211.911,0,0
1773876300,211.911,211.916,211.882,211.895,0,0
1773876600,211.895,211.923,211.878,211.923,0,0
1773876900,211.923,211.924,211.889,211.921,0,0
1773877200,211.921,211.957,211.913,211.913,0,0
1773877500,211.913,211.959,211.912,211.959,0,0
1773877800,211.959,211.983,211.948,211.957,0,0
1773878100,211.957,211.986,211.937,211.978,0,0
1773878400,211.978,212.024,211.964,212.022,0,0
1773878700,212.022,212.037,211.993,212.001,0,0
1773879000,212.001,212.033,211.985,212.033,0,0
1773879300,212.033,212.066,212.005,212.058,0,0
1773879600,212.058,212.089,211.969,211.99,0,0
1773879900,211.99,212.043,211.986,212.036,0,0
1773880200,212.036,212.085,212.029,212.049,0,0
1773880500,212.049,212.057,212.013,212.027,0,0
1773880800,212.027,212.04,211.977,211.988,0,0
1773881100,211.988,212.051,211.978,212.001,0,0
1773881400,212.001,212.101,211.974,212.101,0,0
1773881700,212.101,212.266,212.086,212.262,0,0
1773882000,212.262,212.343,212.253,212.26,0,0
1773882300,212.26,212.314,212.245,212.264,0,0
1773882600,212.264,212.264,212.157,212.158,0,0
1773882900,212.158,212.203,212.142,212.171,0,0
1773883200,212.171,212.206,212.153,212.196,0,0
1773883500,212.196,212.197,212.166,212.192,0,0
1773883800,212.192,212.192,212.071,212.081,0,0
1773884100,212.081,212.132,212.069,212.12,0,0
1773884400,212.12,212.15,212.113,212.135,0,0
1773884700,212.135,212.156,212.128,212.133,0,0
1773885000,212.133,212.153,212.129,212.13,0,0
1773885300,212.13,212.134,212.074,212.08,0,0
1773885600,212.08,212.082,211.987,212.019,0,0
1773885900,212.019,212.125,211.996,212.125,0,0
1773886200,212.125,212.165,212.101,212.133,0,0
1773886500,212.133,212.184,212.133,212.175,0,0
1773886800,212.175,212.212,212.16,212.208,0,0
1773887100,212.208,212.21,212.179,212.192,0,0
1773887400,212.192,212.195,212.162,212.187,0,0
1773887700,212.187,212.201,212.137,212.161,0,0
1773888000,212.161,212.186,212.134,212.155,0,0
1773888300,212.155,212.216,212.111,212.164,0,0
1773888600,212.164,212.234,212.159,212.159,0,0
1773888900,212.159,212.159,212.097,212.141,0,0
1773889200,212.141,212.166,212.129,212.152,0,0
1773889500,212.152,212.164,212.108,212.154,0,0
1773889800,212.154,212.183,212.151,212.175,0,0
1773890100,212.175,212.209,212.146,212.149,0,0
1773890400,212.149,212.184,212.149,212.18,0,0
1773890700,212.18,212.207,212.172,212.204,0,0
1773891000,212.204,212.204,212.152,212.163,0,0
1773891300,212.163,212.168,212.133,212.158,0,0
1773891600,212.158,212.167,212.133,212.133,0,0
1773891900,212.133,212.135,212.068,212.087,0,0
1773892200,212.087,212.091,212.048,212.05,0,0
1773892500,212.05,212.05,212,212.01,0,0
1773892800,212.01,212.01,211.97,211.971,0,0
1773893100,211.971,211.972,211.914,211.915,0,0
1773893400,211.915,211.915,211.89,211.902,0,0
1773893700,211.902,211.916,211.855,211.865,0,0
1773894000,211.865,211.944,211.863,211.907,0,0
1773894300,211.907,211.924,211.891,211.919,0,0
1773894600,211.919,211.923,211.874,211.874,0,0
1773894900,211.874,211.882,211.857,211.858,0,0
1773895200,211.858,211.87,211.826,211.87,0,0
1773895500,211.87,211.894,211.846,211.846,0,0
1773895800,211.846,211.904,211.841,211.897,0,0
1773896100,211.897,211.917,211.876,211.897,0,0
1773896400,211.897,211.899,211.878,211.892,0,0
1773896700,211.892,211.926,211.881,211.915,0,0
1773897000,211.915,211.922,211.899,211.913,0,0
1773897300,211.913,211.942,211.911,211.934,0,0
1773897600,211.934,211.972,211.932,211.945,0,0
1773897900,211.945,211.948,211.902,211.91,0,0
1773898200,211.91,211.91,211.872,211.876,0,0
1773898500,211.876,211.916,211.876,211.881,0,0
1773898800,211.881,211.902,211.861,211.873,0,0
1773899100,211.873,211.923,211.873,211.921,0,0
1773899400,211.921,211.938,211.876,211.895,0,0
1773899700,211.895,211.909,211.817,211.831,0,0
1773900000,211.831,211.888,211.831,211.888,0,0
1773900300,211.888,211.915,211.877,211.888,0,0
1773900600,211.888,211.95,211.888,211.947,0,0
1773900900,211.947,211.995,211.929,211.93,0,0
1773901200,211.93,211.942,211.919,211.935,0,0
1773901500,211.935,211.939,211.903,211.922,0,0
1773901800,211.922,211.936,211.77,211.842,0,0
1773902100,211.842,211.866,211.767,211.834,0,0
1773902400,211.834,211.93,211.807,211.91,0,0
1773902700,211.91,211.943,211.86,211.909,0,0
1773903000,211.909,211.96,211.898,211.899,0,0
1773903300,211.899,211.927,211.825,211.844,0,0
1773903600,211.844,211.852,211.572,211.592,0,0
1773903900,211.592,211.601,211.249,211.493,0,0
1773904200,211.493,211.517,211.38,211.517,0,0
1773904500,211.517,211.605,211.458,211.555,0,0
1773904800,211.555,211.561,211.359,211.416,0,0
1773905100,211.416,211.474,211.377,211.455,0,0
1773905400,211.455,211.494,211.424,211.482,0,0
1773905700,211.482,211.635,211.482,211.608,0,0
1773906000,211.608,211.639,211.493,211.512,0,0
1773906300,211.512,211.647,211.493,211.544,0,0
1773906600,211.544,211.56,211.461,211.472,0,0
1773906900,211.472,211.472,211.159,211.216,0,0
1773907200,211.216,211.295,210.981,211.036,0,0
1773907500,211.036,211.088,210.929,210.961,0,0
1773907800,210.961,211.003,210.847,210.935,0,0
1773908100,210.935,211.07,210.935,211.038,0,0
1773908400,211.038,211.159,211.017,211.133,0,0
1773908700,211.133,211.133,211.005,211.079,0,0
1773909000,211.079,211.199,211.079,211.108,0,0
1773909300,211.108,211.262,211.103,211.241,0,0
1773909600,211.241,211.244,211.075,211.075,0,0
1773909900,211.075,211.123,211.05,211.05,0,0
1773910200,211.05,211.086,210.996,211.029,0,0
1773910500,211.029,211.068,210.959,210.968,0,0
1773910800,210.968,211.086,210.967,211.041,0,0
1773911100,211.041,211.164,211.003,211.031,0,0
1773911400,211.031,211.109,210.977,211.029,0,0
1773911700,211.029,211.206,211.021,211.185,0,0
1773912000,211.185,211.377,211.146,211.296,0,0
1773912300,211.296,211.332,211.186,211.214,0,0
1773912600,211.214,211.219,211.124,211.161,0,0
1773912900,211.161,211.255,211.135,211.21,0,0
1773913200,211.21,211.318,211.192,211.318,0,0
1773913500,211.318,211.4,211.287,211.351,0,0
1773913800,211.351,211.508,211.338,211.503,0,0
1773914100,211.503,211.519,211.409,211.428,0,0
1773914400,211.428,211.436,211.371,211.406,0,0
1773914700,211.406,211.453,211.38,211.396,0,0
1773915000,211.396,211.422,211.374,211.382,0,0
1773915300,211.382,211.397,211.304,211.313,0,0
1773915600,211.313,211.385,211.264,211.381,0,0
1773915900,211.381,211.406,211.328,211.334,0,0
1773916200,211.334,211.335,211.241,211.316,0,0
1773916500,211.316,211.369,211.272,211.365,0,0
1773916800,211.365,211.371,211.278,211.278,0,0
1773917100,211.278,211.368,211.271,211.367,0,0
1773917400,211.367,211.44,211.367,211.383,0,0
1773917700,211.383,211.383,211.286,211.298,0,0
1773918000,211.298,211.391,211.295,211.365,0,0
1773918300,211.365,211.383,211.337,211.341,0,0
1773918600,211.341,211.368,211.318,211.318,0,0
1773918900,211.318,211.335,211.265,211.324,0,0
1773919200,211.324,211.325,211.2,211.211,0,0
1773919500,211.211,211.236,211.183,211.221,0,0
1773919800,211.221,211.271,211.203,211.265,0,0
1773920100,211.265,211.278,211.231,211.236,0,0
1773920400,211.236,211.291,211.22,211.234,0,0
1773920700,211.234,211.247,211.15,211.247,0,0
1773921000,211.247,211.375,211.235,211.359,0,0
1773921300,211.359,211.438,211.337,211.42,0,0
1773921600,211.42,211.69,211.328,211.405,0,0
1773921900,211.405,211.589,211.358,211.566,0,0
1773922200,211.566,211.676,211.498,211.535,0,0
1773922500,211.535,211.607,211.512,211.562,0,0
