time,open,high,low,close,"Pattern Alert",Volume
1790101800,1.33359,1.33369,1.33341,1.33344,0,0
1790102100,1.33344,1.3336,1.33336,1.33346,0,0
1790102400,1.33346,1.33356,1.33337,1.33355,0,0
1790102700,1.33355,1.33368,1.33348,1.33358,0,0
1790103000,1.33358,1.33365,1.33342,1.33343,0,0
1790103300,1.33343,1.33347,1.33323,1.33347,0,0
1790103600,1.33347,1.33358,1.33339,1.33349,0,0
1790103900,1.33349,1.33369,1.33348,1.33365,0,0
1790104200,1.33365,1.33379,1.33364,1.33379,0,0
1790104500,1.33379,1.33397,1.33379,1.33396,0,0
1790104800,1.33396,1.33399,1.33383,1.33397,0,0
1790105100,1.33397,1.33426,1.33397,1.33419,0,0
1790105400,1.33419,1.33465,1.33417,1.33465,0,0
1790105700,1.33465,1.33491,1.33462,1.33485,0,0
1790106000,1.33485,1.33488,1.33456,1.33464,0,0
1790106300,1.33464,1.33471,1.33445,1.33456,0,0
1790106600,1.33456,1.33456,1.33428,1.33428,0,0
1790106900,1.33428,1.33439,1.33423,1.33427,0,0
1790107200,1.33427,1.33448,1.33427,1.33439,0,0
1790107500,1.33439,1.33459,1.33437,1.33455,0,0
1790107800,1.33455,1.33457,1.33428,1.33429,0,0
1790108100,1.33429,1.33431,1.33423,1.33425,0,0
1790108400,1.33425,1.3343,1.33409,1.33429,0,0
1790108700,1.33429,1.33438,1.33425,1.33436,0,0
1790109000,1.33436,1.33439,1.33426,1.33428,0,0
1790109300,1.33428,1.33438,1.33428,1.33436,0,0
1790109600,1.33436,1.33438,1.33434,1.33434,0,0
1790109900,1.33434,1.33434,1.33422,1.33434,0,0
1790110200,1.33434,1.33436,1.33428,1.33433,0,0
1790110500,1.33433,1.33449,1.33427,1.33431,0,0
1790110800,1.33431,1.33431,1.33424,1.33424,0,0
1790111100,1.33424,1.33424,1.33401,1.33413,0,0
1790111400,1.33413,1.33413,1.33411,1.33413,0,0
1790111700,1.33413,1.33413,1.33405,1.33411,0,0
1790112000,1.33411,1.33411,1.33374,1.33384,0,0
1790112300,1.33384,1.33388,1.33384,1.33387,0,0
1790112600,1.33387,1.33435,1.33385,1.33432,0,0
1790112900,1.33432,1.33454,1.33429,1.33451,0,0
1790113200,1.33451,1.33456,1.33448,1.33452,0,0
1790113500,1.33452,1.33453,1.33385,1.33412,0,0
1790113800,1.33412,1.33433,1.33409,1.33412,0,0
1790114100,1.33412,1.3342,1.33382,1.33386,0,0
