time,open,high,low,close,"Pattern Alert",Volume
1774213200,1.37136,1.37136,1.37111,1.37114,0,0
1774213500,1.37114,1.37129,1.37114,1.37125,0,0
1774213800,1.37125,1.37134,1.37124,1.37126,0,0
1774214100,1.37126,1.37132,1.37121,1.37129,0,0
1774214400,1.37129,1.37143,1.37125,1.37139,0,0
1774214700,1.37139,1.37168,1.37135,1.3714,0,0
1774215000,1.3714,1.37165,1.3714,1.37161,0,0
1774215300,1.37161,1.37184,1.37157,1.37183,0,0
1774215600,1.37183,1.37195,1.37182,1.37195,0,0
1774215900,1.37195,1.37201,1.37188,1.372,0,0
1774216200,1.372,1.37204,1.37138,1.37138,0,0
1774216500,1.37138,1.3714,1.37112,1.37112,0,0
1774216800,1.37112,1.37274,1.3711,1.37267,0,0
1774217100,1.37267,1.37291,1.3726,1.37273,0,0
1774217400,1.37273,1.37313,1.37264,1.37287,0,0
1774217700,1.37287,1.37319,1.37265,1.37282,0,0
1774218000,1.37282,1.37282,1.3723,1.37244,0,0
1774218300,1.37244,1.37263,1.37236,1.37258,0,0
1774218600,1.37258,1.3727,1.37236,1.37263,0,0
1774218900,1.37263,1.37284,1.37255,1.37268,0,0
1774219200,1.37268,1.37288,1.37263,1.37284,0,0
1774219500,1.37284,1.37285,1.37265,1.37266,0,0
1774219800,1.37266,1.37268,1.37246,1.37246,0,0
1774220100,1.37246,1.37265,1.3723,1.37257,0,0
1774220400,1.37257,1.37265,1.37236,1.37245,0,0
1774220700,1.37245,1.37248,1.3723,1.37231,0,0
1774221000,1.37231,1.37232,1.37215,1.3722,0,0
1774221300,1.3722,1.37222,1.37185,1.37195,0,0
1774221600,1.37195,1.37199,1.37165,1.37167,0,0
1774221900,1.37167,1.37188,1.37107,1.37107,0,0
1774222200,1.37107,1.3716,1.37102,1.37132,0,0
1774222500,1.37132,1.3716,1.37132,1.37154,0,0
1774222800,1.37154,1.37155,1.37063,1.37063,0,0
1774223100,1.37063,1.37113,1.37049,1.37113,0,0
1774223400,1.37113,1.37139,1.37106,1.37136,0,0
1774223700,1.37136,1.37136,1.37084,1.37091,0,0
1774224000,1.37091,1.37159,1.37069,1.37146,0,0
1774224300,1.37146,1.37177,1.37107,1.37136,0,0
1774224600,1.37136,1.37137,1.37098,1.37124,0,0
1774224900,1.37124,1.37164,1.37123,1.37153,0,0
1774225200,1.37153,1.37166,1.37123,1.37163,0,0
1774225500,1.37163,1.37172,1.37142,1.37171,0,0
1774225800,1.37171,1.3721,1.37163,1.37208,0,0
1774226100,1.37208,1.37257,1.37207,1.37217,0,0
1774226400,1.37217,1.37256,1.37217,1.37236,0,0
1774226700,1.37236,1.3724,1.37206,1.37218,0,0
1774227000,1.37218,1.3724,1.37193,1.3723,0,0
1774227300,1.3723,1.37231,1.37175,1.37201,0,0
1774227600,1.37201,1.37203,1.37133,1.37134,0,0
1774227900,1.37134,1.37145,1.37069,1.3709,0,0
1774228200,1.3709,1.371,1.37069,1.37077,0,0
1774228500,1.37077,1.37078,1.3704,1.37048,0,0
1774228800,1.37048,1.37078,1.37048,1.37078,0,0
1774229100,1.37078,1.37082,1.37068,1.37076,0,0
1774229400,1.37076,1.371,1.37039,1.3707,0,0
1774229700,1.3707,1.371,1.37044,1.37068,0,0
1774230000,1.37068,1.37077,1.37056,1.37057,0,0
1774230300,1.37057,1.37075,1.37051,1.37067,0,0
1774230600,1.37067,1.37081,1.37047,1.37072,0,0
1774230900,1.37072,1.37099,1.37066,1.37088,0,0
1774231200,1.37088,1.37092,1.37036,1.3704,0,0
1774231500,1.3704,1.37041,1.37006,1.37038,0,0
1774231800,1.37038,1.37108,1.37038,1.37087,0,0
1774232100,1.37087,1.37097,1.37061,1.37086,0,0
1774232400,1.37086,1.37099,1.37072,1.37098,0,0
1774232700,1.37098,1.37099,1.37076,1.37077,0,0
1774233000,1.37077,1.37124,1.37077,1.37114,0,0
1774233300,1.37114,1.37123,1.37097,1.37114,0,0
1774233600,1.37114,1.37116,1.3707,1.37079,0,0
1774233900,1.37079,1.37123,1.37079,1.37123,0,0
1774234200,1.37123,1.37179,1.37116,1.37165,0,0
1774234500,1.37165,1.37171,1.37136,1.37146,0,0
1774234800,1.37146,1.37167,1.37131,1.37142,0,0
1774235100,1.37142,1.37159,1.37136,1.37154,0,0
1774235400,1.37154,1.37177,1.37154,1.37154,0,0
1774235700,1.37154,1.37154,1.37119,1.37129,0,0
1774236000,1.37129,1.37131,1.37113,1.37127,0,0
1774236300,1.37127,1.37137,1.37116,1.37128,0,0
1774236600,1.37128,1.37129,1.37108,1.37108,0,0
1774236900,1.37108,1.37131,1.37108,1.37131,0,0
1774237200,1.37131,1.37146,1.37125,1.37134,0,0
1774237500,1.37134,1.37147,1.37128,1.37128,0,0
1774237800,1.37128,1.37147,1.37119,1.37145,0,0
1774238100,1.37145,1.37166,1.37143,1.37163,0,0
1774238400,1.37163,1.37165,1.37135,1.37163,0,0
1774238700,1.37163,1.37164,1.37143,1.37151,0,0
1774239000,1.37151,1.37162,1.37146,1.37155,0,0
1774239300,1.37155,1.3716,1.37135,1.37142,0,0
1774239600,1.37142,1.37153,1.37142,1.37144,0,0
1774239900,1.37144,1.37163,1.37142,1.37163,0,0
1774240200,1.37163,1.37178,1.37163,1.37164,0,0
1774240500,1.37164,1.37171,1.37151,1.37155,0,0
1774240800,1.37155,1.37166,1.37154,1.37165,0,0
