time,open,high,low,close,"Pattern Alert",Volume
1773858600,0.79022,0.79099,0.79013,0.79071,0,0
1773858900,0.79071,0.79126,0.79029,0.79126,0,0
1773859200,0.79126,0.79134,0.7908,0.79134,0,0
1773859500,0.79134,0.7916,0.7913,0.79152,0,0
1773859800,0.79152,0.79176,0.79143,0.79167,0,0
1773860100,0.79167,0.79217,0.79157,0.79217,0,0
1773860400,0.79217,0.79233,0.79191,0.79192,0,0
1773860700,0.79192,0.79206,0.79178,0.7918,0,0
1773861000,0.7918,0.79224,0.7918,0.79219,0,0
1773861300,0.79219,0.79225,0.79207,0.79225,0,0
1773861600,0.79225,0.7925,0.79207,0.79245,0,0
1773861900,0.79245,0.79252,0.7923,0.7924,0,0
1773862200,0.7924,0.79242,0.79209,0.79209,0,0
1773862500,0.79209,0.79224,0.79205,0.79217,0,0
1773862800,0.79217,0.79243,0.79215,0.79242,0,0
1773863100,0.79242,0.79259,0.79239,0.79252,0,0
1773863400,0.79252,0.7927,0.79237,0.79269,0,0
1773863700,0.79269,0.79285,0.79261,0.7928,0,0
1773864000,0.7928,0.79286,0.79259,0.79265,0,0
1773864300,0.79265,0.7928,0.79264,0.79272,0,0
1773864600,0.79272,0.79295,0.79258,0.79293,0,0
1773864900,0.79293,0.79319,0.79289,0.79319,0,0
1773865200,0.79319,0.79337,0.79292,0.79337,0,0
1773865500,0.79337,0.79357,0.79336,0.79352,0,0
1773865800,0.79352,0.79355,0.79344,0.79353,0,0
1773866100,0.79353,0.79355,0.7934,0.79342,0,0
1773866400,0.79342,0.79342,0.79313,0.79313,0,0
1773866700,0.79313,0.79325,0.79309,0.79323,0,0
1773867000,0.79323,0.79344,0.79321,0.79336,0,0
1773867300,0.79336,0.79337,0.79319,0.79319,0,0
1773867600,0.79319,0.79319,0.79306,0.7931,0,0
1773867900,0.7931,0.79312,0.79305,0.79308,0,0
1773868200,0.79308,0.79313,0.79227,0.79227,0,0
1773868500,0.79227,0.79231,0.79212,0.79217,0,0
1773868800,0.79217,0.79217,0.79189,0.79195,0,0
1773869100,0.79195,0.79209,0.79195,0.79196,0,0
1773869400,0.79196,0.79206,0.79196,0.79202,0,0
1773869700,0.79202,0.79209,0.79201,0.79202,0,0
1773870000,0.79202,0.79205,0.79198,0.79201,0,0
1773870300,0.79201,0.79212,0.79197,0.7921,0,0
1773870600,0.7921,0.7921,0.792,0.792,0,0
1773870900,0.792,0.79208,0.79197,0.79203,0,0
1773871200,0.79203,0.79268,0.79203,0.79265,0,0
1773871500,0.79265,0.79287,0.79261,0.79286,0,0
1773871800,0.79286,0.7931,0.79284,0.7931,0,0
1773872100,0.7931,0.79314,0.79293,0.79306,0,0
1773872400,0.79306,0.79316,0.79302,0.79302,0,0
1773872700,0.79302,0.79305,0.79293,0.79303,0,0
1773873000,0.79303,0.79308,0.79294,0.79306,0,0
1773873300,0.79306,0.79306,0.79284,0.79286,0,0
1773873600,0.79286,0.79295,0.79278,0.79281,0,0
1773873900,0.79281,0.79283,0.79277,0.79281,0,0
1773874200,0.79281,0.79285,0.79273,0.79279,0,0
1773874500,0.79279,0.79287,0.79277,0.79283,0,0
1773874800,0.79283,0.79295,0.79267,0.79268,0,0
1773875100,0.79268,0.79278,0.79263,0.79278,0,0
1773875400,0.79278,0.79285,0.79273,0.79275,0,0
1773875700,0.79275,0.79286,0.79272,0.7928,0,0
1773876000,0.7928,0.79281,0.79264,0.79264,0,0
1773876300,0.79264,0.79268,0.79254,0.79254,0,0
1773876600,0.79254,0.79263,0.79252,0.7926,0,0
1773876900,0.7926,0.79268,0.79258,0.79258,0,0
1773877200,0.79258,0.79281,0.79244,0.79281,0,0
1773877500,0.79281,0.7929,0.79243,0.79245,0,0
1773877800,0.79245,0.79265,0.79244,0.7926,0,0
1773878100,0.7926,0.79269,0.79255,0.79268,0,0
1773878400,0.79268,0.79276,0.79232,0.79233,0,0
1773878700,0.79233,0.79237,0.79221,0.79237,0,0
1773879000,0.79237,0.79254,0.79235,0.79242,0,0
1773879300,0.79242,0.79247,0.79235,0.79241,0,0
1773879600,0.79241,0.79258,0.79235,0.79241,0,0
1773879900,0.79241,0.79246,0.79217,0.79218,0,0
1773880200,0.79218,0.79237,0.79202,0.79237,0,0
1773880500,0.79237,0.79237,0.79217,0.79225,0,0
1773880800,0.79225,0.79243,0.79221,0.7924,0,0
1773881100,0.7924,0.7924,0.792,0.79208,0,0
1773881400,0.79208,0.79233,0.79208,0.79213,0,0
1773881700,0.79213,0.79224,0.79196,0.79197,0,0
1773882000,0.79197,0.79207,0.79185,0.79201,0,0
1773882300,0.79201,0.79211,0.79195,0.79199,0,0
1773882600,0.79199,0.79206,0.79185,0.79192,0,0
1773882900,0.79192,0.79199,0.79178,0.79186,0,0
1773883200,0.79186,0.79201,0.79186,0.79192,0,0
1773883500,0.79192,0.79193,0.7916,0.79162,0,0
1773883800,0.79162,0.79178,0.79155,0.79155,0,0
1773884100,0.79155,0.79157,0.79136,0.79141,0,0
1773884400,0.79141,0.79152,0.79134,0.79148,0,0
1773884700,0.79148,0.79166,0.79148,0.79151,0,0
1773885000,0.79151,0.79161,0.79151,0.79152,0,0
1773885300,0.79152,0.79179,0.79146,0.79179,0,0
1773885600,0.79179,0.79198,0.79179,0.79189,0,0
1773885900,0.79189,0.79206,0.79116,0.79159,0,0
1773886200,0.79159,0.79162,0.79121,0.79126,0,0
1773886500,0.79126,0.79137,0.79108,0.79108,0,0
1773886800,0.79108,0.79127,0.79105,0.79113,0,0
1773887100,0.79113,0.79117,0.79092,0.79104,0,0
1773887400,0.79104,0.79124,0.79104,0.79111,0,0
1773887700,0.79111,0.79119,0.79094,0.79107,0,0
1773888000,0.79107,0.7912,0.79105,0.79114,0,0
1773888300,0.79114,0.7914,0.79112,0.79126,0,0
1773888600,0.79126,0.79159,0.79126,0.79146,0,0
1773888900,0.79146,0.79163,0.79136,0.79162,0,0
1773889200,0.79162,0.79177,0.79155,0.79171,0,0
1773889500,0.79171,0.79193,0.7917,0.79187,0,0
1773889800,0.79187,0.79191,0.79173,0.79176,0,0
1773890100,0.79176,0.79177,0.79164,0.79169,0,0
1773890400,0.79169,0.79174,0.79162,0.7917,0,0
1773890700,0.7917,0.7919,0.7917,0.79177,0,0
1773891000,0.79177,0.79202,0.79177,0.7919,0,0
1773891300,0.7919,0.79209,0.79189,0.79198,0,0
1773891600,0.79198,0.79201,0.79192,0.79201,0,0
1773891900,0.79201,0.79201,0.79189,0.79189,0,0
1773892200,0.79189,0.7921,0.79189,0.7921,0,0
1773892500,0.7921,0.79213,0.79195,0.79203,0,0
1773892800,0.79203,0.7922,0.79203,0.79217,0,0
1773893100,0.79217,0.7923,0.79217,0.7923,0,0
1773893400,0.7923,0.79234,0.7922,0.79221,0,0
1773893700,0.79221,0.79227,0.79214,0.79226,0,0
1773894000,0.79226,0.79232,0.79212,0.79232,0,0
1773894300,0.79232,0.79237,0.79222,0.79232,0,0
1773894600,0.79232,0.79239,0.79225,0.79225,0,0
1773894900,0.79225,0.79251,0.79225,0.7925,0,0
1773895200,0.7925,0.79268,0.7925,0.79255,0,0
1773895500,0.79255,0.79272,0.79252,0.79262,0,0
1773895800,0.79262,0.79267,0.79247,0.79251,0,0
1773896100,0.79251,0.79265,0.79245,0.79261,0,0
1773896400,0.79261,0.79271,0.79255,0.79265,0,0
1773896700,0.79265,0.7927,0.79259,0.79265,0,0
1773897000,0.79265,0.79277,0.79264,0.79269,0,0
