time,open,high,low,close,"Pattern Alert",Volume
1789065000,154.349,154.378,154.346,154.347,0,0
1789065300,154.347,154.353,154.33,154.349,0,0
1789065600,154.349,154.362,154.326,154.329,0,0
1789065900,154.329,154.373,154.328,154.363,0,0
1789066200,154.363,154.37,154.3,154.312,0,0
1789066500,154.312,154.341,154.3,154.316,0,0
1789066800,154.316,154.359,154.316,154.351,0,0
1789067100,154.351,154.356,154.315,154.32,0,0
1789067400,154.32,154.391,154.32,154.384,0,0
1789067700,154.384,154.394,154.348,154.35,0,0
1789068000,154.35,154.351,154.312,154.314,0,0
1789068300,154.314,154.343,154.311,154.338,0,0
1789068600,154.338,154.353,154.311,154.351,0,0
1789068900,154.351,154.354,154.336,154.349,0,0
1789069200,154.349,154.349,154.313,154.338,0,0
1789069500,154.338,154.34,154.308,154.314,0,0
1789069800,154.314,154.331,154.313,154.329,0,0
1789070100,154.329,154.342,154.328,154.34,0,0
1789070400,154.34,154.362,154.336,154.354,0,0
1789070700,154.354,154.379,154.351,154.376,0,0
1789071000,154.376,154.394,154.37,154.393,0,0
1789071300,154.393,154.405,154.393,154.405,0,0
1789071600,154.405,154.413,154.393,154.409,0,0
1789071900,154.409,154.432,154.409,154.426,0,0
1789072200,154.426,154.429,154.42,154.429,0,0
1789072500,154.429,154.436,154.429,154.431,0,0
1789072800,154.431,154.445,154.426,154.44,0,0
1789073100,154.44,154.451,154.429,154.446,0,0
1789073400,154.446,154.476,154.444,154.471,0,0
1789073700,154.471,154.492,154.425,154.429,0,0
1789074000,154.429,154.429,154.374,154.377,0,0
1789074300,154.377,154.382,154.352,154.353,0,0
1789074600,154.353,154.364,154.352,154.36,0,0
1789074900,154.36,154.378,154.347,154.378,0,0
1789075200,154.378,154.383,154.352,154.353,0,0
1789075500,154.353,154.364,154.353,154.355,0,0
1789075800,154.355,154.357,154.351,154.354,0,0
1789076100,154.354,154.37,154.353,154.365,0,0
1789076400,154.365,154.384,154.365,154.38,0,0
1789076700,154.38,154.38,154.37,154.376,0,0
1789077000,154.376,154.378,154.37,154.375,0,0
1789077300,154.375,154.375,154.363,154.363,0,0
1789077600,154.363,154.457,154.363,154.449,0,0
1789077900,154.449,154.468,154.436,154.468,0,0
1789078200,154.468,154.533,154.468,154.525,0,0
1789078500,154.525,154.525,154.484,154.486,0,0
1789078800,154.486,154.486,154.436,154.438,0,0
1789079100,154.438,154.452,154.436,154.438,0,0
1789079400,154.438,154.45,154.389,154.4,0,0
1789079700,154.4,154.421,154.399,154.414,0,0
1789080000,154.414,154.417,154.387,154.416,0,0
1789080300,154.416,154.416,154.386,154.39,0,0
1789080600,154.39,154.404,154.39,154.391,0,0
1789080900,154.391,154.392,154.367,154.378,0,0
1789081200,154.378,154.442,154.365,154.442,0,0
1789081500,154.442,154.46,154.418,154.439,0,0
1789081800,154.439,154.442,154.426,154.429,0,0
1789082100,154.429,154.44,154.423,154.439,0,0
1789082400,154.439,154.502,154.43,154.502,0,0
1789082700,154.502,154.545,154.502,154.542,0,0
1789083000,154.542,154.593,154.534,154.593,0,0
1789083300,154.593,154.606,154.563,154.578,0,0
1789083600,154.578,154.614,154.564,154.564,0,0
1789083900,154.564,154.568,154.486,154.497,0,0
1789084200,154.497,154.548,154.472,154.512,0,0
1789084500,154.512,154.519,154.462,154.464,0,0
1789084800,154.464,154.478,154.361,154.421,0,0
1789085100,154.421,154.421,154.322,154.367,0,0
1789085400,154.367,154.442,154.354,154.442,0,0
1789085700,154.442,154.462,154.383,154.383,0,0
1789086000,154.383,154.489,154.364,154.487,0,0
1789086300,154.487,154.529,154.487,154.506,0,0
1789086600,154.506,154.56,154.495,154.534,0,0
1789086900,154.534,154.534,154.466,154.472,0,0
1789087200,154.472,154.513,154.472,154.51,0,0
1789087500,154.51,154.555,154.492,154.536,0,0
1789087800,154.536,154.587,154.479,154.587,0,0
1789088100,154.587,154.599,154.5,154.505,0,0
1789088400,154.505,154.527,154.407,154.411,0,0
1789088700,154.411,154.446,154.367,154.375,0,0
1789089000,154.375,154.388,154.289,154.348,0,0
1789089300,154.348,154.367,154.264,154.27,0,0
1789089600,154.27,154.363,154.263,154.362,0,0
1789089900,154.362,154.362,154.288,154.318,0,0
1789090200,154.318,154.337,154.274,154.313,0,0
1789090500,154.313,154.313,154.214,154.265,0,0
1789090800,154.265,154.332,154.265,154.307,0,0
1789091100,154.307,154.394,154.289,154.383,0,0
1789091400,154.383,154.39,154.335,154.386,0,0
1789091700,154.386,154.405,154.337,154.348,0,0
